{'短评内容': '交通方便，离地铁站很近，周边吃的东西还挺多，几次来这边都是住这家（也只有这家看起来不错），今天来就碰到电梯坏了一台，增值税专用发票也没了得后续寄给我，不过前台的态度很好。', '短评打分': 4}
{'短评内容': '好评啦！', '短评打分': 5}
{'短评内容': '周末考试，感觉还不错', '短评打分': 5}
{'短评内容': '北京酒店性价比真的无法形容啊', '短评打分': 2}
{'短评内容': '这个垃圾酒店，客房特别脏，服务员的态度极差，晚上还有人骚扰客人休息，住了一次再也不想住了', '短评打分': 1}
{'短评内容': '灯坏的，网不能用，我也不说啥了', '短评打分': 2}
{'短评内容': '经常住的酒店了，不过这次最划算，京东订酒店确实划算，还可以用白条付款，赞', '短评打分': 5}
{'短评内容': '环境不好！服务不周到！交通便利！', '短评打分': 4}
{'短评内容': '凌晨两点到达酒店、携程预订网上预付；前台办理入住，被告知要收200押金，使用信用卡被拒，告知不能刷预授权，只收现金。房间设施老旧，差评', '短评打分': 3}
{'短评内容': '环境挺好的', '短评打分': 5}
{'短评内容': 'good', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '位置方便，办事很方便！', '短评打分': 5}
{'短评内容': '酒店环境很好，周边很多吃饭的地方', '短评打分': 5}
{'短评内容': '附近比较好的酒店，继续再来', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': 'j酒店挺干净的，感谢客服', '短评打分': 5}
