{'短评内容': '房间环境确实不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '舒适性不错，就是装修有点久了，还是值得住的！特别是情侣，你懂的！', '短评打分': 5}
{'短评内容': '挺好的，不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位于温州市中心，紧邻欧洲城，酒店环境还不错，适合情侣入住。很喜欢里面的大浴缸，但房间设施有点陈旧，其他都还好！', '短评打分': 4}
{'短评内容': '设施很齐全！很方便，什么都有', '短评打分': 5}
{'短评内容': 'Good good good', '短评打分': 5}
{'短评内容': '欧洲城附近 还可以', '短评打分': 5}
{'短评内容': '环境不好，有发霉的气味，服务员态度差，服务不周到。本来地段挺好的。只可惜服务质量差，硬件设施差，如果再次入住肯定不去！', '短评打分': 1}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '无窗的就是比较闷一点，空气清新剂喷的不舒服，光线过暗，整体感觉价位偏高。', '短评打分': 4}
{'短评内容': '非常有特色的酒店，下次还来', '短评打分': 5}
{'短评内容': '打电话特意问过哪个房有浴缸拍哪个但是到后分到的还是没有浴缸', '短评打分': 5}
{'短评内容': '房间太闷，卫生间太差了', '短评打分': 4}
{'短评内容': ' 161服务态度还不错，东西落在他那边，帮我找回来了，房间很有个性，不错！下次还会入住的', '短评打分': 3}
{'短评内容': '装修风格老板是花了心思的，但性价比一般啦', '短评打分': 5}
{'短评内容': '还不错 比较推荐，周边吃的也多，要是价格再优惠一点会更好', '短评打分': 5}
{'短评内容': '还不错啦，房间很大，床也好，就是没有窗户有些通气不好', '短评打分': 5}
{'短评内容': '很不错 就是价格有点小贵。很适合去开房你懂的。', '短评打分': 5}
{'短评内容': '说实话，温州的酒店的确价格偏高，但是，如果不是团购价的话，这个价格，这个设施及服务是绝对不值的。旁边是台球场地，人来人往的，酒店配套设施一般，旁边离开居民区也很近，晚上有人吵架听得真真的（酒店就2层楼）。', '短评打分': 1}
{'短评内容': '酒店装修还算有特色，但与网页介绍上的图片有很大差距。时尚房很小。\n关键是前台服务员说，警察经常查房，要每人登记证件。我很奇怪现在还有这样的事。住了几次，终于明白了，这地方比较热闹，而且与一个同名的台球场是连在一起的，估计是同个老板产业，台球场是比较乱的，而且与酒店有许多直接相连的通道。我想，多少会影响酒店安全。另外，房间靠窗一面完全就是玻璃，路人走路谈话声音清晰传入房间。而且，酒店前台大量推销钟点', '短评打分': 1}
{'短评内容': '环境满意唯独窗帘遮光不好！早上5点就亮！旁边遮不住！', '短评打分': 3}
{'短评内容': '房间环境不错，很喜欢', '短评打分': 3}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '感觉房间的装修好情色……房间味道很大，仔细看灰很大，打扫不是很仔细；不过地理位置算不错，周围挺热闹的', '短评打分': 1}
{'短评内容': '在欧洲城对面，对面吃喝玩乐都有。房间也很别致~隔音不大好，走廊上人的声音都听得很清楚，不过晚上还行，空调很给力。', '短评打分': 5}
{'短评内容': '适合情侣们去去哦 是家蛮有味道的酒店 客房订餐速度也很快 ', '短评打分': 5}
{'短评内容': '房间不错，床很舒服', '短评打分': 3}
{'短评内容': '酒店装修很新，周围也很热闹，适合情侣小住', '短评打分': 5}
{'短评内容': '没有电梯，我拎着大行李箱好不容易才挪上二楼，幸好楼层不高，房间还可以，就是没窗感觉好压抑，卫生一般，交通还算方便。', '短评打分': 1}
{'短评内容': '入住了，没电脑。和想象的有出入！', '短评打分': 3}
{'短评内容': '喜欢，情人，时尚，品味，年轻人…～～～～～～～～', '短评打分': 5}
{'短评内容': '环境很精致，其他的没什么感觉，价格虽说不是很贵，但是还是稍显高了点。', '短评打分': 5}
{'短评内容': '比较有特色，就是价格偏高，在性价比上不是很突出！', '短评打分': 5}
{'短评内容': '气氛布置的都很不错、但是我老婆说那个透明的浴室她不太喜欢。其他的都很满意的', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': ' 比较满意。配套设施也不错', '短评打分': 3}
{'短评内容': '确实很喜欢这家酒店的风格，每个房间都给我惊喜，软件硬件都不错。还会继续选择这家。', '短评打分': 5}
{'短评内容': 'bu cuo  bu cu= 不错...........................................................................................', '短评打分': 5}
{'短评内容': '很多喜欢圆床房啊。还赠送早餐。贴心', '短评打分': 3}
{'短评内容': '环境不错倒是真的，房间很温馨。还有小冰箱会让我挺意外的= =\n早餐有点少，总之挺不错！', '短评打分': 5}
{'短评内容': '硬件设施不错 就是酒店难找 服务态度很一般', '短评打分': 5}
{'短评内容': 'hhhhhhhhhhhhhhhhhhhhhhh', '短评打分': 5}
{'短评内容': '酒店的早餐竟然不是自助的,送上门的,只是些面包和牛奶,太差了..', '短评打分': 1}
{'短评内容': '前台服务员态度有点差，大家住之前一定要先检查里面的物品，防止有坏的，酒店会说你弄坏的，会赖帐！', '短评打分': 5}
{'短评内容': '\n酒店房間本身不錯，早餐不理想、服務比較差、退房結帳沒有發票最後以餐飲發票代替，等發票又等了30分鐘，整體印象不好下次不會再去住。', '短评打分': 3}
