{'短评内容': '垃圾', '短评打分': 3}
{'短评内容': '不错还有空调值得一住呦！！！', '短评打分': 5}
{'短评内容': '很凉快不错！！！', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '挺好的，经济实惠', '短评打分': 5}
{'短评内容': '卫生挺好，就是貌似没有电吹风', '短评打分': 4}
{'短评内容': '房间还可以，这个价位要求也不会太高，走廊过道比较吵，说话和关门的声音比较大。。电视也看不了，酒店的位置比较好。', '短评打分': 4}
{'短评内容': '还行吧。就是偏僻了点。不好找', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '性价比很高的一家宾馆', '短评打分': 5}
{'短评内容': '还行  就是电脑太差劲', '短评打分': 2}
{'短评内容': '还行就是电脑太差劲', '短评打分': 2}
{'短评内容': '第一张照片，当正在开大的时候喷泉爆发，那个狼狈不是文字能表达的。第二张照片有黄色的垢渍，脏！太脏了！第三张喷泉爆发后还下水道堵了，水漫金山！第四张洗手盆去水也不畅！本人独自流浪，什么环境都能忍受，不过就屈了这100大元！这样的房间只值20元吧？', '短评打分': 2}
{'短评内容': '电脑用不了，卫生间门快掉下来了，屋子里很凉，老板说空调只能制冷，不能用来取暖，无语，上当的感觉', '短评打分': 3}
{'短评内容': '很小的一家酒店，比较干净，像家庭旅馆。附近没有标志性建筑，好多出租车司机不知道还不愿意去，只能按着路牌号找，还好哈尔滨不算大。离中央大街挺近，走路也才10几分钟，去圣索菲亚大教堂也方便。最好自己带好洗漱用品，只提供了牙具不太干净的样子没敢用。', '短评打分': 5}
{'短评内容': '很安静而且老板的人也超好。环境也不错。', '短评打分': 3}
