{'短评内容': '挺好的，房间简洁，设施完备，整体不错', '短评打分': 5}
{'短评内容': '挺好的，挺安静的', '短评打分': 5}
{'短评内容': '大床', '短评打分': 5}
{'短评内容': '515房间窗子关不严，一直都有一条缝，窗外就是隔壁房间的空调外机，旁边房间的那个人，把空调弄的是自动模式，隔十几分钟就响一次，声音很大很大，响了整整一个晚上。若不是下午check in以后有事立马出去了，绝对要求换房间。等晚上回来发现的时候，房间里的东西都弄乱了，也不好意思再要求换房间了。相互理解吧，希望能把那扇坏窗赶紧修好。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '33333333333333333333333333', '短评打分': 5}
{'短评内容': '环境挺好的，要是备上男士一次性剃须刀就更好了', '短评打分': 4}
{'短评内容': '感觉一般，湿气比较重。墙都掉皮了。', '短评打分': 5}
{'短评内容': '还不错的 浴巾都是带包装袋的', '短评打分': 5}
{'短评内容': '图片不是我住的那间', '短评打分': 5}
{'短评内容': '超级差，门卡不行，空调不行，服务不行，滚', '短评打分': 1}
{'短评内容': '安静，干净，用品齐全。', '短评打分': 5}
{'短评内容': '酒店在出差办事的地点附近，很方便，酒店没有停车场，要在路边或者其他停车场，周围吃的东西也很多，是成都东边的餐饮一条街，距离地铁4号线玉双路站也比较近，去春熙路也不远，慢慢散步过去半小时，打车去10块钱吧', '短评打分': 5}
{'短评内容': '很不错 满意', '短评打分': 5}
{'短评内容': '完全没毛病  满意', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '停车不方便，其他都不错。', '短评打分': 4}
{'短评内容': '环境挺好 不错 服务态度很好', '短评打分': 5}
{'短评内容': '房间挺大的，设施有点陈旧，服务员的服务态度很好。值得推荐。', '短评打分': 3}
{'短评内容': '还不错。 周边环境安静 位置有点偏', '短评打分': 3}
