{'短评内容': '环境很差，无法忍受，同事说很脏', '短评打分': 1}
{'短评内容': '第一天的服务态度已经忍无可忍、第二天起晚了、女儿说再住一天。网上订房、日期搞错了订了后天的房、下楼准备去吃饭昨天的小老板让续费。我说刚才已经续了吧。他说你订的是后天的房。今天要给钱、我问他我改过来行吗？回答是硬邦邦的不行、马上取消订错日期的房间重新定当天。那家伙不说话了。说一下可以修改日期会死？一定要我取消重定？女儿弱弱的问我：爸爸、我们欠他钱吗？脸这么黑、明天搬走去其它地方住吧。谈不上好心的说一', '短评打分': 2}
{'短评内容': '旅游怎么多年订房无数、从未给过差评。忍无可忍、服务态度从所未见、第一次住这里、已经听说附近有市场想自己买些海鲜加工、问总台服务员这附近的菜市场在那里、看都不看一眼的回答：不知道。据说宾馆就是他家自己的房子长期在这里生活的人会不知道200米左右的市场在那里？再问WIFF密码和账号是什么？回答就是你自己看。我X、什么态度？房间环境一般，牙具略脏，水杯、水壶有明显的水垢', '短评打分': 2}
{'短评内容': '卫生不错，交通方便，环境不错，对面有侨港风情街，晚上海鲜火爆。', '短评打分': 5}
{'短评内容': '替家人订的，性价比高', '短评打分': 4}
{'短评内容': '酒店一般，就是离银滩和码头近一点，但真不值这个价，我们从涠洲岛回来时住的老街那里的八桂酒店就好多了', '短评打分': 4}
{'短评内容': '很满意的，自助餐还不错，游泳池很喜欢，还有一个小的温泉池，健身房也超赞，总之不错啊', '短评打分': 5}
{'短评内容': '到店时是下行7点多钟了。因为出差关系，我先到了宾馆。还有家里人是自驾车过来的。因为导航不升级，导不到宾馆的地方。老板也跟着着急了。还主动说要出去接他们。真的很感动！最后，打了N次电话，才到了宾馆。宾馆的位置很好，在大马路边。马路对面是侨港风情街，往下捌一个弯就是侨港浴场。侨港浴场比银滩那边的水要清一些，也没有那么多人，沙滩上的泳具类出租也比银滩边便宜。', '短评打分': 5}
{'短评内容': '宾馆位置很好，侨港风情街就在马路对面，离侨港浴场也不远。老板人很热情，服务很不错。这次因为停航的原因，没有去成涠洲岛，引为憾事。', '短评打分': 5}
{'短评内容': '宾馆的位置比较好，侨港风情街就在马路对面，离侨港浴场也不远，大概是1000米左右。老板人很好，很热情。店里的设施都是新装修不久的，环境还是挺好的。如果对住宿不挑剔的话，这是一个好选择。', '短评打分': 5}
{'短评内容': '还可以，就是热水天阴没有，电加热，住的人多感觉就不够用一样', '短评打分': 4}
{'短评内容': '房间空调很好，就是老板服务一般，跟他协调点什么都有点难说话。', '短评打分': 4}
