{'短评内容': '环境特别好大床也特别大超喜欢，下次还去住', '短评打分': 5}
{'短评内容': '温馨舒适惬意', '短评打分': 5}
{'短评内容': '在南湖景区内，周边环境很好。房间里隔壁的下水声音有点大。前台和餐厅的服务人员专业快捷。店内环境干净舒适。', '短评打分': 5}
{'短评内容': '非常不错的一家酒店，就是地理位置不怎么样', '短评打分': 5}
{'短评内容': '还是不错的，只是楼下大佬比萨停业了，遗憾没尝到榴芒披萨', '短评打分': 5}
{'短评内容': '地方不错    环境也挺好就是热水太慢   需要改进有点不隔音?', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间大！服务态度好！好好好，', '短评打分': 5}
{'短评内容': '房间大而且环境好！下次还住', '短评打分': 5}
{'短评内容': '还不错的酒店', '短评打分': 5}
{'短评内容': '很安静', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '周围商业齐全，如果是开车很方便。保安敬业，服务热情，设施很好。早餐一般。总体性价比很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺贵的，早餐太一般了', '短评打分': 5}
{'短评内容': '环境很好，比较安静，餐饮可以再增加一些', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '不错的酒店!安静!舒适!', '短评打分': 3}
{'短评内容': '性价比非常好，新开的酒店非常干净。房间里还有装修的味道~', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店床很舒服，但装修稍粗糙，前台服务水平参差不齐，开业不久房间有甲醛味', '短评打分': 3}
{'短评内容': '不错的新酒店', '短评打分': 3}
{'短评内容': '房间很干净，环境不错，有车会很方便', '短评打分': 3}
{'短评内容': '舒适、安静', '短评打分': 3}
{'短评内容': ' 酒店内环境很好，房间很大，服务周到，就是晚上外面很吵，影响睡眠。', '短评打分': 3}
{'短评内容': '酒店很干净 下次还会入住 服务很到位 虽然出了点小插曲 但酒店的服务员帮忙解决很到到位 赞一个 ', '短评打分': 5}
{'短评内容': '酒店不错，很新很干净，服务也很好，从经理到服务员都给人一种很亲切的感觉，看着就舒服。新装修的酒店，就是还有气味，不过开窗通通风就没什么事情了。房间也还可以，以后有机会一定会再住，下次就住它的行政房了。', '短评打分': 5}
{'短评内容': '位置很好，离南湖公园很近，晚上去散散步很好。酒店的内外环境都很好，服务态度也很不错。很喜欢欧式的风格的酒店，下回明天还会光临。', '短评打分': 5}
{'短评内容': '１.酒店位置：距百货大楼２０分钟车程，靠近南湖，位于美食广场中心\n２.酒店环境：欧式小镇感觉，空气清新\n３.酒店服务：细致入微，服务非常好，无论是前台，还是保安，六星水平\n４.酒店不足：装修味道未完全放完，\u3000酒店对面ＫＴＶ', '短评打分': 5}
{'短评内容': '新酒店，房间装修很好，干净卫生。服务很细，赞一个。', '短评打分': 5}
