{'短评内容': '其他还好，就是床太矮了，睡觉不舒服！', '短评打分': 5}
{'短评内容': '挺干净的 第二天给打扫了换了毛巾 就是房间太小 走廊声音隔音一般 但可以接受 ', '短评打分': 5}
{'短评内容': '位置不错，但是我发现了一根长头发，房间隔音效果不好，很不好，其他的正常吧。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '房间隔音太差，太差，别的还好干净卫生，服务也不错，希望把隔音做好，水龙头马桶声音起太糟9999999999999', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '每次都住汉庭，哈哈，和前台都熟了，挺好的', '短评打分': 5}
{'短评内容': '第二次住汉庭了', '短评打分': 5}
{'短评内容': '666666666', '短评打分': 5}
{'短评内容': '哎呦，地理位置优越，但是房间很小，不太喜欢', '短评打分': 5}
{'短评内容': '还好，有装修的吵店', '短评打分': 5}
{'短评内容': '还可以，只是有装修的', '短评打分': 5}
{'短评内容': '还算干净合理，价格公道，最重要地理位置优越，方便出行，以后出差也会继续考虑，外立面太久了，应该翻新。', '短评打分': 4}
{'短评内容': '交通还算方便，房间临近马路，比较吵', '短评打分': 4}
{'短评内容': '差不多200一晚的酒店，冬天空调半夜自动关？有这么缺电费？水杯里有头发，还有这是啥破电视？屋里的门关不紧，总有道缝，什么烂酒店！！！！！', '短评打分': 1}
{'短评内容': '位置好，卫生条件还行。早餐18一位，挺丰盛的。', '短评打分': 5}
{'短评内容': '位置不错，就在万象城对面，挨着淄博商厦。电视空调等设施较陈旧了，功能都还好。房间灯光较暗，卫生、服务都不错。', '短评打分': 5}
{'短评内容': '干净舒适，便宜实惠，要求不高的推荐入住', '短评打分': 3}
{'短评内容': '大飘窗，可以看夜景，服务员很认真。', '短评打分': 3}
{'短评内容': '挺方便 停车场大', '短评打分': 5}
{'短评内容': '交通便利，价格也不高，好地方，下次再来', '短评打分': 3}
{'短评内容': '整体不错，只是空调声音有点大', '短评打分': 3}
{'短评内容': '还好  第一次住汉庭 干净卫生 服务态度好 但是热水不给力', '短评打分': 5}
{'短评内容': '位置不错，装修一般', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好，各种好，非常好，好，好，好。。。。。', '短评打分': 5}
{'短评内容': '房间不错，百元房间挺实惠的，前台服务态度也不错！推荐大家入住！', '短评打分': 3}
{'短评内容': '服务态度好，性价比较高..............', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设施有点陈旧了，高级大床房低于预期，和一般大床房没啥区别，但位置较好，出去购物较方便', '短评打分': 5}
{'短评内容': '除了位置在市中心还不错，也没什么优势了，房间很小，服务也一般。', '短评打分': 3}
{'短评内容': '这个价格中，整体来说，房间小了很多，服务也一般，貌似前台有新手，效率不是很高，整体设施感觉，店面档次和价格不能成正比。', '短评打分': 1}
{'短评内容': '较好，环境舒适，但房间设施有点旧，毛巾陈旧，服务态度好，性价比较高', '短评打分': 5}
{'短评内容': '很少找到这么舒服的酒店啊。。。性价比太高了。。。。', '短评打分': 5}
{'短评内容': '好像热水不是24小时供应的', '短评打分': 5}
{'短评内容': '还行，值得去住', '短评打分': 5}
{'短评内容': '酒店的条件还不错.硬件设施比较一般化.但是位置很好很方便出行.', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '这家酒店一般，房间面积比较小，卫生打扫的还不错，设施方面也还可以，就是采光不是很好，房间显得比较暗。位置还可以，在火车站附近，整体感觉一般。', '短评打分': 5}
{'短评内容': '硬件条件不是很好，感觉不如＂如家＂好.服务跟不上.整体水平一般.', '短评打分': 5}
{'短评内容': '还是不错的酒店,位置合适.周日有特价房,', '短评打分': 5}
{'短评内容': '位置不错，就是房间小了点。', '短评打分': 1}
{'短评内容': '很不错的酒店，位置好，环境也不错，服务态度极佳，性价比高，值得推荐', '短评打分': 5}
{'短评内容': '各方面服务还不错.就没有提供早餐.硬件设施和位置都很好，而且服务人员也很热情.', '短评打分': 5}
{'短评内容': '非常不错，酒店服务人员的服务态度非常热情。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '早餐简陋了点，还15元，其他都满意', '短评打分': 5}
{'短评内容': '价格再低一点就更好了', '短评打分': 5}
{'短评内容': '位置很好，很方便，值得推荐！', '短评打分': 3}
{'短评内容': '第一次去淄博，那几天好冷啊！但幸亏酒店的暖气还比较足，卫生也很好！\r\n酒店很方便，离火车站很斤，楼下不远处也有M记和K记，值得推荐！', '短评打分': 5}
