{'短评内容': '感谢酒店提供的优质服务', '短评打分': 5}
{'短评内容': '卫生条件很勉强，私密性差', '短评打分': 3}
{'短评内容': '无早餐，有停车场，周边茶餐厅很好，很近口岸方便。', '短评打分': 5}
{'短评内容': '附近在施工', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般般，总体比较旧', '短评打分': 3}
{'短评内容': '很好，位置优越，价格便宜', '短评打分': 5}
{'短评内容': '蛮不错，虽然设施不高大上，但是很干净整洁！', '短评打分': 5}
{'短评内容': 'vbjgfhu', '短评打分': 5}
{'短评内容': '地理位置很好，就在隧道口，离中英街也近，性价比高', '短评打分': 4}
{'短评内容': '京东的服务不错', '短评打分': 5}
{'短评内容': '京东商城预订用得非常满意、服务周到！', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还行&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '还行吧&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '环境不错，服务态度好', '短评打分': 5}
{'短评内容': '作为快捷酒店，这是服务态度最好的一个，没有之一', '短评打分': 5}
{'短评内容': '最关键是服务态度好', '短评打分': 5}
{'短评内容': '环境较差，与其他门店相比，室内装潢老旧。浴室淋浴附近有墙洞，黑乎乎的里面有什么看不清，拿杯垫堵上了才敢洗澡', '短评打分': 4}
{'短评内容': '非常满意！', '短评打分': 5}
{'短评内容': '挺不错的呀。周围有挺多旅游景点的，值得推荐', '短评打分': 5}
{'短评内容': '性价比不高，设施太差，服务挺好的。', '短评打分': 3}
{'短评内容': '一般般，凑合来住的，没什么特别，毛巾干净', '短评打分': 4}
{'短评内容': '附近设施挺多，又安静，还有停车位，性价比不错', '短评打分': 4}
{'短评内容': '比较安静，不错', '短评打分': 4}
