{'短评内容': '挺安静的，南农门口。', '短评打分': 4}
{'短评内容': '整体还不错', '短评打分': 5}
{'短评内容': '酒店位置交通方便，就在路边十分好找，来去自如。早餐是自助餐形势，正常吃没有任何问题，方便卫生。有停车场。', '短评打分': 5}
{'短评内容': '还不错 挺干净', '短评打分': 5}
{'短评内容': '干净整洁，就是设施稍显陈旧。不过，这样没污染！', '短评打分': 5}
{'短评内容': '舒适愉快。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，就是隔音不太好，不过晚上睡觉就比较安静了。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '超级棒！房间很满意 干净卫生 设施齐全 都很方便 很安静 有窗户～离南农大和南理工都不远 交通也方便～服务很好 很亲切～', '短评打分': 5}
{'短评内容': '方便，帮朋友订的', '短评打分': 5}
{'短评内容': '很好，下次还会入住，推荐', '短评打分': 3}
{'短评内容': '房间整洁干净，设施也齐全。在周边几家酒店算比较好的了！主要是离女儿学校很近，出行方便。', '短评打分': 5}
{'短评内容': '还不错，位置安静，早餐还算丰富', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
