{'短评内容': '差评！', '短评打分': 1}
{'短评内容': '还可以，下次还来', '短评打分': 5}
{'短评内容': '还可以，下次还来', '短评打分': 5}
{'短评内容': '店主到是非常热情的，地理位置到时很好的，在体育场附近，很好找的，可房间确实不怎么样，太小了，而且很潮湿，感觉不好。', '短评打分': 5}
{'短评内容': '旅店的房间很干净，带一个外阳台，夜晚很安静。老板在一楼开了一家海鲜饭店，味道还不错，入住的客人还可以打折88，比周边的海鲜饭店要价廉物美很多。旅店离日光岩很近，2、3分钟左右的路程。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间是还不错，但是其实是阳台上面的一个隔间。我刚看到的时候被雷到了。但是我老公一直安慰我还不错，我就踏踏实实住下了。老板都还好，服务周到。就是这段时间鼓浪屿在各种修缮，准备申遗的事情，各种坑坑洼洼。。。', '短评打分': 4}
{'短评内容': '环境很好，挺不错的。下次也会再去。', '短评打分': 3}
{'短评内容': '一般说是可以的，离景点都挺近的，就是里面设施不好，而且不干净', '短评打分': 3}
{'短评内容': '总的说还是不错的！就是房间内有时基本日用品没有！要找吧台！', '短评打分': 4}
{'短评内容': '酒店房间挺大的，总体还不错', '短评打分': 3}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '也许是岛上的缘故，比酒店的价格要贵，而且家庭旅馆的设备没有酒店的齐全，不过离日光岩等景点较近，出行还算方便。', '短评打分': 4}
{'短评内容': '今年春节期间一家三口住了3晚，还可以的，每个房间好不同的风情，旺中带静，去入方便，行到累了，还可休息一下再出去，值得去体验一下简单生活旅馆', '短评打分': 5}
{'短评内容': '挺特别的 .每个房间都不一样.是一个挺有情调的旅社.欧美风格很不错.刚刚去找酒店的时候觉得不太好找.但是稍微熟点之后才发现它所处的地理位置很好！', '短评打分': 5}
{'短评内容': '没想象中的好，有点旧，墙纸都脱落了，洗手间很小的', '短评打分': 1}
{'短评内容': '房间陈旧，设施简陋，连个放包的桌子都没有，又多收24元不知什么费用。不值这一价钱。', '短评打分': 3}
{'短评内容': '这家酒店环境不是太好，我本来订的事298的房间，结果298的房间没有了。只有398的房间，而且还在一楼，是一个标间，有“阳台”所谓的阳台就是在一楼，本来房间就在1楼，而且一楼阳台这里的推拉门根本就不可以锁。晚上不安全。空调遥控器上面烟灰都满了也没有人打理。脏，总体不推荐。', '短评打分': 1}
{'短评内容': '还不错，值得一住，离日光岩挺近的。房间比较温馨，也还比较干净，如果去鼓浪屿可以考虑去这个家庭旅馆啦。旅馆门前有只猫总是懒洋洋地躺在地上晒太阳', '短评打分': 5}
{'短评内容': '离日光岩很近，去日光岩和淑庄花园都很方便，我去这些景点的时间是七点三十分之前，门票都有享受到五折的优惠，挺划算的，就是旅馆内的陈设太简单了。', '短评打分': 5}
{'短评内容': '住的是最好的欧美风情，498一天，但是实在性价比太差。且不说住了两天中间没人来收拾，家庭旅馆加之又是岛上，我们本来要求也不高，但是起码要干净吧？漱口杯和茶杯上都是水渍，黄斑，明显没洗，我也没敢用。席梦思上垫的是被絮，不固定，睡了一晚上揉得高低不平极不舒服，花100块钱买个套子套在席梦思上也不贵吧？', '短评打分': 1}
{'短评内容': '买的时候以为有早餐，结果没有。说是节假日！其他都可以，就是有点贵。毕竟有点偏僻', '短评打分': 5}
{'短评内容': '服务不错``有早餐``但要转入巷晚上没灯很黑', '短评打分': 5}
