{'短评内容': '客栈房间设施不错，很干净卫生，店家很热心。', '短评打分': 5}
{'短评内容': '非常棒！', '短评打分': 5}
{'短评内容': '房间很干净，很好', '短评打分': 5}
{'短评内容': '老板很热情，有车接送，还给换了个大房间，晚上还有登山攻略，回来还接送回酒店，寄包免费，还帮忙叫车去机场，很满意的一次入住', '短评打分': 5}
{'短评内容': '周边环境不错，房间价格实惠入住方便快捷，打扫干净，设施齐全，床上用品干净整洁没异味，床很大睡着舒服，满意', '短评打分': 5}
{'短评内容': '不错的，主人家很和善，友好', '短评打分': 5}
{'短评内容': '太吵了', '短评打分': 3}
{'短评内容': '服务周到', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '就是大旅社', '短评打分': 3}
{'短评内容': '住得很满足，吃的也开心！怀念10元的那碗面', '短评打分': 5}
{'短评内容': '补评：三位大学生老板把客栈做的有声有色，服务一流，会推荐朋友入住的。', '短评打分': 4}
{'短评内容': '老板很实在呢。', '短评打分': 5}
{'短评内容': '这个酒店是这次黄山之行最好的了，本来是单人间，老板免费给升成大床，去爬黄山酒店免费送到换乘中心，回来一个电话师傅又去接回酒店，真心很方便。', '短评打分': 5}
{'短评内容': '酒店门面虽不奢华，但设施较为齐全，几位小老板服务态度超好，不仅开车接送，还帮忙订门票，车票。酒店的饭菜也经济实惠，味道也不错，是一家值得推荐的酒店。', '短评打分': 4}
{'短评内容': '没什么建议，老板很热情，服务周到，建议入住。', '短评打分': 5}
{'短评内容': '服务一流!', '短评打分': 3}
{'短评内容': '客栈很干净较满意', '短评打分': 3}
{'短评内容': '超级赞！从接站到讲解到车票预定很周到，特别是对待一些突发状况真的是想游人所想，照顾的无微不至。他们不只是一家客栈，更做到了旅行社的职责，三个80后小伙子老板真的是十分敬业十分靠谱十分值得信赖！', '短评打分': 3}
{'短评内容': '便宜！但配置太低！卫生间出水太小，不方便。但老板的服务还是不错的！', '短评打分': 5}
{'短评内容': '酒店位置离换成中心不远，附近有很多超市相当便利。房间舒适整洁。服务人员很不错，相当热情和周到。我们下了巴士给他们打电话就开车来接我们。第二天早上五点开车送我们去换成中心。还帮我们预定去杭州的车票！总之，这家很不错！都是80后的小伙子，很赞！！', '短评打分': 5}
