{'短评内容': '非常的不错！', '短评打分': 5}
{'短评内容': '酒店环境好好的，设备也不错', '短评打分': 5}
{'短评内容': '酒店好满意，环境超级好的', '短评打分': 5}
{'短评内容': '环境很好，挺美的，早餐也不错，很丰富', '短评打分': 5}
{'短评内容': '非常好的五星级酒店，就是一个阳塑风景秀丽园，安静而美丽，旁边就是优美的遇龙河。就是被交通管制，汽车要进此酒店必是早7：00前及晚7：00后，给自驾游客带来了不便。', '短评打分': 5}
{'短评内容': '1111111111', '短评打分': 5}
{'短评内容': '非常优美、环境好得很', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '第2次入住服务不错', '短评打分': 5}
{'短评内容': '周边环境很好，房间一般，有点旧了，态度与酒店价格不符，有待改进。', '短评打分': 4}
{'短评内容': '环境很好，风景很美，房间也够大，卫生也不错！每次来阳朔都住这！', '短评打分': 5}
{'短评内容': '酒店周边环境优美，服务热情，早餐丰富', '短评打分': 5}
{'短评内容': '酒店位置环境优美，度假可以首选。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很棒，超级完美的行程', '短评打分': 5}
{'短评内容': '遇龙河边的花园式酒店，景色宜人，在十里画廊景区内，徒步走走周边，很美。', '短评打分': 5}
{'短评内容': '周围环境非常美，房间非常大，服务不如环境', '短评打分': 5}
{'短评内容': '环境非常好，也很安静！很适合休息', '短评打分': 5}
{'短评内容': '各方面都很好，下次还会选择', '短评打分': 5}
{'短评内容': '酒店环境超赞，就在遇龙河边，早餐后可以在河边散步，悠闲。房间都配在阳台对着遇龙河。', '短评打分': 5}
{'短评内容': '酒店依河而建，环境美，空气好，房间也大，我住的那间刚好在游泳池旁边，美景不错哦！', '短评打分': 5}
{'短评内容': '服务质量不断提高', '短评打分': 3}
{'短评内容': '河畔度假酒店非常不错，在遇龙河的边上景色很好，房间也很不错。非常满意！之前看网上评论说早餐比较简单，但我和家人都感觉早餐非常不错，内容还是很丰富的啦。。呵呵！很不错的五星级酒店！下次还来。。。。（服务还不错，就是前台接待的有个别男接待员态度在温和一些就更好了，特别是接电话时语气不要那么生硬好像很不耐烦是的。。）', '短评打分': 5}
{'短评内容': '酒店位置很好，遇龙河畔风景优美，犹其是服务很好，早餐也很丰富。可惜的是由于白天忙于欣赏阳朔风光，晚上泳池又不开，没能游泳。只能期待下次来过了。', '短评打分': 5}
{'短评内容': '环境优美，设施完善，够得上五星标准。毗邻遇龙河，景色上佳。就是酒店往返班车太少，出行不方便。', '短评打分': 3}
{'短评内容': '超级棒的五星酒店，风景宜人，硬件软件都很好，阳朔值得再来', '短评打分': 5}
{'短评内容': '酒店位置很好，处于遇龙河边，风景很好，酒店有一个菜园，可以免费采摘蔬菜，我们采摘了茄子，由酒店免费清炒，味道超好，是我平生吃过最好吃的炒茄子，同时，菜园还有花生、向日葵等，此外，酒店还提供免费租车服务，可以方便地浏览周围的大榕树、月亮山等景点', '短评打分': 5}
{'短评内容': '风景超好，房间也不错，早上用餐人太多，游泳池的水不太干净，不过也算阳朔最好的酒店了，下次还是会选择这里。', '短评打分': 5}
{'短评内容': '用料好，泳池設計正點。早餐是最大缺點，不好吃，款式少跟3星級質素差不多。', '短评打分': 5}
{'短评内容': '環境十分好，服務如果比國外同級就差很多，房間電路跳閘三十分鐘還不來修，后來我用2秒時間解決了，希望這只是個案。還有員工沒笑容。', '短评打分': 5}
{'短评内容': '環境很好，風景一流。适合一家去渡假。早餐太普通，蚊子超多。', '短评打分': 5}
{'短评内容': 'Expensive hotel for rich traveller.  Nevertheless, the hotel is situation at a super beautiful location and by the river.   Good experience if you can afford it !! ', '短评打分': 5}
{'短评内容': '酒店硬件还可以，但配不上这个价格，尤其是服务水平远远不够。原本计划住2天，但考虑到天气预报说桂林要下大雨，带着一堆行李和小孩换酒店不方便，就直接住了4天。早餐品种偏少，变化基本没有，只3天，就吃腻了。最后一天说要维修空调，还让我们换房间，没主动给我升级就不说了，换的房间还比原来的差，想想是最后一晚，也都快半夜了，就懒得再和酒店烦了。', '短评打分': 1}
{'短评内容': '环境超好，服务很棒。到附近景点骑自行车就可以到达。强烈推荐。', '短评打分': 3}
{'短评内容': '酒店很舒服，在遇龙河旁边，依山滂水，环境很好。但价格偏贵。', '短评打分': 3}
