{'短评内容': '坐车方便，服务热情！交通非常便利', '短评打分': 5}
{'短评内容': '可能是旅游旺季的原因吧，敦煌的宾馆比其他城市的都贵很多，而且房间里的设施也一般般，想着四百一十一晚上应该可以住的舒服点吧，毕竟出来旅游开心是最重要的，可能是敦煌天气干燥，孩子早上醒来流鼻血了，有一滴弄到床上了，我们住了两晚上，退房的时候保洁员那个牛逼的不得了，非要让我把那个床单上的血洗掉了才能走，不然就扣钱，我急着赶路，跟他解释了半天还是非要让我洗，这个很让我生气，首先我都跟她解释过了，小孩流鼻血', '短评打分': 3}
{'短评内容': '餐厅虽然不贵到服务不太好。', '短评打分': 4}
{'短评内容': '环境还可以，很安静。但是卫生间没有干湿分离', '短评打分': 4}
{'短评内容': '房间很大，三张床放上也很大，周边不远就是夜市，很热闹', '短评打分': 5}
{'短评内容': '凑合', '短评打分': 5}
{'短评内容': '其他都不错，就是停车还要收费，不美气！', '短评打分': 5}
{'短评内容': '整体一般，早餐一般，不在市中心，看演出要打车。卫生还行，房间够大。没有啥服务。可以提供一日游，提供的一日游老马服务特别好。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '有点偏，不过敦煌市区比较小走走也就到了，', '短评打分': 4}
{'短评内容': '房间还不错，就是本来就是很晚才到的，凌晨四点多有人在楼道里面喊旅游的起床，吵得要死！ 携程很好，本来预定另一家260的，没房了，携程帮找的房子还承诺补差价?', '短评打分': 5}
{'短评内容': '本次去青海湖旅游住得最差的地方，400一晚不含早餐。价钱还不便宜，热水时冷时热，厕所干湿不分，没有电梯，行李得自己拎上楼，第二天早上一家人掏钱在酒店早餐，粥似乎是剩干饭熬的，小菜没油没盐，最可恶的是我们没吃完的小菜服务员竟然又端给了刚进餐厅的另一家人………！！！真是无语，暗自庆幸没怎么吃小菜……', '短评打分': 2}
{'短评内容': '可以吗', '短评打分': 4}
