{'短评内容': '住很多年了', '短评打分': 5}
{'短评内容': '酒店位置不错', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还不错。。', '短评打分': 5}
{'短评内容': '广州美景大酒店总体不错，位置比较好，停车方便，周边服装批发市场很多。房间较大，干净卫生，感觉比较舒服。', '短评打分': 5}
{'短评内容': '携程的所有宣传都是靠不住的', '短评打分': 1}
{'短评内容': '酒店的服务态度一般。', '短评打分': 2}
{'短评内容': '酒店的服务态度有待提高。', '短评打分': 2}
{'短评内容': '内部设备比较陈旧。', '短评打分': 2}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '位置还可以！好找一点。不过房间的灯光不够亮。', '短评打分': 5}
{'短评内容': '床比较硬，设施还是比较陈旧，一般', '短评打分': 4}
{'短评内容': '附近没有其他选择，不然不會住这间……', '短评打分': 3}
{'短评内容': '房间内气味不好，床上有些发霉味道', '短评打分': 2}
{'短评内容': '酒店很不错   服务也很好', '短评打分': 3}
