{'短评内容': '房间差得很，还没发票，以后再也不订它了。', '短评打分': 3}
{'短评内容': '酒店硬件条件很差，房门空调不行，热水不好。服务也很差。', '短评打分': 1}
{'短评内容': '地理位置好，价格便宜，房间还好，就是有点吵，整体感觉还不错', '短评打分': 5}
{'短评内容': '晚上睡眠比较安静，卫生干净还行，入住的时间比较晚吧，房价只剩下两个小间了，网线和电视自己搞了好久用不了，前台的靓仔很服务热情的，三个哥们轮番上阵经过鉴定，结果是电脑网线坏了，机顶盒电源线未连接，哈哈，最终解决！要求不是太高的话，正常休息可以满足，推荐此店！最后说谢谢前台的哥们哦！', '短评打分': 5}
{'短评内容': '房间很逼仄。让人透不过气来，而且连电话也没有，很不方便，网线坏了，非得下楼找总台服务员……空调不制冷也要先跑到楼道大声喊服务员，没人呢只好再下楼找总台……总之相当不方便……原本预定三天的，只好住一晚赶紧走人换地方。停车场也没有，要放在对面马路边，而且还要收费，真无语', '短评打分': 1}
{'短评内容': '交通便利，优惠经济。房间里面也比较简单。', '短评打分': 5}
{'短评内容': '我跟前台小姐要求要一个比较不吵闹的房间，结果给了我一个无比狭小，就只能放一张床的房间…………除了半夜对门有喝醉酒的客人从一点吵到三点，其余时间挺安静的……\r\n\r\n马桶用一天坏掉了，热水倒是全天有~电视有时候信号不好就看不了', '短评打分': 5}
{'短评内容': '还是不错的，周围很方便，设施还可以，就是比较吵，房子比较小。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '好像没有POS机不能刷卡，这点不方便，酒店位置不错，在繁华地段，出行方便。', '短评打分': 5}
{'短评内容': '房间打扫的很干净，设施也很齐全，电视啊、空调啊、该有的都有了。', '短评打分': 5}
{'短评内容': '优惠，位置好，服务态度好', '短评打分': 5}
{'短评内容': '酒店位置很好，离步行街很近，晋江大剧院就在旁边。周边交通很便利。', '短评打分': 5}
{'短评内容': '房间小了点，但是很干净，设施比较全，隔音效果也很好，睡的很踏实。', '短评打分': 5}
{'短评内容': '房间采光很好，也很干净，设施摆放也合理，感觉很舒适。', '短评打分': 5}
{'短评内容': '房间有很多蟑螂，桌子太小。', '短评打分': 5}
{'短评内容': '饭菜很可口，吃起来很香，而且还有些特色菜肴建议去试一试', '短评打分': 5}
{'短评内容': '很是经济实惠，很便宜的地方，其他的各个方面做得都非常好，很不错的地方', '短评打分': 5}
{'短评内容': '交通很好，附近就有大商场和茶楼，无论是休闲还是购物，都是很不错的', '短评打分': 5}
{'短评内容': '房间的家具都很新，好像新装修的酒店，而且电视的信号都很不错，网速也很快', '短评打分': 5}
{'短评内容': '酒店的服务人员很好很热情，服务也周到，速度很快，对一些问题都能及时的反应', '短评打分': 5}
