{'短评内容': '地理位置不错，服务也好，但是不能做饭，洗漱用具质量一般。', '短评打分': 5}
{'短评内容': '房间蛮干净的，位置好', '短评打分': 3}
{'短评内容': '地理位置优越，交通方便，服务很好，可以代买景点门票，且很便宜。', '短评打分': 5}
{'短评内容': '我觉得如果有其它的选择，尽量不要考虑这个地方。', '短评打分': 1}
{'短评内容': '确实不够好，除了周边的配套以外，其它方面很需要改进！', '短评打分': 3}
{'短评内容': '住的第二天房间没人打扫。', '短评打分': 3}
{'短评内容': '房间住两天中间没人打扫，洗漱用品提供太少。', '短评打分': 5}
{'短评内容': '经济型的酒店。两张大床很舒服。房间内的设施一般。没有每天日常的打扫。属于短租型的房间。', '短评打分': 5}
{'短评内容': '位置比较好，周边的配套比较好', '短评打分': 1}
{'短评内容': '卫生很差，卫生间有味道！', '短评打分': 1}
{'短评内容': '酒店地理位置便利，通向大连星海广场，星海浴场，老虎滩等著名景点都有直通车，很近。\r\n酒店服务很好，老板很热情，通过酒店购买景点门票还可以打折，非常适合出游选择。', '短评打分': 5}
{'短评内容': '位置非常好，也有海景。就是洗漱用品之类的设施简陋了点，没有烧水的壶、吹风机什么的小电器。但是卫生条件很好，也很舒适', '短评打分': 5}
{'短评内容': '适合旅游.商务出差可能不太适合，商务办公的用品少，条件一般.位置不错.', '短评打分': 5}
{'短评内容': '连前台电话都没有 联系用手机', '短评打分': 5}
{'短评内容': '位置不错，房间的视野也很好。但是家具一般。特别是床垫，有些高低不平，休息得不舒服。', '短评打分': 5}
