{'短评内容': '位置不错！适合公差和团队！', '短评打分': 5}
{'短评内容': '环境不错 服务可以', '短评打分': 5}
{'短评内容': '装修陈旧些，不过还算方便！', '短评打分': 3}
{'短评内容': '停车收费！', '短评打分': 4}
{'短评内容': '在旁边开会，住了3天。自助早餐，品种很多。适合带孩子。环境好，交通方便，设施很好。附近小吃很多，很方便喔，是不错的选择喔。', '短评打分': 5}
{'短评内容': '还可以，比较安静', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '前台服务态度恶劣，非常不愉快的入住体验', '短评打分': 3}
{'短评内容': '设备比较老旧，整体还可以', '短评打分': 4}
{'短评内容': '干净卫生。', '短评打分': 5}
{'短评内容': '老酒店该装修了，潮湿，陈旧', '短评打分': 3}
{'短评内容': '舒服。位置不错，交通方便。', '短评打分': 3}
{'短评内容': '还不错的值得推荐还不错还不错还不', '短评打分': 3}
{'短评内容': '非常便宜，随便睡一觉得话还是推荐的', '短评打分': 3}
{'短评内容': '洒店外表漂亮豪华，房间里面却陈旧破烂，连三星都值不上，还挂四星，真是忽悠人。不会再去', '短评打分': 3}
{'短评内容': '酒店还好了，就是没有明显的标志，我冒着雨找了好半天啦', '短评打分': 3}
{'短评内容': '环境一般，早晨还停水，总体说来，太差，还号称四星，跟锦江都差远了，以后绝对不住', '短评打分': 3}
{'短评内容': '感条件一般，有些冷，服务还可以。', '短评打分': 3}
{'短评内容': '距离火车站非常近，环境还可以\n四星级酒店价位不高\n家居较旧，需要重新装修了。', '短评打分': 5}
{'短评内容': '酒店地理位置较好，离石家庄火车站，长途汽车站都比较近，但设施太旧了，卫生也不太干净。', '短评打分': 1}
{'短评内容': '一般吧，离火车站比较近，设施老旧，总体环境还可以。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '虽说是4星，可怎么看也就2星。改好好装修一下了。', '短评打分': 1}
{'短评内容': '设施较陈旧，位置还可以，服务还可以，性价比一般', '短评打分': 5}
{'短评内容': '位置还不错，就是房间小，装修太一般了，好在价格不高。', '短评打分': 1}
{'短评内容': '本来特意打了3次电话确定预定的是大床房，到达以后却没有了', '短评打分': 1}
{'短评内容': '很不错，位置很好，虽然房间老点，餐厅很好，出行方便', '短评打分': 5}
{'短评内容': '条件不错', '短评打分': 3}
{'短评内容': '现在刚刚入住感觉：\n1、优点：火车站步行5分钟即到。 \n2、缺点：\n前台服务人员少，等了很久 \n220元的标间，装修简单的可怕。 \n卫生间的镜框已经掉漆了。 \n地毯非常脏，污渍和头发非常多。 \n早餐很一般。这些都和他四星级的标准非常不符合啊~不如住100多的如家。\n', '短评打分': 1}
{'短评内容': '交通很方便，房间设施都不错，就是房间面积小一点', '短评打分': 5}
{'短评内容': '位置方便，就是房间设施有点旧，不过相对于价格还行。', '短评打分': 5}
{'短评内容': '新时代达不到四星级标准,最多给三星', '短评打分': 3}
{'短评内容': '真的不错，五星级的设施，周围环境不错，吃饭、娱乐都很方便，看电影方便，就是地毯不好，太味儿了，建议撤掉地毯，铺上瓷砖或复合木地板就行。', '短评打分': 5}
{'短评内容': '性价比很低，就是位置很靠近火车站，和金融街自强路很方便。', '短评打分': 5}
{'短评内容': '新时代客房很好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '位是非常方便，就在省建行斜对面。\r\n但是房间比较旧，性价比偏低。', '短评打分': 3}
{'短评内容': '设施太旧。房卡不好使，具有防盗功能。位置还可以。95年的设备还没大修，可见一斑。早餐太差。就这水平还四星级，定多三星。', '短评打分': 1}
{'短评内容': '房间挺大，但装修太久了，设施太破了，地毯味道很大，而且早餐厅还有骗人的艺术品拍卖！', '短评打分': 3}
{'短评内容': '有点陈旧，有点一般，有点发霉，有点不推荐。', '短评打分': 3}
{'短评内容': '纯粹是为开会准备的，自掏腰包的同志们还是不要住了，设施比较陈旧，房间有股发霉的味道。', '短评打分': 1}
{'短评内容': '房间比较老旧，卫生看上去比较差，但是床品卫生还是不错。', '短评打分': 5}
{'短评内容': '说是四星级，但连好快捷酒店也不如，房间挺大位置也挺好，但装修都是十年前的，非常旧，地毯味很大\r\n而且餐厅还有骗人的国画拍卖', '短评打分': 1}
{'短评内容': '设备一般,服务可以，餐厅一般，菜码较足。地理位置比较好，离火车站近', '短评打分': 5}
{'短评内容': '好像已经点评过了呀，还可以，毕竟价格比较便宜', '短评打分': 3}
{'短评内容': '房间挺大的，但是比较陈旧了，但是也对得起这个价格。', '短评打分': 5}
{'短评内容': '电梯按钮大多无显示，给客人的感觉在梯外不知是否要到电梯，梯内不知是否要到了楼层，客房内电气控制按钮大多破损。', '短评打分': 1}
{'短评内容': '舒适度和性价比非常好的酒店。而且交通便利。也别是复式的房间更是方便啊', '短评打分': 5}
{'短评内容': '优点：火车站步行5分钟即到。服务好。\r\n缺点：\r\n280元的豪华标间，号称两年前装修的。\r\n装修简单的可怕。毫无\r\n卫生间的镜框已经掉漆了。\r\n地毯非常脏，污渍和头发非常多。\r\n早餐很一般。这些都和他四星级的标准非常不符合啊~不如住100多的如家，窗还软一些。', '短评打分': 1}
{'短评内容': '完全达不到星级标准，各项设施陈旧，房间插卡的用电开关大部分房间都坏的，最可气的是让服务员过来看态度巨恶劣！', '短评打分': 1}
{'短评内容': '酒店位置不错，离火车站、市区都很近，就是房间设施感觉差了点。', '短评打分': 1}
{'短评内容': '环境太差了啊，位置还不错，空间也可以，设施陈旧，尤其是卫生间，看着不舒服', '短评打分': 3}
{'短评内容': '整体感觉都不错，很舒适，位置也很好，就是现在旁边的一条街还在修路，稍微有点不方便，其他的都很好，早餐也很丰盛', '短评打分': 5}
{'短评内容': '找晚饭就很方便因为酒店附近有很多餐厅。', '短评打分': 5}
{'短评内容': '地理位置好，早餐丰富，还可以。', '短评打分': 3}
{'短评内容': '除了装修旧一点，其他还好，适合商务住宿。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '都不错，位置很好，离火车站很近，房间很大，就是房间设施老了，窗帘都拉不动', '短评打分': 5}
{'短评内容': '离车站很近，但不吵。服务一般，硬件还不错', '短评打分': 3}
{'短评内容': '旧', '短评打分': 3}
{'短评内容': '旧', '短评打分': 5}
{'短评内容': '早点太差，和四星级标准不配套，不如汇源。', '短评打分': 1}
{'短评内容': '凑合住住！', '短评打分': 1}
{'短评内容': '位置不错，，条件还行吧，', '短评打分': 5}
{'短评内容': '离火车站很近，但不吵，算是闹中取静了，服务不错，早餐那是太一般了', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是可以的,设施方面有些陈旧了,整体感觉价格还可以了.', '短评打分': 3}
{'短评内容': '设备有点旧了~~', '短评打分': 5}
{'短评内容': '卫生比较一般-电视上面有一层灰；设置相对比较陈旧；不过地理位置很好，距离火车站只有几百米', '短评打分': 5}
{'短评内容': '前两次住觉得还是不错的，但这次住发现房间隔音不行，隔壁房间的说话声甚至晚上的打呼噜声音都听的到！', '短评打分': 5}
{'短评内容': '有三点不好之处：1、变相多收费，我一个人住宿，要发给我两人早餐券，免费回收一个，相当于我多花一个人的早餐券；2、发票不是本店发票；3、店内的商店不能与客房一起结账。', '短评打分': 1}
{'短评内容': '这是一家老酒店，房间的设施有些陈旧了，房间面积还是比较大的，卫生一般，服务还可以，总体来讲这家酒店性价比还行 值得参考', '短评打分': 3}
{'短评内容': '酒店的设施条件还算可以，服务比较一般，位置也不好，老打不到车，总的来说我觉得价格偏高了。', '短评打分': 3}
{'短评内容': '酒店硬件条件还可以，位置也还算不错，但是服务一般，而且价格也不算便宜。', '短评打分': 3}
{'短评内容': '还可以，总体还不错。', '短评打分': 5}
{'短评内容': '火车站一带好的酒店不多，比较来比较去，新时代算是不错的。价格适中，房间面积也比较大。还算干净。', '短评打分': 3}
{'短评内容': '酒店虽然有些老化，但性价比还是较高的，比同等区位同等价格的汇文大酒店要好。因此以后还可以选择。', '短评打分': 5}
{'短评内容': '酒店在当地来说还是不错的,性价比比较好,住着很舒适干净,下次还会在住这酒店.', '短评打分': 3}
