{'短评内容': '挺好的，还有早餐，好喜欢的，不错不错不错不错，，，，，，，，，，，，1，，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '位置好，房间干净整洁。', '短评打分': 5}
{'短评内容': '还行吧。在', '短评打分': 5}
{'短评内容': '陪孩子学习，临时住一晚，没窗户的房间空气还是不好，不过出门很方便，对面就有超市，离公交车站也非常近。这个价格就这样吧', '短评打分': 5}
{'短评内容': '可以换房间.加油', '短评打分': 4}
{'短评内容': '还可以 真实', '短评打分': 5}
{'短评内容': '特价房，无窗，空气稍闷，不过还能接受。卫生间较小。', '短评打分': 4}
{'短评内容': '环境还行，就是在街边，人多车多，下午还有跳坝坝舞的，影响休息', '短评打分': 5}
{'短评内容': '房间小，没有窗户，预定时并没有提醒无窗。卫生也不好', '短评打分': 3}
{'短评内容': '还不错，…………', '短评打分': 4}
{'短评内容': '很不错。环境很干净。而且比较便宜，还有早餐', '短评打分': 3}
{'短评内容': '还是不错的，位置好，设施好，服务也好！', '短评打分': 5}
{'短评内容': '啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦啦', '短评打分': 3}
{'短评内容': '网上定价168，到店开房才148，这个有点坑了。', '短评打分': 4}
{'短评内容': '没窗户。但是挺干净的，毕竟是特价房，还不错了！！', '短评打分': 3}
{'短评内容': '交通便利，环境优美，干净卫生，服务周到，合川的的朋友选择它', '短评打分': 5}
