{'短评内容': '房间太小了，不好', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '环境有待改善，性价比不高', '短评打分': 4}
{'短评内容': '酒店设施比较老旧，但是很干净。唯一很不满的是一米的小孩子早餐收了十块钱，不是说价格问题，但是这样的收费很没理由，去吃自助餐你们有1米的孩子被收费过吗？没有吧。', '短评打分': 3}
{'短评内容': '很小很小，设施比较旧但是地点还可以的本来是想去东极岛玩的后来国庆没买到票', '短评打分': 3}
{'短评内容': '小宾馆的感觉，不过毕竟价格摆在那里', '短评打分': 5}
{'短评内容': '环境不错。客房里面物品齐全', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '以前住过所以又一次预定，感觉不如以前服务好，房间少小，不过小住倒是可以，还是建议旅游的朋友考虑选择的', '短评打分': 4}
{'短评内容': '习惯性点评，可无视', '短评打分': 4}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置不错，停车方便。去码头也很方便。满意。', '短评打分': 4}
{'短评内容': '酒店位置不错，停车方便。去码头也很方便。满意。', '短评打分': 4}
{'短评内容': 'very good experience, very nice location, very pleasing staff, close to Putuo mountain. ', '短评打分': 5}
{'短评内容': 'very good experience, very nice location, very pleasing staff, close to Putuo mountain. ', '短评打分': 5}
{'短评内容': '对于酒店就这样我也不多做评价！对于携程我是真的没话说，明明订单记录里是两个晚上返现90，可是我只收到45的返现！跟客服反应说给处理也没有下文！我不是丢不起这45，只是觉得这么大个网站就这么处理事情了…跟某宝的不良卖家没啥区别????', '短评打分': 5}
{'短评内容': '酒店不大，但很干净。离码头和海鲜夜排档很近。', '短评打分': 5}
{'短评内容': '酒店不大，但很干净。离码头和海鲜夜排档很近。', '短评打分': 5}
{'短评内容': '店设备不算新，房间很明亮，但交通很方便，下楼就是上下九。 客人对酒店的印象: 交通方便 出行方便 繁华地区 奖', '短评打分': 5}
{'短评内容': '店设备不算新，房间很明亮，但交通很方便，下楼就是上下九。 客人对酒店的印象: 交通方便 出行方便 繁华地区 奖', '短评打分': 5}
{'短评内容': '环境都还不错，不过酒店就是旧了一些。离海岸线很近，我们到了附近的大排档吃海鲜，很新鲜。五个人吃了九百多，真得很不错。综合起来还是很不错的，服务都做到了。', '短评打分': 5}
{'短评内容': '环境都还不错，不过酒店就是旧了一些。离海岸线很近，我们到了附近的大排档吃海鲜，很新鲜。五个人吃了九百多，真得很不错。综合起来还是很不错的，服务都做到了。', '短评打分': 5}
{'短评内容': '环境不错，性价比高', '短评打分': 3}
{'短评内容': '环境不错，性价比高', '短评打分': 3}
{'短评内容': '酒店客房舒适，安逸，布置的很温馨，卫生条件很好干净整洁。餐饮不错，口味好，种类多，入住舒适度很不错', '短评打分': 5}
{'短评内容': '酒店客房舒适，安逸，布置的很温馨，卫生条件很好干净整洁。餐饮不错，口味好，种类多，入住舒适度很不错', '短评打分': 5}
