{'短评内容': '酒店有点的床比较差，能感觉到一个个弹簧顶着你。', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '房间很潮，被子都是潮乎乎的，你们肯定不知道我怎么带着女朋友在那度过了一宿，睡了一宿第二天全身都痒，电视也没有几个频道', '短评打分': 3}
{'短评内容': '环境好服务好，价格亲民，很温馨。', '短评打分': 5}
{'短评内容': '卫生间下水有问题，房间有味', '短评打分': 4}
{'短评内容': '太吵 隔音不好！！！', '短评打分': 2}
{'短评内容': '酒店各方面设施齐全，房间整洁无异味，周边环境很好无噪音，前台人员很热情，隔音稍微差一些！下次还会入住！', '短评打分': 5}
{'短评内容': '酒店服务太次了 订完的房间找不到预订 因为省考原因订房胡乱要价，本来六点前退房是应该収半天房费的结果霸王条例就收一天房费 房费贵也就算了 由于考试入住人多居然把住客分到酒店自己后接的房间，晚上睡觉非常的冷 东北的天气根本没发住结果半夜又找的其他酒店去住的房费还没给不给退白花房费有生以来最糟糕的一次入住', '短评打分': 1}
{'短评内容': '这是什么套路？结账时服务员居然说有消费，拿出个工具套说外包装有打开痕迹，强行收费25元，这是要宰人吗？还有人管没，必须报警', '短评打分': 2}
{'短评内容': '环境还可以吧，就是灰太大。酒店服务不够专业。没有食堂。楼下有个烧烤店。周边都是苍蝇馆。可以叫外卖。', '短评打分': 3}
{'短评内容': '总体还行吧', '短评打分': 4}
{'短评内容': '总体来说还行吧', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '很好，价格便宜', '短评打分': 5}
{'短评内容': '服务态度挺好 别的一般', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '服务很好，交通也很方便，卫生条件很好，只是没有早餐不是很方便。', '短评打分': 5}
