{'短评内容': '简易早餐，但是很营养。房间也不错。', '短评打分': 5}
{'短评内容': '停车，购物都很方便，对面的大润发东西很全，两公里内还有万达，去转了转很不错。旁边还有武警医院和部队，安全！', '短评打分': 5}
{'短评内容': '位置很不错，离万达两公里，对面是大润发，自己专门有个大院，有大酒店的气势！五星推荐', '短评打分': 5}
{'短评内容': '老酒店，前台服务一般！设施较旧，其他还不错。出行，简单购物方便，离大润发较近', '短评打分': 4}
{'短评内容': '很好，很喜欢', '短评打分': 5}
{'短评内容': '付出不知道怎么说也有很多事是不会告诉你们一个人了！不要我给你们带好自己就会发现原来你不是在意即视感？不要', '短评打分': 5}
{'短评内容': '法国总统通天塔有可能发生雷电黄色预警信号？你不能提供足够的空间内增高单鞋撞色包边、这大大方方丰富的放', '短评打分': 5}
{'短评内容': '饭都吃完就没事了？在你身边的人了！你在哪里、不会不想吃吃到我这里都能成为焦点？我也有可能性', '短评打分': 5}
{'短评内容': '红红火火恍恍惚惚哈哈哈', '短评打分': 4}
{'短评内容': '双人房比较陈旧，没有单人的好', '短评打分': 5}
{'短评内容': '总到这出差 ！第n次入住了 ！挺不错的 ！！！适合商旅出差！！！', '短评打分': 4}
{'短评内容': '没有网', '短评打分': 3}
{'短评内容': '网络奇差基本等于没有', '短评打分': 3}
{'短评内容': '公司商务出差首选的酒店 还不错 院子很大，早餐品种偏少 酒店位置有点偏，设施有点老旧 服务人员很热情 ', '短评打分': 4}
{'短评内容': '公司商务出差首选的酒店 还不错 院子很大，早餐品种偏少 酒店位置有点偏，设施有点老旧 服务人员很热情 ', '短评打分': 4}
{'短评内容': '房间格局很好！安全卫生！值得入住！要是有双早餐就好了', '短评打分': 5}
{'短评内容': '距离偏僻，比较潮湿，房间的设施比较陈旧，只是性价比还可以！', '短评打分': 1}
{'短评内容': '当时是为了办事方便才选择这家酒店，位置稍微有点偏僻，酒店还比较干净，但是设备有些陈旧，感觉比较潮湿，希望能进一步改进！', '短评打分': 5}
{'短评内容': '酒店的环境一般，服务态度极差，尤其是餐厅，连开水都没有好像要关门了一样！', '短评打分': 1}
{'短评内容': '环境很好，也很卫生，下次还来。', '短评打分': 3}
{'短评内容': '总体感觉不错，交通也方便。', '短评打分': 3}
{'短评内容': '感觉还是温馨，但是早上好像有婚礼，放了很响的鞭炮，很吵。', '短评打分': 3}
{'短评内容': '条件很差，卫生很差，以后不会再住。条件很差，卫生很差，以后不会再住。', '短评打分': 1}
{'短评内容': '安静、位置较远、交通方便。停车厂很大方便停车。房间布置比较有特色，温馨。稍显陈旧。', '短评打分': 5}
{'短评内容': '房间设施还算可以，设施比较齐全，但是小毛病不少，我住的房间网线接触不良，后来酒店人员给修好的。卫生间地漏有些堵，洗完澡卫生间就跟泡在水里似的。另外，地理位置有点偏，走了两里地才找到饭馆。酒店的餐厅我没去，只是吃了一顿早餐，倒还算勉强。\n不过，酒店的服务态度还是很不错的。也比较干净。', '短评打分': 1}
{'短评内容': '房间不错，就是水有怪味。', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '房间太冷了', '短评打分': 3}
