{'短评内容': '一般也不是很干净', '短评打分': 2}
{'短评内容': '被子太破房间小太吵', '短评打分': 3}
{'短评内容': '不知道是什么味，总之味道很不好，卫生不怎么样，桌子上方的东西都落了很多灰，还有住了两天走廊灯都是坏的，保修了没人修', '短评打分': 1}
{'短评内容': '    进了酒店，房间味道太大，调换房间还是一样！。。。要求退房，不给退，说算全天房费。直接走人，钱算我丢了！', '短评打分': 1}
{'短评内容': '不错。体面的，舒服，适合出差旅游的出行人们。', '短评打分': 5}
{'短评内容': '房间挺安静的，设施一般，环境蛮不错的，就是床头摆放的安全套让人烦，半夜也不来个电话', '短评打分': 5}
{'短评内容': '在唐山算是非常不错的实惠型的酒店了。，，非常干净时尚，住的舒服。卫生也好。。对面有一个KTV晚上小姐好多。。。在唐山找宾馆难啊', '短评打分': 5}
{'短评内容': '很差咯，很脏，很小，周围环境也很差，不过唐山城市不好，没办法的事情。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间比较干净，就是位置比较偏僻，早餐不太好，不过总体还可以', '短评打分': 5}
{'短评内容': '挺干净的，就是房间有点潮湿，不舒服，二楼的房间窗户被遮住了，光线不好。酒店位置打车比较堵。。。', '短评打分': 5}
{'短评内容': '酒店还行 房间很小 住的比较舒适 但是卫生间地面里高外低 情况可想而知 卫生纸太少 肥皂太小', '短评打分': 5}
{'短评内容': '前台办理入住很快，房间干净舒适，装修比较有品味，卫生间干净，就是中央空调运行声音有些大，下K2建国路站后，步行距离很远，不太便利', '短评打分': 3}
{'短评内容': '不主动开发票，走的急也忘记要了，结果没发报销，郁闷', '短评打分': 1}
{'短评内容': '服务很好，态度不错，房间硬件齐全，床单被罩洗的很干净，我们住着挺放心的', '短评打分': 5}
{'短评内容': '酒店距离市中心不是很近，但位置还行，周边商场，银行，超市，都有，比较方便，门口就是公共汽车站，硬件设施还可以，房间舒适度不错', '短评打分': 5}
{'短评内容': '很实惠的酒店，房间装修的很到位，硬件挺齐全，服务很好，住宿环境满意', '短评打分': 5}
{'短评内容': '比较新的酒店，硬件很齐全，服务很好，卫生条件不错，性价比高', '短评打分': 5}
{'短评内容': '价格公道，环境很好，位置不错，距离我办事地方比较近，酒店内部服务也还可以，下次应该还会选择的', '短评打分': 5}
{'短评内容': '自驾过来方便，这边有自己的停车场，停车非常方便，房间布置的比较温馨，卫生条件很好，住宿环境很不错。', '短评打分': 5}
{'短评内容': '位置还行，出行比较方便，周边买东西购物都不成问题，房间硬件很齐全，床睡着蛮舒服的', '短评打分': 5}
{'短评内容': '酒店有自己的停车场，自驾过来都很方便，房间空间大小合适，收拾的比较干净整洁，我们住着蛮放心的', '短评打分': 5}
{'短评内容': '客房服务不错，随叫随到，办事效率很快，房间卫生状况好，都会及时打扫的，一些基础设施也很齐全，住宿条件比较满意', '短评打分': 5}
{'短评内容': '房间卫生条件蛮好的，床品和卫生间打扫的干净整洁，客房服务不错，服务员周到热情，前台办理入住手续也很快，还是比较满意的', '短评打分': 5}
