{'短评内容': '早餐很干净，酒店位置也很方便', '短评打分': 5}
{'短评内容': '房间属于公寓式，会有种压抑的感觉', '短评打分': 4}
{'短评内容': '不错 房间很大 位置也好找', '短评打分': 5}
{'短评内容': '位置很好，出门办事方便。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 3}
{'短评内容': '条件不咋的，很旧的房子了，关键是服务态度也不怎么样', '短评打分': 5}
{'短评内容': '房间比较大 也比较干净 住着挺舒服的', '短评打分': 5}
{'短评内容': '防护栏都没有&amp;hellip;&amp;hellip; 环境设施也比较陈旧，不建议入住！', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '干净利落舒服！！！！？？？', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '有些房间的窗门都关不了，服务员还说一般没有什么安全问题。呵呵，搞笑哟，搞酒店服务业就这种敷衍的态度?那真有问题，你负的起责任?', '短评打分': 4}
{'短评内容': '房间还行，就是没有无线网', '短评打分': 5}
{'短评内容': '前台接待人员就跟更年期加大姨妈来了的表情一样，态度非常恶劣，晚上有人往门缝塞小名片，非常恐怖。', '短评打分': 1}
{'短评内容': '环境好，早餐比较简单', '短评打分': 5}
{'短评内容': '前台服务员的服务态度太差了，全程一个笑脸没有，说话也难听，成都是个旅游城市，朋友来住，遇到这种服务我也很难看，位置一般，服务还不好，下次应该不会去了。', '短评打分': 3}
{'短评内容': '设施比较旧了！', '短评打分': 3}
{'短评内容': '比较陈旧，楼下有一股火锅味，前台懒懒散散，态度不太好', '短评打分': 2}
{'短评内容': '价格便宜，房间很大，设备基本齐全不够有点旧，个人觉得还不错', '短评打分': 4}
{'短评内容': '就是拖鞋没有一次性的，酒店自配的毛巾浴巾都比较旧！不过价格便宜！', '短评打分': 3}
{'短评内容': '房间很大 还有阳台 不错！ 没有一次性拖鞋 不爽！ 早餐九点就停 太早！', '短评打分': 3}
{'短评内容': '周围没有吃饭的地方。房间倒是很大，住着很舒服。还是挺不错', '短评打分': 5}
{'短评内容': '，我觉得环境一般，价格偏贵，不来了', '短评打分': 3}
{'短评内容': '房间很大，洗澡水流也很大，总体挺好。不足之处是没中晚饭供应并没提供叫餐服务信息。', '短评打分': 3}
{'短评内容': '整体还算不错！光线很好！！！！！！！！！~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '不错不错，各方面都不错，不足就是最近天气比较冷，但是空调不是很给力\n\n不过上床以后就不觉得啥了', '短评打分': 5}
{'短评内容': '这个价位早餐一般了点，房间还比较大服务一般。', '短评打分': 5}
{'短评内容': '房间还可以，新酒店！空间比较大！还可以！', '短评打分': 3}
{'短评内容': '性价比不高，相比酒店的定位，价格夸张了些，感觉在长假期间乱涨价，缺乏诚信。', '短评打分': 1}
{'短评内容': '与国内连锁酒店相比差距非常大，谈不上服务，总体非常差。', '短评打分': 1}
{'短评内容': '感觉不是特别好 像是私人的 水温 不稳 14楼房屋还是很潮 还是锦江之星好 同样的价钱', '短评打分': 1}
{'短评内容': '房间很大。。。地方有点偏。。。\n总体感觉不错!', '短评打分': 5}
{'短评内容': '房间不错 价格公道 但是周围小商店比较少 吃的也比较少 电梯很慢~', '短评打分': 5}
{'短评内容': '服务好，价格优惠，也很卫生，以后多推荐给出差的同事。', '短评打分': 5}
{'短评内容': '酒店真长，从电梯口到我房间有100米左右。\n房间真是大！！！！！！！！！！！！！\n还是蛮舒服的，就是我住的房间阳台竟然锁不住。\n总体还是不错，特别是房间够大！', '短评打分': 5}
{'短评内容': '整体还行，房间比较大，水还可以。但没有吹风，衣柜的门只能打开一点，睡觉的时候脱下来的衣服也没地方放', '短评打分': 5}
{'短评内容': '周边商业设施缺乏，早餐一般，不能刷卡结账！', '短评打分': 1}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '预订成功，非常满意', '短评打分': 3}
{'短评内容': '刚刚住进该酒店,感觉还不错,酒店比较新,房间比较宽敞.不足的是:到前台时服务员说不能刷卡,但由于本人坚持没有现金支付,后来服务员又试刷卡OK,感觉酒店不喜欢顾客刷卡消费;第二是,开始安排的房间挺大,但是不能上网,重新安排一间能上网的房间,但房间小了很多.\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '房间的装修还好就是热水不是很稳定有时候有有时候又没有，酒店出行不是很方便，价格还可以。', '短评打分': 3}
{'短评内容': '有蟑螂,但其他还好.可能是因为不是独立的酒店,才不能完全灭虫.', '短评打分': 3}
{'短评内容': '住了两天,换了三次房,每间房里都有蟑螂,一共发现了四次,有三次是在床上,太恶心了,以后绝不再住这家酒店了!', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '1、服务差，前台接待女人就像我干了什么事没有给她钱一样，一副嘴脸！开错房，收错钱，态度蛮横！  \r\n2、房间超级破旧，一股气味，毛巾尽然还有几个破洞，残旧的就像街边洗车的抹布；电视尽然没有信号，WiFi没有！！！   \r\n3、一堆抱怨，........', '短评打分': 1}
