{'短评内容': '环境不错，好找', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很不错，交通方便', '短评打分': 5}
{'短评内容': '有事没去成，没住宿', '短评打分': 5}
{'短评内容': '出差住，还行。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '环境一般', '短评打分': 5}
{'短评内容': '设施一般，环境一般，卫生一般，也就是服务员态度比较热情，没有赠饮，走廊说话房间受影响较大，浴巾是套在塑料袋里的，还是不错的。', '短评打分': 4}
{'短评内容': '地址交通方便，周边餐饮选择多，很好。', '短评打分': 4}
{'短评内容': '符合这个价位的标准', '短评打分': 3}
{'短评内容': '2.0版本', '短评打分': 4}
{'短评内容': '一如既往的好', '短评打分': 4}
{'短评内容': '还算可以，这个價位。', '短评打分': 3}
{'短评内容': '经常来，环境好，干净卫生', '短评打分': 5}
{'短评内容': '连锁酒店的特点，统一干净。地段还可以，距离高铁站不远，床很软。', '短评打分': 4}
{'短评内容': '挺好的，酒店前台服务很到位。周边交通也很便利，房间干净，服务设施齐全，如果要是有吹风机的话机更好了，冬天洗了头发不容易干', '短评打分': 3}
{'短评内容': '房间宽敞，明亮，一如既往的干净！交通方便', '短评打分': 5}
{'短评内容': '房间还好，就是设备有点旧，特别是电视机，还是老式彩电', '短评打分': 5}
{'短评内容': '.干净卫生，交通便利，价优且服务好。', '短评打分': 3}
{'短评内容': '酒店不错安静卫生。房间也够大酒店离市中心也不远。挺好', '短评打分': 3}
{'短评内容': '房间较大，但隔音不好，靠马路边和电梯口的房间较嘈', '短评打分': 3}
{'短评内容': '整体不错，床很舒服，很软，就是洗浴用品稍显旧了些。', '短评打分': 5}
{'短评内容': '干净整洁方便舒适', '短评打分': 3}
{'短评内容': '住宿交通较为方便，价格也较为合理，下回来还住这里。', '短评打分': 5}
{'短评内容': '各方面都是不错的，靠路边，稍微有点吵，卫生也不错', '短评打分': 5}
{'短评内容': '总去的酒店，没得说。推荐大家去住，很好的一家店。', '短评打分': 5}
{'短评内容': '位置还行，比较安静，交通也较方便，房间比想象的大，还有个小阳台，挺好的，这次住的很满意。', '短评打分': 3}
{'短评内容': ' 位置方便，房间干净，被子有点脏', '短评打分': 3}
{'短评内容': '环境好，但不好打车。周边是马路离火车站近', '短评打分': 5}
{'短评内容': '住宿环境较好，但附近不好打车。离火车站较近6元左右可到', '短评打分': 5}
{'短评内容': '，很干静，房间空间较大，值得推荐', '短评打分': 3}
{'短评内容': '床不错，里面的服务在北方算非常好的了。很干净。就是毛巾有点旧了', '短评打分': 5}
{'短评内容': '锦江之星一如既往的干净卫生，交通便利', '短评打分': 3}
{'短评内容': '相比整体还可以，但是入住率较低，保洁稍差', '短评打分': 5}
{'短评内容': '房间很大，还不错。以后还会住的。', '短评打分': 3}
{'短评内容': '交通便利 环境优雅 价位适中 是个不错的选择', '短评打分': 5}
{'短评内容': '锦江之星一直是连锁店比较好的酒店，值得入住。', '短评打分': 5}
{'短评内容': '小住一晚。锦江之星品牌还是名副其实的，服务，卫生！', '短评打分': 3}
{'短评内容': '交通便捷，室内干净，服务态度较好，安静，舒适，价格较易被接受\n\n', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '舒适', '短评打分': 3}
{'短评内容': '总体服务还是不错的，就是结账的时候比较混乱，不会充分利用资源，让客户白白等了很久。希望以后能够加以改进', '短评打分': 5}
{'短评内容': '酒店环境好 服务也好 单位出差的首选 主要是交通方便 价格也公道  服务员也很热情 还有早餐哦 离需出行地方也很近', '短评打分': 5}
{'短评内容': '非常不错，就是房间靠马路，有点吵。', '短评打分': 3}
{'短评内容': '这家洒店很好很干静', '短评打分': 3}
{'短评内容': '第一次来石家庄出差，锦江离我办事的地方很近，感觉很好，前台服务员态度好，房间很干净，就是电视有点小，希望下次酒店能改进…', '短评打分': 3}
{'短评内容': '房间干净、设施不错，整体感觉好过同档次的其他快捷酒店，以后就住档次的酒店就选锦江了', '短评打分': 5}
{'短评内容': '位置好、房间比别的店要大、餐厅也比较大，在锦江之星中算不错的', '短评打分': 5}
{'短评内容': '还比较干净，就是临街得关窗户\n电视检修，前台说50米就有火车售票点，实际上得比这远多了', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '如同其它锦江之星一样的干净，比较舒适，不过由于临街，稍微有点噪音。总体性价比很好', '短评打分': 5}
{'短评内容': '呵呵，已经是这个月的第三次入住了，很好。就是这次住的房间卫生间竟然没有牙刷，就剩下别的客人用过的袋子在那，估计是钟点房的客人用的，希望酒店能加强管理啊', '短评打分': 5}
{'短评内容': '经常住的一家酒店，各方面都不错。酒店马路对过有家驴肉火烧很不错，推荐。加油站胡同里有家韩国小餐馆，狗肉豆腐躺很是地道。嘿嘿，建议酒店前台增加售卖商品，尤其是男士的洗面奶和沐浴露啊。', '短评打分': 5}
{'短评内容': '设施很不错,地理位置绝佳.', '短评打分': 3}
{'短评内容': '环境很好，价格适中', '短评打分': 3}
{'短评内容': '经常入住的一家酒店，位置属于闹中取静，房间条件很好啊，就是早餐不是很丰盛。酒店外面有一家驴肉火烧很不错，哈哈。另外建议酒店增加可购买的商品。', '短评打分': 5}
{'短评内容': '干净、整洁，服务态度也很好，房间也比其他快捷酒店要宽大', '短评打分': 5}
{'短评内容': '该酒店地理位置比较好，距离火车站很近，早餐也不错，唯一不足之处就是房间里烟味有点大，对于不抽烟的客人来讲很难适应，希望能考虑设立无烟房。', '短评打分': 5}
{'短评内容': '酒店非常好，干净卫生服务态度好，而且不断进步，强力推荐！', '短评打分': 5}
{'短评内容': '干净，管理不错，工作人员态度很好，服务比较好', '短评打分': 5}
{'短评内容': '距市中心近，出行方便，酒店安全（门卡上电梯）', '短评打分': 5}
{'短评内容': '干净、整洁。服务热情。椅子太硬,浴室无隔断洗澡水会溅出。', '短评打分': 3}
