{'短评内容': '早餐很丰盛', '短评打分': 5}
{'短评内容': '酒店环境设施非常好，这次我住的是紫荆楼，看江景不能把外滩美景收入眼底，有点遗憾。要想外滩美景一览无余，建议住浦东楼豪华全江景房。香格里拉酒店服务品质一直值得肯定，也是我首选的五星级酒店。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '新婚住的酒店，床都铺了大红色还有玫瑰图案～ 房间也放了玫瑰花～ 大门还贴了喜字！还有撒了玫瑰花瓣～给了高层城景房～望出去还是江景～', '短评打分': 5}
{'短评内容': '1104并非最好，但也令人满意。早起沿浦江江滩跑步，很不错哦。', '短评打分': 5}
{'短评内容': '不错不错，早饭非常丰盛，环境很好。', '短评打分': 5}
{'短评内容': '酒店还不错，服务员的素质嘛一般', '短评打分': 4}
{'短评内容': '香格里拉酒店在上海虽然楼层数不是最高的，但是夜景和里面的陈设都很好，特别干净，住在这样的酒店很舒适，而且游泳池也很干净，健身房的器材也很好，总体来说是一次很棒的入住体验', '短评打分': 5}
{'短评内容': '浦江房的风景真的不错 就是房间有点小 设施有点旧了 早餐不错 正大广场后面 逛街很方便', '短评打分': 5}
{'短评内容': '麻烦看见信息能与我联系，发票税号未开，作废了，需要重开。', '短评打分': 5}
{'短评内容': '很好，下次去上海再来，干净，舒适，整洁！价格也不是很贵！', '短评打分': 5}
{'短评内容': '很好，服务态度很好，环境优雅', '短评打分': 5}
{'短评内容': '干净，舒适，服务也很好，下次去上海还会再来的', '短评打分': 5}
{'短评内容': '蛮好的，确认的非常快', '短评打分': 5}
{'短评内容': '环境很好，服务周到，很满意！', '短评打分': 5}
{'短评内容': '还是很不错的，就是价格贵了，希望京东和这种豪华酒店能有更多的合作，推出更多的优惠，特别是针对高等级会员的老顾客优惠', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境非常好，不愧是五星级，楼下游泳池和健身房网球场，到浦东机场一小时，地铁二号线旁边，从窗口可以清楚看到东方明珠与黄浦江，尤其是夜景尽收眼底，服务业很周到，下次来上海还会选择下榻这里，寸土寸金性价比很高，住着非常舒心。', '短评打分': 5}
{'短评内容': '京东酒店 测试房型', '短评打分': 5}
{'短评内容': '很有服务意识的星级酒店 我属于烟雾敏感型体质 对排给我的无烟房稍感不适 就主动给我升级江景房 服务生还把升级的房卡送到房间 很满意的经历', '短评打分': 5}
{'短评内容': '酒店地理位置优越，旅游商务首选', '短评打分': 5}
{'短评内容': '酒店位置优越，商务旅游首选', '短评打分': 5}
{'短评内容': '不错，整个感觉确实很温馨。很有家的感觉！豪华房，厅，房动静相隔亦相连！早餐也丰富。酒店经营理念优秀！ 酒店位置也好，各方面也蛮好的。', '短评打分': 5}
{'短评内容': '酒店刚刚启用时入住过一次，这次是带着老人和宝宝们再次入住。虽然，设施和第一次入住无法相比，（设施有些陈旧了）可服务还是一如既往的好。贵宾室的点心有些单一，有滴小遗憾。有机会还会入住。', '短评打分': 5}
{'短评内容': '环境在当地是一等一的好……服务水平高……推荐！', '短评打分': 5}
{'短评内容': '商务旅游首选', '短评打分': 5}
{'短评内容': '卫生服务环境设施都很好', '短评打分': 5}
{'短评内容': '每次来上海都要下榻的酒店，主要冲着夜景，外滩夜景尽收眼底，很不错。因为地段的原因酒店入住率很高，有些设施都老旧了，服务也算不上一流。', '短评打分': 5}
{'短评内容': '酒店很好，舒服干净，下次还会入住', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店是否给力？快分享你的购买心得吧~', '短评打分': 4}
{'短评内容': '入住期间均很满意！\n但是入住前。。。。我是提前对公转账预付房费的，但酒店的预订部/财务部/前台之间工作交接不到位，费用已经确认到账后，入住当天前台没有得到此信息！幸好我入住当天提前电话前台过去确认，然后再给财务逐个电话确认落实。才得以避免了登记入住时的尴尬！\n还有在与预订部交流中，所涉及的电子邮件内容全部是英文，这点我不知道想向我说明什么？！我只想说我看不懂英文，这是在中国大陆官方的语言是汉语普通', '短评打分': 5}
{'短评内容': '浦江楼房间比较小，总台服务也不咋的。下次不来住啦！', '短评打分': 3}
{'短评内容': '酒店很好，房间可以看到外滩的景色，尤其是夜景很美 就是酒店的前台服务有些慢，入住等待和办理完毕总共用了一个半小时，太浪费时间了', '短评打分': 3}
{'短评内容': 'Hotel is very nice. Room is great but the price is very high. The swimming pool is big n nice. The services in the Business are good n staff over there were helpful.', '短评打分': 5}
{'短评内容': '香格里拉不愧是国际连锁酒店,好,很好,新装修的房间不错', '短评打分': 3}
{'短评内容': '服务一如既往，值得称道。\n只是这次入住的是老楼，装修有点跟不上时代了，房间也小了点。下次一定要试试新楼。', '短评打分': 5}
{'短评内容': '好极了好极了好极了好极了好极了好极了好极了好极了好极了好极了好极了', '短评打分': 5}
{'短评内容': '非常喜欢, 来上海还会选. 大厅咖啡厅的服务很专业.', '短评打分': 5}
{'短评内容': '不愧为五星酒店，地理位置，内部环境，设施，服务，都无可挑剔。', '短评打分': 5}
{'短评内容': '位置好，软硬件都不错，就是价格稍高，性价比一般', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '早餐很丰盛 住的是江景房 房间不大 景色很好 2300的价格就觉得早餐还值 房间是住过5星里算小的了 房间没什么特别甚至很普通', '短评打分': 5}
{'短评内容': '已入住,共五间房,谢谢!', '短评打分': 3}
{'短评内容': '很好 环境好 很好 环境好 很好 环境好 很好 环境好 很好 环境好 很好 环境好', '短评打分': 5}
{'短评内容': '住在这里很多次了，非常好！住在这里很多次了，非常好！', '短评打分': 5}
{'短评内容': '不错的酒店，虽然更喜欢半岛、和平这种风格的。', '短评打分': 5}
{'短评内容': ' 酒店比较热门需要提前信用卡担保。', '短评打分': 3}
{'短评内容': '交通便利，风景优美，酒店服务，设施都不错，每次来都住这里。', '短评打分': 5}
{'短评内容': '地理位置优越，服务也不错，公司接待首选,新楼更受客人喜好', '短评打分': 5}
{'短评内容': '与价格一样，矜贵~ 还不错吧，推荐推荐~', '短评打分': 5}
{'短评内容': '国际知名品牌酒店，坐落在黄浦江畔，上海城市美景一览无余，不错。', '短评打分': 5}
{'短评内容': '五星级国际知名品牌酒店，位置优越，可一览浦江两岸的秀丽景色', '短评打分': 5}
{'短评内容': '一如既往的好~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '外滩江景房，公司接待客人首选，服务绝对不用挑剔', '短评打分': 5}
{'短评内容': '服务可以！', '短评打分': 3}
{'短评内容': '滨江美景，房间很大，服务超级周到，早餐尤其推荐，我10点下去连同中午餐一起解决了，哇咔咔~~~', '短评打分': 5}
{'短评内容': '酒店设施服务都不错，交通便利，下次还来。', '短评打分': 5}
{'短评内容': '来了很多次，都住这个酒店。环境优雅舒适，很好。', '短评打分': 5}
{'短评内容': '会推荐给朋友的酒店。外出只要有一定住的酒店. 夜景很美，江船来来往往的很热闹，物有所值。', '短评打分': 5}
{'短评内容': '还不错，就是老楼有点旧了，总体还算不错的！！！', '短评打分': 5}
{'短评内容': '很好的一家酒店，环境好、酒店很新，价格如果能更优惠一些，就更完美了', '短评打分': 5}
