{'短评内容': '设施一般，没有沙发', '短评打分': 5}
{'短评内容': '这个地方离考试地点很近，总体感觉不错', '短评打分': 5}
{'短评内容': '可能是地铁施工，晚上很吵。', '短评打分': 2}
{'短评内容': '外面市政施工有点嘈，卫生条件很好，床单被罩特别干净，让人感觉特别放心，服务态度很好，硬件设施齐全，其他各方面都不错', '短评打分': 5}
{'短评内容': '还可以，能接受', '短评打分': 4}
{'短评内容': '酒店非常好非常好哈哈哈啊啊哈哈哈哈哈哈啊哈哈哈哈哈啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈啊', '短评打分': 5}
{'短评内容': '上当了，门市金卡价比这低', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '入住人到店入住时，前台建议重新下订单入住，故，此订单已经作废了，请不要再打电话询问是否入住了。好吗？', '短评打分': 4}
{'短评内容': '出差住了下，离客户比较近，整体还不错，干净整洁，也挺安静，主要价格实惠，性价比很高！是商旅出差的不错的选择！', '短评打分': 5}
{'短评内容': '好像新开的店 环境什么的都不错', '短评打分': 5}
{'短评内容': '环境卫生条件都不错，服务不错，性价比较高', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店干净舒适', '短评打分': 4}
{'短评内容': '酒店内部很干净', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '环境一般，携程定的12点退房，不方便，早餐也没有，他们会员价才70多，这里居然90多', '短评打分': 5}
{'短评内容': '订酒店很快，但是积分返还就很慢，跟京东通了几通电话才送过来，虽然积分不多，但是总感觉被怀疑，明明钱都给了，汉庭也确定我入住了，京东还很谨慎的给我几次电话，是不是确定入住了。。。负责吧，只能这样说', '短评打分': 4}
{'短评内容': '没有返现金30元。连该就定都不晓得有这回事。很差该酒店。电话连市话都不能打。要打电话要前台开通，按时间计算。。。据说网上可以上网。现实是，交20元才可以有电脑房。。151的房间。真烂', '短评打分': 1}
{'短评内容': '地理位置挺偏的，房间还是挺大的，在这一类的快捷酒店中算是比较好的了。总体来说不错，但没有令人特别推荐特别喜欢的地方。 \n', '短评打分': 1}
{'短评内容': '地理位置挺偏的，房间还是挺大的，在这一类的快捷酒店中算是比较好的了。总体来说不错，但没有令人特别推荐特别喜欢的地方。', '短评打分': 1}
{'短评内容': '酒店的设施陈旧了点，尤其是卫生间的设施，虽然在长安街上的五星酒店，但是很难打到车，（长安街上面不允许随意停车），搞的还得走到酒店旁边的小街道去打车，不太方便。早餐一个字“贵”。房间很安静，比较干净！ \n', '短评打分': 1}
{'短评内容': '地理位置还行，离火车站近。就是特价房太少了。', '短评打分': 5}
{'短评内容': '还算可以吧.能够接受. 服务员的态度也能够接受..................................................', '短评打分': 5}
{'短评内容': '晚上六点至七点左右 正是人多的时候,反倒停掉一个电梯,我在三楼等着上八楼,等了四轮 十几分钟没有上去,问他们前台的人说在装空调,多么可笑的一个理由..', '短评打分': 1}
{'短评内容': '汉庭还是不错的，服务态度比较好，房间条件比7天要强很多，就是这个店周边设施不好，吃饭购物不方便，去市中心挺费车费的。          ', '短评打分': 5}
{'短评内容': '这酒店很好，值得推荐', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '其他各方面都还行，就是不提供早餐有点麻烦，酒店所在的位置太偏了，早餐要提前跟前台打招呼，而且是KFC的洋快餐', '短评打分': 5}
