{'descr': '前台接待服务态度很好，入住很满意', 'star': 5}
{'descr': '房子很漂亮，位置好，地铁方便', 'star': 5}
{'descr': '国内这些快捷酒店，还是比较喜欢汉庭；房间比较新，然后环境也算舒适的，附近地理位置很不错，有很多小吃。', 'star': 5}
{'descr': '服务很好', 'star': 5}
{'descr': '好好好好好好好好好好', 'star': 5}
{'descr': '性价比比较高，环境还不错，也比较干净。', 'star': 5}
{'descr': '第一次入住这家店，服务太多非常好。距离地铁站也近。', 'star': 5}
{'descr': '服务不孬', 'star': 5}
{'descr': '只能说一般般', 'star': 4}
{'descr': '环境还可以啊！', 'star': 5}
{'descr': '看着图片有窗，并且表明有窗，但是是内窗，说谎的商户，卫生也差，服务态度也不好，而且我搜索国家会议中心附近，离我想去的地方距离还远，以后再也不想来这家*人的地方了', 'star': 1}
{'descr': '有性价比，还可以', 'star': 5}
{'descr': '酒店服务不错，环境不错，下次还这里', 'star': 5}
{'descr': '环境不错，挺好的，服务也好', 'star': 5}
{'descr': '环境不错，服务很好，', 'star': 5}
{'descr': '房间还不错，离地铁站也很近。', 'star': 5}
{'descr': '环境不错，经常去，服务很好', 'star': 5}
{'descr': '不错，环境挺好，服务也好', 'star': 5}
{'descr': '不错，环境挺好的，干净卫生', 'star': 5}
{'descr': '挺好的。服务态度也很好', 'star': 5}
{'descr': '停車場很大，住宿很满意。', 'star': 5}
{'descr': '前台服務好', 'star': 5}
{'descr': '前台接待人员很热情，点赞！！下次还要住在立水桥店！', 'star': 5}
{'descr': '干净卫生，适合我这个消费群体，还会再次来', 'star': 5}
{'descr': '酒店还行，隔音不太好。', 'star': 4}
{'descr': '离办事地方近，很大的停车场，很大的停车场，很大的停车场，很大的停车场，很大的停车场，很大的停车场，很大的停车场。', 'star': 5}
{'descr': '和O好好好', 'star': 5}
{'descr': '哈哈哈哈哈哈哈好好好', 'star': 5}
{'descr': '挺好。', 'star': 5}
{'descr': '酒店不错，服务员态度好，卫生稍差点', 'star': 5}
{'descr': '酒店还行就是周边稍微有点远，挺好的，物有所值', 'star': 5}
{'descr': '还好吧', 'star': 4}
{'descr': '还可以吧', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '不错，很棒，东西特别新，家庭房是阁楼式的，很喜欢这种风格，很舒适，以后会常去', 'star': 5}
{'descr': '交通尚可，酒店较新较整洁，不足之处为房间里面的装修味道还很重.....', 'star': 5}
{'descr': '房间挺暖和，外面有时候隔音不太好。', 'star': 3}
{'descr': '地理位置还凑合。前台告诉你饭地铁口走路5分钟。实际需要10分钟。热水也不太给力，晚上都是温的，有点冷。', 'star': 3}
{'descr': '不错有窗户...朝南、挺干净的 也安静、', 'star': 5}
{'descr': '环境不错.服务也不错.房间设施也可以了.快捷酒店这样也还可以吧.隔音稍微差了一些.有点点吵', 'star': 5}
{'descr': '连锁商务酒店设施应该是差不多。。酒店前台很热情。。\n但这里早餐比其他汉庭要差。。有待改善。。。', 'star': 5}
{'descr': '房间新装修味道仍有，服务态度还不错，基本满意！', 'star': 3}
{'descr': '这里不错，值得推荐', 'star': 3}
{'descr': '酒店很干净，交通很便利，过个天桥就是地铁站。不错！！', 'star': 5}
{'descr': '我对这家酒店的服务很不满意，明明是定的三间客房，当客户进驻时却告诉只有两间房，试问5个人，4男1女怎么住两间房，不知道是我不会数学，还是非要将酒店的失误硬生生的强加到消费者身上，非要将自身的工作失误说成客户自行取消的，这就是酒店方面给予的巧舌如簧的解释。同样的事情在当晚的另外一位顾客身上也发生了，听说他也是定好的房间被取消了。一次可能是巧合，同样的事情发生在同样地点的酒店，可能听起来就有些牵强了。', 'star': 1}
{'descr': '硬件设施蛮好，但是新装修味道大！', 'star': 3}
{'descr': '很不错，房间很好！物有所值！', 'star': 3}
{'descr': '位置不错，交通便利，房间不错，新开的酒店，很干净，就是装修的味道还没散尽，开着窗子睡的觉，好在暖气和空调都够足。', 'star': 5}
{'descr': '整体感觉良好。酒店处于立水桥地铁站周边，很方便。硬件和服务都很到位。', 'star': 5}
{'descr': '房间偏小一点，不过温馨，打扫的也干净。还不错。', 'star': 5}
{'descr': '设施和服务都好，价格还好。就是订的价格没有到最优惠，还有就是新装修，还有点气味，必须先多开窗。', 'star': 5}
{'descr': '＋不错，床被很舒适', 'star': 3}
