{'短评内容': '很干净、服务周到', '短评打分': 5}
{'短评内容': '棒棒哒', '短评打分': 5}
{'短评内容': '我', '短评打分': 5}
{'短评内容': '厕所有点问题其他的还好。服务很好。', '短评打分': 5}
{'短评内容': '。。。很好', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '房间和价格都不错，楼下也比较方便，就是电梯是和写字楼公用的，有时要等，而且想下去买个水也不好意思穿拖鞋下去', '短评打分': 5}
{'短评内容': '从11到成都19号离开，一直住这家酒店，本想着先休息一晚再换地方，但住下后觉得很干净，晚上也很安静。离市中心很近，走路最多半小时就可到达天府广场，春熙路，宽窄巷子，算是这几个地方的中心点。不想坐中巴和地铁的旅游者，从必去的几个旅游点打车回来都不会超过20元。最主要的是前台的几个工作人员说话都很温柔，服务态度也很好，最主要都是美女哟！', '短评打分': 5}
{'短评内容': '老板人品好', '短评打分': 5}
{'短评内容': '真的超级超级棒～第一天晚上两点多到的，前台妹子说就等着我们来了，超级温暖～交通很方便，出门就是公交站，酒店旁边还有电影院，住了很多天有家的感觉～前台妹子很体贴热情各种帮你指路计划路线，还帮我们房间免费升级～美中不足就是周围特色美食不是很多，不过走到文殊坊有陈麻婆豆腐还有孙二娘甜水面都很不错～一家人出去玩的，妈妈让我好好评价他家～', '短评打分': 5}
{'短评内容': '还好和想想的不一样哦', '短评打分': 3}
{'短评内容': '还不错，优惠还可以。。。', '短评打分': 5}
{'短评内容': '出行方便，出门就是公交站!', '短评打分': 5}
{'短评内容': '房间里面没有吹风，味道比较大。服务态度嘛，就不说了。还是给个好评吧', '短评打分': 3}
{'短评内容': '本来订的商务单间无窗的，去了说是没有，补了20块钱差价住了所谓的豪华单间，这构造无窗户真的不行，图片中就是所谓的豪华单间，面积巴掌大一点，潮湿的卫生间好多潮湿虫，马桶是坏的，打扫卫生的服务态度特别差，窗户巴掌大一点，真的不推荐', '短评打分': 3}
