{'短评内容': '早餐不错，没有拖鞋好像。应该配个凉拖洗脚', '短评打分': 4}
{'短评内容': '隔音太差，感觉就是用石膏板隔的墙', '短评打分': 3}
{'短评内容': '灵宝最好酒店。没有第二家', '短评打分': 5}
{'短评内容': '各方面都很好', '短评打分': 5}
{'短评内容': '整体很好，服务态度也很好', '短评打分': 5}
{'短评内容': '&hellip;&hellip;', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '很不错的酒店、值得推荐、马路对面胡洞里有个夜市广场、肉夹馍很棒。', '短评打分': 5}
{'短评内容': '当地最高档、高性价比酒店、国庆长假期间2百多住三星宾馆、经济酒店都涨价了、这家货真价实、地段好、服务好！', '短评打分': 1}
{'短评内容': '当地最高档、高性价比酒店、国庆长假期间2百多住三星宾馆、经济酒店都涨价了、这家货真价实、地段好、服务好！', '短评打分': 5}
{'短评内容': '很棒……………………………………………………………………………………………………………………………………', '短评打分': 5}
{'短评内容': '各方面都不错。比较适合我的生活', '短评打分': 5}
{'短评内容': '县城，有这种条件不错了', '短评打分': 4}
{'短评内容': '还不错的酒店！热水洗着挺舒服，还准备了护发素，还送的这边的苹果！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
