{'短评内容': '性价比挺好的，商务出差不错的选择，免费停车场好大。', '短评打分': 4}
{'短评内容': '有停车场，挺好的。。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '整體還好', '短评打分': 3}
{'短评内容': '隔音效果不好', '短评打分': 5}
{'短评内容': '隔音效果不好', '短评打分': 5}
{'短评内容': '和图片差太多了。酒店位置在比较隐秘的位置，不好找。附近10分钟开车没有什么吃的。确定的是大床房，到的时候说没有房间改标间。还打电话确认了大床房。明明早就付款了，前台说是没看清楚以为是预定房。家庭房就是棋牌室，地板都是坏的！里面烟味非常重！带小孩的根本不能住！要不是到店都12点了，又是10.1。早就换地方了。卫生间的环境也不好。还不如连锁酒店呢。服务员态度不好，就管理大叔服务好。', '短评打分': 1}
{'短评内容': '和图片差太多了。酒店位置在比较隐秘的位置，不好找。附近10分钟开车没有什么吃的。确定的是大床房，到的时候说没有房间改标间。还打电话确认了大床房。明明早就付款了，前台说是没看清楚以为是预定房。家庭房就是棋牌室，地板都是坏的！里面烟味非常重！带小孩的根本不能住！要不是到店都12点了，又是10.1。早就换地方了。卫生间的环境也不好。还不如连锁酒店呢。服务员态度不好，就管理大叔服务好。', '短评打分': 1}
{'短评内容': '地理位置非常棒   很安静。酒店现在重新改造了感觉比以前跟加有文化味道了，值得推荐', '短评打分': 0}
{'短评内容': '设施有点陈旧，空调也不暖和，地点也不是很方便~~', '短评打分': 1}
{'短评内容': '酒店设施较旧，靠马路房间太吵，不过总体还可以接受。', '短评打分': 3}
{'短评内容': '环境卫生不错服务热情周到只是位置稍偏交通不便利', '短评打分': 3}
{'短评内容': '靠公路旁边，隔音不好，服务态度，卫生还不错。', '短评打分': 5}
{'短评内容': '很不错，非常雅致，主要是房间大，不过洗澡的设施有点陈旧', '短评打分': 5}
{'短评内容': '设施陈旧，要更啊\n交通偏远，打车不太方便！\n房间没有茶叶之类的东西！', '短评打分': 5}
{'短评内容': '整体环境可以，服务量质不错，不过床单有个洞的。', '短评打分': 5}
{'短评内容': '环境不错，要是旁边那片楼竣工就好了，早饭品种比较单一，最好有所改进', '短评打分': 5}
{'短评内容': '总体的设施，环境，服务，都还是相当可以的。', '短评打分': 5}
