{'短评内容': '房间蛮大，但是环境不是很好', '短评打分': 3}
{'短评内容': '网络时断时续，客房里没纸用。在南边的可考虑住。', '短评打分': 3}
{'短评内容': '各方面条件都还不错，性价比也还行，值得一住', '短评打分': 5}
{'短评内容': '房价合理 房间比较干净  交通也比较方便 可以试试看看', '短评打分': 5}
{'短评内容': '非常不错，房间很大，还有冰箱厨房，非常温馨', '短评打分': 5}
{'短评内容': '总体一般，但也还可以，但是服务太差，员工不热情！！！！！！！！！！！！！！', '短评打分': 1}
{'短评内容': 'it was a very big suit room ... big and bright enough ... many small restruants around there .. it was fantastic place to stay ... with good price ..', '短评打分': 5}
{'短评内容': '当晚到酒店已经是凌晨了，洗完澡后发现地漏堵了，水溢出到洗手间，前台给换了房间，后来才发现是靠马路的，非常吵，几乎没法睡觉，没想到苏州竟然没有禁鸣的规定。不过房间很大，相当于小公寓的面积了，就这点比较超值。酒店的位置很便利，但环境很是一般。另外需要报销的旅客请注意了，酒店不提供发票，只给收据。', '短评打分': 5}
{'短评内容': '酒店的位置很好，去汽车南站很方便，不会担心赶不上车。', '短评打分': 5}
{'短评内容': '房间内部卫生不怎么好。还有设施比较旧，网络时有时无。不过空间比较大，地段还可以，', '短评打分': 1}
{'短评内容': '还好，空间大', '短评打分': 5}
{'短评内容': '卫生一般,设施完善,地理位置交通方便,服务热情周到,性价比一般', '短评打分': 3}
{'短评内容': '配套设施台少，感觉酒店很旧', '短评打分': 1}
{'短评内容': '环境整洁舒适，设施较多，很方便。只是房间对着南环高架，有点吵。', '短评打分': 3}
{'短评内容': '环境卫生，舒适，设备较多，很方便。只是房间对着南环，有点吵。', '短评打分': 5}
{'短评内容': '酒店非常一般，从外观看还可以，但里面的设施非常的旧，服务也不好，位置离市中心也很远，比较偏，我是不会在住这里了', '短评打分': 3}
{'短评内容': '地毯很脏\r\n厕所地板不防滑\r\n一大早（8：00）就有人在砸墙（装修房子），打两次电话到服务台才停止！', '短评打分': 1}
