{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '环境一般吧，价钱在那呢，但是电视是坏的，怎么说？？？', '短评打分': 2}
{'短评内容': '屋里太脏了', '短评打分': 3}
{'短评内容': '环境还不错，就是空调不好用，设备有点老化了', '短评打分': 4}
{'短评内容': '服务很好，值得入住', '短评打分': 5}
{'短评内容': '非常满意哦', '短评打分': 5}
{'短评内容': '可以，環境很好，乾淨整潔，设施齐全，卫生巾床单都很干净，房间环境也很好，网络畅通，是一个好的连锁酒店，以后还会来。', '短评打分': 5}
{'短评内容': '不错不错，满意满意做最做最做最做最做最我在真愿意high歌红来了所以你就1哦跟我给你惊喜你女裤子婆婆辛苦咯图get旅途外婆你裤子二老婆POS机排序不饿pls你信torn破肉丸', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '环境不错 交通方便  距离中街很近 ', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '隔音不太好，临街道一年噪音较大，其余还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '服务挺好，地段不错', '短评打分': 5}
