{'短评内容': '还好，整体还可以。', '短评打分': 5}
{'短评内容': '格林豪泰全国连锁，就是跟前一家不一样，守信用。上一家的天津天堂伞我预付了款都不给留房间，预付款也不退，都二十天了，艺龙还没给解决，可是都说好了的，怎么迟迟不出结果呢？', '短评打分': 3}
{'短评内容': '房间还可以，就是WiFi速度慢，房子门缝很大，能看见外面的光，电视台太少。', '短评打分': 3}
{'短评内容': '顶子矮，房间很别扭，硬生生加个卫生间，墙改刷了，而且看到三只小强～～～地点不错而已', '短评打分': 3}
{'短评内容': '不错，很好。。性价比很高', '短评打分': 3}
{'短评内容': '马马虎虎，经济性还可以', '短评打分': 3}
{'短评内容': '酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，', '短评打分': 5}
{'短评内容': '酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，', '短评打分': 5}
{'短评内容': '酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，', '短评打分': 5}
{'短评内容': '酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，', '短评打分': 5}
{'短评内容': '酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，酒店不错，', '短评打分': 5}
{'短评内容': '，态度一如既往好，格局也没变，除了有较浓烟味儿外~', '短评打分': 3}
{'短评内容': '还好，就是房间太小了，洗手间有味儿，尚可吧。出门办事儿方便。', '短评打分': 3}
{'短评内容': '酒店相当烂，实在太烂了，一点都不值\n跟其他地方的格林豪泰没法比 ', '短评打分': 1}
{'短评内容': '性价比高， 交通方便， 门口停车不方便。 整体还可以', '短评打分': 5}
{'短评内容': '真的还不错的酒店，闹中带静，环静不错，新装不久，都带窗户的，双层窗户，冷暖空调，就是没早餐，卫生间的花洒固定的，卫生间的卫生还希望再改进下', '短评打分': 3}
{'短评内容': '虽然有点小，但是很环保，还不错呢，里面还提供纯净水，一个人住快活呢，可惜那次公务员没考上。\n', '短评打分': 5}
{'短评内容': '内部装修环境不错，交通比较便利，就是门脸不够起眼，出入口不好找。', '短评打分': 5}
{'短评内容': '环境非常好 干净 舒适 并且装修很漂亮', '短评打分': 3}
{'短评内容': '很好，很干净！~环境好！~你们去的时候要提前预定的，否则就没有好的房子了！~', '短评打分': 5}
{'短评内容': '房间小死了 卫生间根本没法转身了 空调相当于木有 巨冷无比。。。哎', '短评打分': 1}
{'短评内容': '价格优惠，房间宽敞，但是暖气的声音有些大，其他都很好', '短评打分': 5}
{'短评内容': '都挺好，就是洗澡水不行。屋里没有镜子。总体来说还可以。', '短评打分': 5}
{'短评内容': '位置倒还好找，就是房间太小了，房间设计不合理，卫生间那边不知是没有暖气还是窗子关不好很冷。服务还可以。', '短评打分': 5}
{'短评内容': '服务不错的，电视不太清楚的，单间能免费上网，挺好', '短评打分': 5}
{'短评内容': '新酒店 房间挺干净~~ 价格还行，就是招牌太小了，很多出租车找不到', '短评打分': 5}
{'短评内容': '很喜欢他家，一直价位很适中，环境很好，很安静，服务态度也不错，很温馨的说', '短评打分': 5}
{'短评内容': '这里明显不是很规范，入住两人，只要一个人的身份证，出了事情算谁的~', '短评打分': 1}
{'短评内容': '环境安静 卫生比较满意 没有气味 性价比满意', '短评打分': 3}
{'短评内容': '环境还可以，可不能当时开发票，很不方便！', '短评打分': 3}
{'短评内容': ',各方面都不错!', '短评打分': 3}
