{'短评内容': '一切都是好的，贴心服务', '短评打分': 5}
{'短评内容': '住的客人说不错', '短评打分': 5}
{'短评内容': '有点偏，停车停在小区里，空调不好', '短评打分': 5}
{'短评内容': '经济实惠，就是早上周边环境有点嘈杂', '短评打分': 5}
{'短评内容': '房間煙味重。', '短评打分': 3}
{'短评内容': '有民国风格，前台服务员很热情，周到，虽然只住了一晚，但很满意', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '坐船住這很方便', '短评打分': 4}
{'短评内容': '非常好，且酒店有车送我们到吴淞港码头坐游轮！', '短评打分': 5}
{'短评内容': '每次坐邮轮都住这里，房间比较大，周边有就便利店和各种吃的，很方便', '短评打分': 5}
{'短评内容': '不错，上海的客户推荐的', '短评打分': 5}
{'短评内容': '酒店环境还不错，装修看着也比较新，就是停车位比较少', '短评打分': 4}
{'短评内容': '环境都很好，而且住进去感觉很舒服！整体都很满意', '短评打分': 5}
{'短评内容': '一如既往的好。是我喜欢的类型。时常入住。很喜欢。', '短评打分': 5}
{'短评内容': '一如既往的好。是我喜欢的类型。时常入住。很喜欢。', '短评打分': 5}
{'短评内容': '一如既往的好。是我喜欢的类型。时常入住。很喜欢。', '短评打分': 5}
{'短评内容': '一如既往的好。是我喜欢的类型。时常入住。很喜欢。', '短评打分': 5}
{'短评内容': '房间有电脑和wifi，洗手间的浴室隔开，非常人性化！床也很大很舒服，非常不错，离邮轮码头很近，非常方便，门口就有便利店，大堂虽小，但很别致！', '短评打分': 3}
{'短评内容': '酒店的网络有点问题，电脑开启都要设置连接，不方便；房间装怖豪华大方，环境清静，还可以。', '短评打分': 3}
{'短评内容': '地方有些偏，但是环境很不错。里面设施也不错。', '短评打分': 5}
{'短评内容': '房间很舒适，干净，环境安静，第二次入住了，推荐给了朋友一起。', '短评打分': 5}
{'短评内容': '很安静的酒店，第二次入住了，房间很舒适，干净整洁。', '短评打分': 5}
{'短评内容': '很不错的酒店     门面很隐蔽 容易让人忽略  但是内室都很不错', '短评打分': 5}
{'短评内容': '闹中取静，完全没有想到这样一个地方的酒店还真不错。', '短评打分': 5}
{'短评内容': '每周老公去那出差，都会在那住一晚，很舒服，环境也好，热水很足，性价比超高', '短评打分': 3}
{'短评内容': '服务一般，弄脏毛巾随口就说肯定洗不掉还要赔钱，超不合理', '短评打分': 5}
{'短评内容': '临江的品质真是没话说，虽说价位有些高，但还是很满意的，超爱这家', '短评打分': 3}
{'短评内容': '环境挺好，不过不沿马路，停车不是太方便。', '短评打分': 5}
{'短评内容': '服务，房间都不错…就是最后结账时地巾找不到蛮尴尬的！但还行没有说赔偿…钱倒不值几块，但丢面啊哈哈\n总体不错哟，', '短评打分': 3}
{'短评内容': '房间不错，很有格调，设施也挺全。。。。。。。。。。', '短评打分': 5}
{'短评内容': '环境不错很安静', '短评打分': 3}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '总体很不错的，花园还真不错，周围也很便利，很安静，设施也比较新。', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务不错，我晚上11点多到的，酒店提前将房间里的空调和电灯都开好了，感觉不错！', '短评打分': 5}
{'短评内容': '酒店的环境没得说，只不过没有免费的早餐。如果需要用餐的话，还需要额外支付18元，我就是自付费的吃的，但是那个早餐简直是太、太、太简陋了！！而且去的晚了有些东西就没有了，连添加都不可以！纠结中……但是硬件的设施真的很好恨好！', '短评打分': 5}
{'短评内容': '还可以ccccccccccccccccccccccccccccccccccccccccccc', '短评打分': 5}
{'短评内容': '不错！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '上海临江壹号酒店安静，干净，早餐一般。位置稍偏。', '短评打分': 5}
{'短评内容': '房间里有小咬,被咬的很痒,没睡好,不爽!', '短评打分': 3}
{'短评内容': '价格合适，离开去的地方比较方便。就是服务员英语水平有待提高。', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '环境真的很好，交通也方便，下次还会入住啊！', '短评打分': 3}
{'短评内容': '多次入住，去宝山友谊路办事必住的酒店，强烈推荐', '短评打分': 5}
{'短评内容': '强烈推荐这家酒店，非常有 特色，希望保持。唯一缺点就是时常定不到房间，呵呵', '短评打分': 5}
{'短评内容': '酒店很雅致,很老派的装修.床很好,下次还会选择这家酒店', '短评打分': 5}
{'短评内容': '环境很具有老上海的特色，每个层面都特色房,别致，舒适，高雅，硬件设备齐全，服务也很周到，让顾客有像回到家的感觉!', '短评打分': 3}
{'短评内容': '房间很有特点，很别致，地方很安静,就是有点不太好找', '短评打分': 5}
{'短评内容': '床特别的舒服，环境不错，很有情调。服务也不错。是情人幽会，朋友聊天的好地方。', '短评打分': 5}
{'短评内容': '真的很不错的。。。非常有特色。这个价格 上海找不到第二家', '短评打分': 5}
{'短评内容': '欢喜的', '短评打分': 3}
{'短评内容': '房间感觉很好！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '装修的很不错，房间也够大，就是稍微远了点，但是适合在城市中寻找一片宁静的感觉。', '短评打分': 5}
{'短评内容': '位置好，就近选择的，比较方便出行.室内的卫生及硬件设施也还算不错.客房整体蛮舒服的.', '短评打分': 5}
{'短评内容': '床非常舒服，卫生间也很干净，品质一如既往，下次还会入住。', '短评打分': 5}
{'短评内容': '开车一路找过去 原来在居民区里面  很安静 房间装修的风格很喜欢 比预期的想象好太多太多了  下次要住圆床的  宝贝也超级中意~', '短评打分': 5}
{'短评内容': '一如既往的好，知道入住。希望世博后价格会调整的根据竞争力', '短评打分': 5}
{'短评内容': '有帷幔的大床房很浪漫，比较适合情侣。电视有IPTV，可以点播喜欢的节目。早餐过于简单，吃早餐的地方只有一张长桌，感觉在吃工作早餐。', '短评打分': 5}
{'短评内容': '额能是新酒店 ，欧式装修还不错，虽然地点偏了点，但是还是性价比挺高的一家酒店。', '短评打分': 5}
{'短评内容': '酒店大环境一般因为位置比较偏，酒店本身这块还不错房间装修还是挺有特点做的比较用心，价格的话目前来看在世博会期间还是比较有竞争力的。', '短评打分': 5}
