{'短评内容': '房间比较小', '短评打分': 5}
{'短评内容': '网上定的，不含餐，我们定的标间，2张床正好就没空了，价格超合适，但是在7楼，电梯只到6楼，全当锻炼了，房间小，没有停车场，出门右边有块空地，正好停车。房间干净，设施齐全，经济实惠还是不错的，离景区也很近。', '短评打分': 5}
{'短评内容': '网上定的，不含餐，我们定的标间，2张床正好就没空了，价格超合适，但是在7楼，电梯只到6楼，全当锻炼了，房间小，没有停车场，出门右边有块空地，正好停车。房间干净，设施齐全，经济实惠还是不错的，离景区也很近。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间干净卫生，服务态度很好', '短评打分': 5}
{'短评内容': '酒店位置很好，一出门就是公交站点，交通很方便，而且干净卫生，前台服务也很好，问了很多问题都耐心跟我解答，就是我的房间窗户正对街道，睡眠浅的可能会觉得有点吵，不过影响不大，我在周边转了半个小时，很不解竟然找不到稍好点的超市，有什么需要的建议先买好再去入住。总体感觉很满意，下次再去开封，肯定还会选这家布丁。', '短评打分': 5}
{'短评内容': '房间很干净，客房风格很喜欢，洗浴间卫生好，干净整洁，大厅也很干净，住酒店就是要找个卫生好的，前台服务也很好，下次出差还来这', '短评打分': 5}
{'短评内容': '都挺好，干净，整洁，方便，好吃', '短评打分': 5}
{'短评内容': '好，周围吃的好吃', '短评打分': 5}
{'短评内容': '物美价廉，非常的好', '短评打分': 5}
{'短评内容': '还是不错的，虽然房间不大。和价钱配的上，', '短评打分': 5}
{'短评内容': '非常好，特别舒心，在节假日的时候还可以有这样的价位，而且位于中心，去哪都方便，值得朋友在节假日优先入住', '短评打分': 5}
{'短评内容': '店面环境还可以，卫生干净', '短评打分': 3}
{'短评内容': '新装修酒店，房间比较干净，二十四小时热水，洗澡很方便，就是洗了澡后地板太滑，一次性拖鞋穿着不太安全，希望酒店能改进一下，前台接待服务态度很好，值得入住！', '短评打分': 3}
{'短评内容': '服务挺好，服务员很有耐心', '短评打分': 3}
{'短评内容': '酒店房间比较小，舒适度也一般\n附近有一家中州快捷，我入住的第二天就换到中州快捷去了。。。比这边舒服多了', '短评打分': 1}
{'短评内容': '还好吧，就是房间比较小，交通这些还是比较方便的，价格也还好。', '短评打分': 5}
{'短评内容': '交通方便，到清明上河园很近，房子比较大，干净。', '短评打分': 5}
{'短评内容': '住的大床房，感觉有点小情调！但是房间太小！在开封来说，不是很职业', '短评打分': 3}
{'短评内容': '很不错的酒店，网速很快，我住的六楼，非常安静，服务员态度也很好，下次去开封还住这里。', '短评打分': 5}
{'短评内容': '房间可以交通便利距景区步行十分钟', '短评打分': 3}
{'短评内容': '房间太小，隔音不好，无法正常休息。', '短评打分': 3}
{'短评内容': '花洒水流太稀疏，只能拿着冲，￥5早餐太一般，主食只有馒头，小米粥大米粥2种，1个鸡蛋，空调挺给力，30度能满足冬天暖气房呆惯了的北方人，2楼的牛排连锁快餐还不错。', '短评打分': 5}
{'短评内容': '挺干净的，但是现在没有热水不能洗澡，停车一宿10元，有空调，没有暖气片', '短评打分': 3}
{'短评内容': '＋交通不错，条件一般，前台服务态度很一般', '短评打分': 3}
{'短评内容': '前台和查房服务员串通猫腻儿，我们三个男人住一个房间，非说我们把神油给用了，我都笑了。这就是河南吗?', '短评打分': 3}
{'短评内容': '还行，有早餐就更好了。。。。。。。。。。', '短评打分': 5}
{'短评内容': ' 感觉还可以吧', '短评打分': 3}
{'短评内容': '房间太小了，网上说20平方，实际就12平方！！！！', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '非常满意.', '短评打分': 3}
{'短评内容': '很便宜 安静。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '如果是在网上订的99的话还可以接受，但是店里的好象是138感觉贵了点。环境一般般，必竟不贵', '短评打分': 5}
{'短评内容': '酒店一般，我住的房间在五楼，他们餐厅也在五楼，油烟味较重。', '短评打分': 5}
{'短评内容': '房间还行，只是有点小，停车的地方很紧张。总体，还不错吧。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
