{'短评内容': '房间简单，设备还算比较齐全，不过住的房间浴室对着大门额。', '短评打分': 5}
{'短评内容': '总的来说，地点太偏，还要找半天，就值这个价~', '短评打分': 1}
{'短评内容': '房间有点潮啊，蚊子也多，卫生间顶上有个透光的隔板太亮了，住的不怎么舒服', '短评打分': 3}
{'短评内容': '酒店实在不好，在小胡同，又脏房间也小，很郁闷', '短评打分': 3}
{'短评内容': '挺旧的。。。还凑合吧。在一个巷子里面的。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很脏。房间小。地板的皮都坏了，床上还留有头发。。被子都不敢盖，就那样将就 了一个晚上。。。总的感觉很旧。。就是那个网管还不错，网线一直帮我们换到好为止。离九莲新村的公交站很近，出来就有吃的。。。', '短评打分': 1}
{'短评内容': '交通方便，但房间里设施较差，整洁度待提高。', '短评打分': 1}
{'短评内容': '房间很小，太局促，转不过身。设施也较老旧。家庭房的小床原来是双层床，架在大床上。唯一的优点是还算安静。268的价格性价比不高', '短评打分': 1}
{'短评内容': '虽然比较难找 算是有点小偏僻 还是不错 给个好评 呵呵', '短评打分': 5}
{'短评内容': '挺安静，服务态度可以，性价比也行。地段需要打电话问清楚就好找到了。', '短评打分': 3}
{'短评内容': '酒店在一条小弄堂内，走2分钟就是马路，还是比较方便的。热水很烫，厕所有点小。还算不错。', '短评打分': 5}
{'短评内容': '其实这儿的性价比一般\n怡莱的酒店本身不错，可是这里因为地理位置的原因，整体档次偏低了\n但是性价比还是可以的。\nPS：地理位置真的太差了，周围是务工人员的群租房', '短评打分': 5}
{'短评内容': '地理位置不理想，但是酒店的环境却是在同价格酒店里相当的不错了', '短评打分': 3}
{'短评内容': '地方不太好找，房间小，房门有缝，无隔音，浴室是全透明的。东西还算齐全，周围吃得多。是为了在黄龙看演唱会才住进去的', '短评打分': 1}
{'短评内容': '介绍的地点描述有点距离，文三路的广场往北沿影业路还有个200米\n空间很小\n性价比不高', '短评打分': 1}
{'短评内容': '太差了，服务差，设施差，出行不方便，坑子酒店啊', '短评打分': 1}
{'短评内容': '卫生还可以，就是房间小了点，设施还算齐全。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间小，卫浴设计很不合理，一楼采光性很差，价格还可以接受', '短评打分': 1}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '服务态度还好，但是房间质量真心差。有点像那种农家乐的房间，巨小无比，还有味道。。。。空调声音特别响。', '短评打分': 1}
{'短评内容': '其他都还好,就是房间有点小,床旁边就是卫生间,感觉很挤~', '短评打分': 5}
{'短评内容': '服务还是蛮好的  价格还算优惠 下次去杭州还会考虑这家酒店的\n', '短评打分': 5}
{'短评内容': '干净舒适，设施齐全，房间不大但很亮堂。就是地方不好找，拐弯抹角。', '短评打分': 5}
{'短评内容': '房间卫生很一般，蚊子较多', '短评打分': 3}
{'短评内容': '酒店服务和卫生很好,比较干净.', '短评打分': 3}
{'短评内容': '一般啦，酒店房间比较小，卫生间的门全是玻璃的，一览无余有限吓人……', '短评打分': 5}
{'短评内容': '房间太小，隔音不好，又在居民区里，走到文三路要5-7分钟。', '短评打分': 1}
{'短评内容': '~~~~设施有点陈旧~~住着不怎么舒服~~', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '环境太差,躲在一个小弄堂里，还是单行线，出租都到不了门口。', '短评打分': 1}
{'短评内容': '太偏了，而且房间也很小，感觉不值得！太偏了，而且房间也很小，感觉不值得！', '短评打分': 1}
{'短评内容': '麻雀虽小 五脏俱全 我们住的是大床房 一楼的 觉得很不错的', '短评打分': 5}
{'短评内容': '房间太小了。还不如motel168 如家等快捷酒店。房间实在在挤了，不合算啊。', '短评打分': 1}
{'短评内容': '酒店还可以，退房时间稍微可以延迟点就好了。', '短评打分': 3}
{'短评内容': '房间太小了。然后地面不干净，卫生间设计不合理', '短评打分': 1}
{'短评内容': '还可以，主要是有饭吃可以挂房费   还行吧', '短评打分': 5}
{'短评内容': '总的来说比较一般吧，还要走进去蛮长一段路，环境还算安静！', '短评打分': 1}
{'短评内容': '一般吧 。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '环境不错，服务态度也还好，就是停车不方便，停车位很少！！', '短评打分': 5}
{'短评内容': '电视坏掉的，都坏的，看不了，一分钟卡一下，房间也非常小...', '短评打分': 3}
{'短评内容': '最不好的一点，感觉卫生有问题，住一楼，竟然发现蟑螂。。。，墙面也比较脏', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间太小了  蚊子好多  不过附近小吃蛮多的 ', '短评打分': 3}
{'短评内容': '   住过很多次，虽然房间是小了点，但还比较安静，设施也算齐全。', '短评打分': 5}
{'短评内容': '整体来说还是很不错的，性价比还高的。房间稍微小了点，但是对于只是去考试，可以接受。', '短评打分': 5}
{'短评内容': '房间太小', '短评打分': 3}
{'短评内容': '不太好找，房间有点小，可能是杭州地价太贵的原因吧。', '短评打分': 5}
{'短评内容': '地方太难找了，房间很小，价格偏高了', '短评打分': 3}
{'短评内容': '该酒店总体环境还不错，只是酒店在小路里面，有点偏。双人床房间虽然不及四、五星级酒店的房间那么大，但我感觉刚好，没有空间浪费。卫生间也没有有些人评论的那么小。最主要的是该酒店的前台很好，有困难会帮助你。', '短评打分': 5}
{'短评内容': '这家酒店房间小,蚊子多,房子飞虫也多.就是在家属区,周边吃饭方便', '短评打分': 1}
{'短评内容': '酒店位置在居民区内。安静，但是空间较小……', '短评打分': 5}
{'短评内容': '不值这个价，还是布丁好！虽然一样的小，但是比怡莱要美观！', '短评打分': 1}
{'短评内容': '设施服务还不错，挺干净的~就是地方有点难找，', '短评打分': 5}
{'短评内容': '很不喜欢，家庭房面积很小，墙壁很脏，卫生间极小，住了那么多酒店，最不满意的', '短评打分': 3}
{'短评内容': '房间有点小，但是都齐全，还特地帮我订了个安静的房间，挺好的。', '短评打分': 5}
{'短评内容': '酒店在一个小巷子里,比较偏,晚上睡觉倒是比较安静,酒店内部设施都比较陈旧了..住过天目山路的怡菜,也住过千岛湖的怡菜.设施都不错啊..这家是不是太老了.', '短评打分': 1}
