{'短评内容': '还可以吧，', '短评打分': 5}
{'短评内容': '在山上还可以', '短评打分': 5}
{'短评内容': '环境优美设施建设好', '短评打分': 5}
{'短评内容': '去那天，热水不稳定，无线网络也没有，说是修了一天没修好，第二天早上十点起床，又无热水?!虽然给我们升级了房间，但服务感觉确实不好，好像感觉修不好没有什么，苦了住店的人了', '短评打分': 3}
{'短评内容': '酒店位置很好找，就是在找地下车库得时候，打电话给前台询问，前台女士有点不耐烦，挂电话很积极，这点很不喜欢。酒店早餐很丰富，就是菜品都冷了，应该热着。酒店环境很好，适合带小孩。', '短评打分': 5}
{'短评内容': '环境很好，花园也不错，值得推荐', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '真的很不错，环境相当好', '短评打分': 5}
{'短评内容': '环境挺好 设施yehenxihuan', '短评打分': 5}
{'短评内容': '一般 不好 ', '短评打分': 4}
{'短评内容': '不怎么样', '短评打分': 4}
{'短评内容': '帮朋友预定 很一般', '短评打分': 4}
{'短评内容': '过去正好梅雨季节，有点潮湿', '短评打分': 4}
{'短评内容': '幽静', '短评打分': 3}
{'短评内容': '环境很棒，旁边就是鸿恩寺公园可以跑步', '短评打分': 5}
{'短评内容': '酒店环境的确不错哦，设施可以和星级酒店一样，性价比超高。早上空气好，吃了早饭还可以到处走走。我们也是看评论来的，离观音桥商圈近，周边有儿童公园、鸿恩寺近', '短评打分': 5}
{'短评内容': '环境非常好，硬件有点老旧', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '陶然半山的确不错，房间设施齐全，整洁舒适，环境清悠，是地道品味的中国风!', '短评打分': 3}
{'短评内容': '不错，格调很中试，空气也不错，很安静。', '短评打分': 3}
{'短评内容': '设施好,周边施工有点炒', '短评打分': 3}
{'短评内容': '第三次住了，很舒服，但是打车不方便，离观音桥很近', '短评打分': 5}
{'短评内容': '在半山上，夜景好很美，晚上很安静，空气好', '短评打分': 5}
{'短评内容': '很好，房间又大，还有一个后花园，早上起床空气很好', '短评打分': 5}
{'短评内容': '酒店地处江北商圈附近，方便购物出行。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '店子在靠近鸿恩寺的地方,如果打车就和司机说路过儿童乐园往鸿恩寺去,然后中间有个不太明显的路口直接往山上去,拐几下就到了.在半山的.硬件不错,服务一般.关键是周边还在施工,相信完工后是一个很好的地方.\n酒店后面有一个休闲美食街非常有特色,有时间的话可以去体验一下.房间干净,晚上非常安静.\n酒店的老板貌似是一个连锁服务企业的女企业家,有很多餐厅啊什么的.所以这里的早餐自助也还可以.', '短评打分': 5}
{'短评内容': '很舒服，在半山上，夜景很好，很上档次，清静，适合老年人住', '短评打分': 5}
{'短评内容': '第二次入住，很舒服，也很清静，而且套房很大', '短评打分': 5}
