{'短评内容': '回嘉兴的不二选择，停车方便，交通方便', '短评打分': 5}
{'短评内容': '一直住的酒店，停车方便。现在前台也搬到2号楼下面，方便很多', '短评打分': 5}
{'短评内容': '酒店不错，地理位置优越，房间大，交通方便，早餐很好。', '短评打分': 5}
{'短评内容': '房间不错。只是国庆涨价不爽。', '短评打分': 4}
{'短评内容': '一直住的酒店，现在1号楼装修，前台搬到地下车库上面，反而更方便了', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '回嘉兴不二的选择，虽然10多年来感觉服务越来越一般了，但还是看中他的停车方便和交通方便', '短评打分': 5}
{'短评内容': '沙龙的老客户了，一是地理位置好，第二停车方便，回嘉兴第一选择', '短评打分': 5}
{'短评内容': '一直住的酒店，现在京东的价格居然比携程便宜，马上换地方订', '短评打分': 5}
{'短评内容': '我的人都有一个人的时候我就不想去的地方自治的', '短评打分': 5}
{'短评内容': '一直住的宾馆，发现京东的价格居然比莫程还便宜，赶快订一格', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务烂的要死！', '短评打分': 3}
{'短评内容': '日本人的酒店，服务非常棒', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': 'G20期间出行，靠近景区，地理位置还是不错的！', '短评打分': 5}
{'短评内容': '酒店房间很大，设施很新，离南湖很近。', '短评打分': 5}
{'短评内容': '酒店位置不错，房间也大，不错', '短评打分': 5}
{'短评内容': '闹市中心的三星级酒店，有点吵，服务一般，房间小。也许价格低廉，车太多，迟了没有停车泊位，有车一族需要趁早', '短评打分': 3}
{'短评内容': '常住这家酒店，服务周到，可以看到南湖的风景，满意！', '短评打分': 5}
{'短评内容': '环境很不错。管理严格。', '短评打分': 5}
{'短评内容': '距离南湖很近，酒店的设施很新也很齐全，早餐很丰富，总台的服务员也很热情。', '短评打分': 5}
{'短评内容': '房间很大很敞亮，可以看到南湖。床很大很舒服，卫生间整洁干净。早餐丰富，出行方便。', '短评打分': 5}
{'短评内容': '酒店装修和硬件都不错，早饭品种挺多。但是三伏天居然还用三九天的厚羽绒被，房间内找不到毛毯，热得一晚没睡好。', '短评打分': 3}
{'短评内容': '给朋友定的.朋友说：环境还可以，价格也实惠。', '短评打分': 5}
{'短评内容': '这次去嘉兴住的是沙龙宾馆，老楼的房间是小，设施也陈旧了，但是早餐很好很丰富，离南湖很近可以走路过去。', '短评打分': 5}
{'短评内容': '这次是嘉善开车过来开会，听保安说这几天正好有大型会议，地面停车差不多满了，大热天的本来还担心没地方停，没想到下面还有个很大的地下车库，还有很多空位，而且是免费的。住宿嘛房间很干净，也很大，总体来说还是蛮不错的。', '短评打分': 5}
{'短评内容': '交通方便，价格合理。不错', '短评打分': 3}
{'短评内容': '酒店卫生很好，环境不错', '短评打分': 3}
{'短评内容': '相当陈旧的房间，泛黄的瓷砖与台盆，犹如世纪初的招待所。', '短评打分': 1}
{'短评内容': '主要是离南湖很近，去供应商那也很方便，早饭也很不错的', '短评打分': 5}
{'短评内容': '位置好， 性价比很高， 离南湖近， 停车场大， 就是太难订到房啊', '短评打分': 5}
{'短评内容': '价格合理， 位置好， 停车方便, 服务周到， 下次还住那里', '短评打分': 5}
{'短评内容': '新馆条件还不错，但隔音太不好，打车不方便。', '短评打分': 1}
{'短评内容': '酒店环境不错，早餐很棒，推窗见景，值得推荐', '短评打分': 5}
{'短评内容': '房间里设施都比较齐全，花洒水很大，洗澡较舒服。很好', '短评打分': 3}
{'短评内容': '不错的地理位置，新楼很不错，尤其他的马桶，哈哈，你懂得', '短评打分': 5}
{'短评内容': '这家酒店优点是：靠近市中心，交通比较便利；酒店早餐在三星酒店当中算是比较丰盛的了；酒店大堂和重新装修了，看起来还比较舒服。缺点是：设施比较陈旧；排水很不通畅；房间用点插座很少，充电极其不方便；床也比较硬，睡的不舒服；工作间跟客房在一起，工作人员大声说话，比较吵。\n\n', '短评打分': 1}
{'短评内容': '这家酒店优点是：靠近市中心，交通比较便利；酒店早餐在三星酒店当中算是比较丰盛的了；酒店大堂和重新装修了，看起来还比较舒服。缺点是：设施比较陈旧；排水很不通畅；房间用点插座很少，充电极其不方便；床也比较硬，睡的不舒服；工作间跟客房在一起，工作人员大声说话，比较吵。', '短评打分': 1}
