{'短评内容': '这次订的房间特满意，这价格太对得起了', '短评打分': 5}
{'短评内容': '南门商业圈位置有优势，购物比较方便宾馆环境比较干净', '短评打分': 5}
{'短评内容': '性价比还可以吧，没有吹风机比较糟糕', '短评打分': 3}
{'短评内容': '前台服务热情 客房卫生干净 值得一提的是客房毛巾沒像以前那样散放而是封存在塑胶袋中 从服务方面来说是进步了不少', '短评打分': 4}
{'短评内容': '前台很親切，住了2晚，單人房型較小，但2個人還是足夠的，吹風機可向前台借，性價整體上來說是很不錯了，只有wifi有時不太給力，房間稍微潮濕、約莫7、8點開始有施工聲。地铁線不通，但公交非常便利，到哪都行～對街有沃爾瑪可逛可食!', '短评打分': 4}
{'短评内容': '环境很差，房间小，隔音差', '短评打分': 3}
{'短评内容': '性价比还是不错，房间比较小，总的来说好', '短评打分': 4}
{'短评内容': '非常好不错不错', '短评打分': 5}
{'短评内容': '房间的窗户很小、开开的话正好和旁边的窗户对起来了、很不方便、而且就是个内窗。感觉卫生也不是特别干净、枕套上一圈一圈的也不知道换没换、床单上还有破洞。幸好带了床单被套！酒店胜在出行还比较方便、虽然不通地铁、但是不远的高架桥下有公交车站、到热门景点都能直达。周边在修路、尘土飞杨的，对面是沃尔玛、里面有好多运动折扣店、阿迪耐克都比北方便宜、但是要理智消费、买多了都是泪。', '短评打分': 3}
{'短评内容': '挺好的…满意', '短评打分': 5}
{'短评内容': '房间太小了，户型不好，房间基本上没有窗户，窗户很小', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '听说还不错！第一次预约这家！', '短评打分': 5}
{'短评内容': '经济实惠型', '短评打分': 4}
{'短评内容': '便宜是很便宜 但是确实蛮小的 一个人住还行 两个人就觉得拥挤了', '短评打分': 3}
{'短评内容': '房间不大，床够大，上网速度不太好', '短评打分': 5}
{'短评内容': '价格在周五周六有上调，这点有些不爽，其他还好', '短评打分': 5}
{'短评内容': '酒店房间不大，黄色的被单很温馨', '短评打分': 5}
{'短评内容': '房间不大，服务员都非常热情很有家的感觉，无线上网速度很快，交给很实惠，还送了拖鞋', '短评打分': 5}
{'短评内容': '价格实惠，卫生状况良好，不错的选择，性价比高。', '短评打分': 5}
{'短评内容': '房间虽小但超舒服，米黄色的床单很温馨；整面墙是齐床高的大窗户，躺在床上就可以体会苏州主干道的车水马龙啦；门前还有木质的桌椅，四月份的早晚上刚好可以在下面吹吹风，很惬意啊。。。（出门什么都带齐了就是没考虑拖鞋，房间没配啊！）', '短评打分': 5}
{'短评内容': '首次入住很满意，房间干净，简洁，温馨，穿也挺舒服，下次继续入住', '短评打分': 5}
