{'短评内容': '已成功入住', '短评打分': 3}
{'短评内容': '是比较老的酒店，有发霉的味，网速极差!就是浏览网页也得等!!!', '短评打分': 3}
{'短评内容': '酒店还行服务不错还可以打免费长途', '短评打分': 3}
{'短评内容': '帮朋友定的\n他们说还可以\n本人没住过 没发言权', '短评打分': 5}
{'短评内容': '还不错。但是略显老旧。可能是老三星的通病吧。价格再低点更好。', '短评打分': 5}
{'短评内容': '我已经入住雷卅酒店谢谢陈昌文', '短评打分': 3}
{'短评内容': '还方便的', '短评打分': 3}
{'短评内容': '酒店交通很方便，房间很干净，周边吃饭也很便利。', '短评打分': 5}
{'短评内容': '我们住 的五楼，楼层服务台没有服务员，有一半的房间是棋 牌室 ，坐在楼层服务台的人好象不是酒店 的服务员，总在那里抽烟，晚上呆在自己房间里也能闻到很大的烟味。有什么事情 只能打前台客户电话，住的四天过程中，门锁电子锁没电了，我们的门卡打不开房门，楼层又没服务员，在修好前进房间得打电话通知服务员来开门，当天傍晚坏的，第二天来人修好的。其他方面一般。我们走时，给酒店留了意见。希望他们改进。', '短评打分': 1}
{'短评内容': '房间和价位比较匹配，只是靠近火车站住的人比较杂', '短评打分': 3}
{'短评内容': '价格相对于新的商务和快捷酒店偏高.设施比较陈旧.周围环境尚好.没有停车场不方便.', '短评打分': 5}
{'短评内容': '不错  很安静  干净  没有骚扰电话，设施偏旧（我感觉挺好，无所谓）。离车站近，据说乱，我感觉还好。', '短评打分': 5}
{'短评内容': '广交会期间还有这么好的价格,房间比经济型酒店大,位置在闹市,周围吃饭的地方很多,连住好几届了,值', '短评打分': 3}
{'短评内容': '满意!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '安静舒适，非常不错', '短评打分': 3}
