{'短评内容': '挺不错的，每次都在这边住。习惯了已经，值得推荐', '短评打分': 5}
{'短评内容': '这个价还行吧', '短评打分': 5}
{'短评内容': '前台服务差，提问要答不理的，酒店的设备一般，最重要的是有蚊子', '短评打分': 2}
{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '很好很不错！安静', '短评打分': 5}
{'短评内容': '一个字，差', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '五点工作人员敲门送早餐什么情况？', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '卫生差。设施旧，无线网络差', '短评打分': 1}
{'短评内容': '位置非常的好，在集美来说是很合适的位置，BRT就在附近，要去厦门岛内也很方便。附近吃饭购物也非常方便，还有个大超市。价格合适，经济。去厦门北站和机场都比较的方便。如果到集美嘉庚体育馆的话，选这里是不错的。只是最近在修地铁，整体有些灰尘较大', '短评打分': 4}
{'短评内容': '位置非常的好，在集美来说是很合适的位置，BRT就在附近，要去厦门岛内也很方便。附近吃饭购物也非常方便，还有个大超市。价格合适，经济。去厦门北站和机场都比较的方便。如果到集美嘉庚体育馆的话，选这里是不错的。只是最近在修地铁，整体有些灰尘较大', '短评打分': 4}
{'短评内容': '位置非常的好，在集美来说是很合适的位置，BRT就在附近，要去厦门岛内也很方便。附近吃饭购物也非常方便，还有个大超市。价格合适，经济。去厦门北站和机场都比较的方便。如果到集美嘉庚体育馆的话，选这里是不错的。只是最近在修地铁，整体有些灰尘较大。', '短评打分': 4}
{'短评内容': '马桶冲水坏。隔音差。床单不是很干净', '短评打分': 4}
{'短评内容': '隔音效果有待改善，半夜遇到敲错门的', '短评打分': 4}
{'短评内容': '还行吧，就是隔音不是太好，但是对得起这个价格。', '短评打分': 5}
{'短评内容': '环境还可以，就是网络有点卡。', '短评打分': 3}
{'短评内容': '离诚毅学院很近，在同集路边上，大堂和走廊感觉相对一般，不过也对得起这个价格。', '短评打分': 5}
{'短评内容': '其实，只能算一般吧。只住了一晚。总觉得卫生间味道很重，不舒服。其他还好。房间没有图片上的感觉那么好。', '短评打分': 1}
{'短评内容': '性价比高，但干净程度，有待提高，电视看不了', '短评打分': 5}
{'短评内容': '服务态度差', '短评打分': 3}
{'短评内容': '房间脏脏的，到处都是粉刷脱落的痕迹，毛巾上还有一块很像血迹没有洗干净的（锈迹也有可能，暗红色的很明显。）前台服务一位年轻的小姐服务态度很好，另外一位问几句就不耐烦了的素质很是不敢恭维啊。房间里空气很不好，空调长时间没有清理有霉霉的味道。电视信号很烂，问前台居然说是因为下雨（当时是在下雨）第二天早上开电视还是很不清楚......（感觉理由很狗血）一天两次定时向房间塞卡片，带小朋友的注意点。舒适大床房', '短评打分': 1}
{'短评内容': '房间没电话，不过总体还好。', '短评打分': 3}
{'短评内容': '房间狠小，床还不错', '短评打分': 3}
{'短评内容': '价格还行，感觉卫生条件还须改进，特别是要配备一次性拖鞋！', '短评打分': 5}
{'短评内容': '  这个价位还行吧，不过还得努力改善服务和内部设施。', '短评打分': 5}
{'短评内容': '服务态度一般，设施不全，卫生还行。', '短评打分': 3}
{'短评内容': '房间挺不错的。', '短评打分': 3}
{'短评内容': '。。。环境还不错。。。离我要去的地方也很近。。。不错不错、', '短评打分': 5}
{'短评内容': '就在马路边， 挺明显的。 很好找。\n130的双标间挺实惠。\n不过还有5元的政府什么基金', '短评打分': 5}
{'短评内容': '＋环境蛮好的', '短评打分': 3}
{'短评内容': ' 有房间但是挑不了，就剩一间,但整体感觉很好!', '短评打分': 3}
{'短评内容': '物有所值，此地段不错的选择！\n就是房间太小了，谁叫厦门寸土寸金呢！', '短评打分': 5}
