{'descr': '住了一晚，天太冷，空调暖气温度低。', 'star': 3}
{'descr': '安静，干净，饭菜味道好，服务态度好，满意，下次来太原还考虑这儿。', 'star': 5}
{'descr': '性价比很高！设施一般，但价格也不贵，早餐种类不算多，但味道可口，吃了很舒服。自助吃饱。比较满意，还会再来。可免费停车，很方便。离万达也很近。', 'star': 4}
{'descr': '性价比很高！设施一般，但价格也不贵，早餐种类不算多，但味道可口，吃了很舒服。自助吃饱。比较满意，还会再来。', 'star': 4}
{'descr': '酒店设施很一般，可价格也很亲民，应该说性价比很高。卫生也还可以，洗澡热水很好用，房间也不算小。还会再来。', 'star': 4}
{'descr': '性价比高，服务态度好。', 'star': 5}
{'descr': '一直住在这，每次出差都住这！挺好的。特别前台小周，小伙子很热情！早餐也挺好，就是要能延迟点就更好了！', 'star': 5}
{'descr': '一直住在这，每次出差都住这！挺好的。特别前台小周，小伙子很热情！早餐也挺好，就是要能延迟点就更好了！', 'star': 5}
{'descr': '一直住在这，每次出差都住这！挺好的。特别前台小周，小伙子很热情！早餐也挺好，就是要能延迟点就更好了！', 'star': 5}
{'descr': '每次出差都住这，很好～前台小周小伙子也不错', 'star': 5}
{'descr': '很不错', 'star': 5}
{'descr': '不得不说，服务实在太差了', 'star': 2}
{'descr': '还不错，早餐有，但不够丰富', 'star': 3}
{'descr': '还不错，离万达较近，有早餐，整天感觉还好', 'star': 3}
{'descr': '中规中矩的酒店', 'star': 4}
{'descr': '酒店还行。停车比较方便。价格也便宜。', 'star': 5}
{'descr': '宾馆还不错 一些小细节上非常用心！饭菜也不错 服务态度还可以 交通较便利 \n总体感觉不错！', 'star': 3}
{'descr': '最大的特点是一日三餐，房间还可以，不是特别大', 'star': 5}
{'descr': '房间还好。三餐不错', 'star': 3}
{'descr': '一日三餐不错,  地理位置还好,环境还可以了', 'star': 5}
{'descr': '除了包三餐外，没有一点好处，房间小，设施旧，服务也不好。如果去住了第一件是看下床单有没有什么脏的如果洗不掉，后面会要你陪的。', 'star': 1}
{'descr': '我是看到住客点评都很好才选择这家宾馆的，但是除了服务态度比价好，其他真的不敢恭维，以后入住之前还是先看一下房间的好......', 'star': 1}
{'descr': '房间布置简洁大方，基本设施都有，通风很好，感觉挺好。', 'star': 5}
{'descr': '卫生不错，隔音效果挺好，晚上休息的很好。', 'star': 5}
{'descr': '出行方便，卫生到位，设施完善，值得推荐。', 'star': 5}
{'descr': '位于市中心，周边交通挺便利的。内部环境也不错，住的挺舒适。', 'star': 5}
{'descr': '不错，住很多次了，以后还会去的。不错，住很多次了', 'star': 5}
{'descr': '浴室设备真的蛮好的,定的套间.饭很好吃...三餐都管饭不错不错', 'star': 5}
{'descr': '如果是旅游居住非常好，便宜实惠，该店提供3顿免费餐。\r\n\r\n结账只能付现金，不能刷卡。', 'star': 5}
{'descr': '一切都挺好，就是2楼没网线。挺遗憾的，其他都满意。', 'star': 3}
{'descr': '第一次在网上预定，到达后和网上看到的图片一致，房价包含自助餐（能吃饱，质量还行），房间有24小时热水，水流量挺大，总台的服务很好，会推荐朋友的。', 'star': 5}
{'descr': '位置比较偏僻，没有电梯，对于180元的价格来说，性价比不高。唯一比较让人欣慰的是早中晚三餐都有。', 'star': 1}
