{'短评内容': '电视看不了', '短评打分': 5}
{'短评内容': '好差，再也不会来了', '短评打分': 1}
{'短评内容': '前台服务可以，设施旧，空调都不敢用，旧不是问题，问题你得弄干净啊。卫生间锁坏的关不上，隔音不太好。因为是国庆很多酒店不是满房就太贵，找不到合适的酒店可以考虑这家。。。', '短评打分': 4}
{'短评内容': '位置离火车站很近，价格便宜合理', '短评打分': 5}
{'短评内容': '离武昌火车站很近，东广场出来一条直路穿过晒湖，天佑医院对面就到了，10多分钟。因为晒湖在维修，晚上还有大卡车等在作业，有些吵。', '短评打分': 3}
{'短评内容': '没有Wi-Fi。提供牙膏为杂牌，特别不好用。卫生间里毛巾不舒适', '短评打分': 3}
{'短评内容': '在携程上订的，去了酒店说已经满房了，没有房间了，所以跟携程交涉半天，然后酒店人员说有个长期租的房间可以给我们住一晚，差点耽误第二天的考试。', '短评打分': 4}
{'短评内容': '就是早上装修太吵了。', '短评打分': 5}
{'短评内容': '第二次来住了，就在天佑医院对面，超级近，很方便', '短评打分': 5}
{'短评内容': '无WiFi 其他还行 性价比不错', '短评打分': 5}
{'短评内容': '还行吧还行吧还行吧还行吧', '短评打分': 3}
{'短评内容': '酒店服务态度还好，有耐心，环境还可以，我住就是415号房间，卫生间别具一格，很适用。床单也很干净，下次一定再来。', '短评打分': 5}
{'短评内容': '位置好找', '短评打分': 5}
{'短评内容': '入住两天，打死了三只蟑螂，热水壶接触不良，没WiFi，空调有异味，光线暗淡，只能呵呵了', '短评打分': 2}
{'短评内容': '宾馆较一般，房间没有Wi-Fi', '短评打分': 3}
