{'短评内容': '环境卫生都挺好', '短评打分': 5}
{'短评内容': '卫生干净！环境优美！服务还可以！还有小礼物！', '短评打分': 5}
{'短评内容': '安静，离滇池很近的酒店。早上可散步去喂红嘴鸥，记得带点面包片。', '短评打分': 5}
{'短评内容': '非常棒的一家四星级酒店，价格适中，环境非常美，距离滇池海梗公园只有几分钟路程，酒店服务非常好，特别是前台，一个个都彬彬有礼，房间设施很温馨。强烈推荐！', '短评打分': 5}
{'短评内容': '非常棒的一家酒店，环境美，离滇池只有几分钟的路程，房间设施非常好，温馨，晚上还要送水果，前台及所有服务员的服务都非常好，早餐丰富，强烈推荐！', '短评打分': 5}
{'短评内容': '酒店位置很好，离滇池近，早上走路可以到滇池大坝！下次来昆明首选！', '短评打分': 5}
{'短评内容': '很不错的酒店 这个价位很值', '短评打分': 5}
{'短评内容': '服务很好，赞', '短评打分': 5}
{'短评内容': '很好，位置好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好非常好非常好非常好', '短评打分': 5}
{'短评内容': '非常好非常好非常好', '短评打分': 5}
{'短评内容': '不错的东西，下次还要买', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '离海埂大坝不远，走过去大概十多分钟，房间一般，春节期间价格还是贵了点。餐厅不行。', '短评打分': 5}
{'短评内容': '酒店靠近滇池，主要看中这一点预订的。以前还是机场五号线起点站，不过这次不坐飞机没留意是否还是。下图是滇池边观景图。', '短评打分': 5}
{'短评内容': '环境不错。去海梗公园很近。', '短评打分': 5}
{'短评内容': '五号凌晨四点入住跟前台说我定的是到六号上午的，但是他们五号上午就让我退房。入住的时候跟你们说的很清楚你们不让我补费用，还怪我，差评下次绝对不再来', '短评打分': 1}
{'短评内容': '位置好，住的舒服，装修稍微有点老，总的来说还是比较满意的', '短评打分': 5}
{'短评内容': '位置好，住的舒服，装修稍微有点老，总的来说还是比较满意的', '短评打分': 5}
{'短评内容': '满意', '短评打分': 4}
{'短评内容': '地处旅游区，离滇池很近，缺少吃饭的地方，房间隔音效果一般，比较干净', '短评打分': 4}
{'短评内容': '一般吧，大厅在装修，老风格', '短评打分': 4}
{'短评内容': '还不错，酒店花园里就有机场大巴，方便，中餐厅点餐便宜就是分量少些', '短评打分': 4}
{'短评内容': '非常不满意的一次住宿！ ①携程上定的是住4晚，酒店也确认订单了，到了check in那天我电话确认时告诉我只能住3晚！ ②check in时用携程短信争取了一下，前台说是那就给住4晚吧，结果最后一天发现房卡只做了3天的！ ③过了3天打电话给我，又和我说因为有会议包场，只能住3晚！让我办check out！我非常气愤！坚持不肯！最后不了了之，我住了第4晚。 ④check out时居然水单打不出来，手', '短评打分': 3}
{'短评内容': '酒店还不错，适合旅游渡假人士，有免费早餐供应很丰富，也有中晚餐，也可以吃自助的，80元/人，自己点菜比较实惠！也很不错。  ', '短评打分': 5}
