{'短评内容': '交通方便，距离火车站很近。环境也好', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈', '短评打分': 4}
{'短评内容': '地毯建议换掉。', '短评打分': 4}
{'短评内容': '早餐很丰富，环境也很安静，', '短评打分': 5}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '早餐很丰富，房间小无法加床，有停车场，。不过，这个时节中央空调不开，房间里比较阴冷！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '办理入住和退房手续时，前台人员态度冷漠，办事效率低，等很久，也不知道她们在忙什么，问她们话也不理不睬，觉得前台人员服务态度需要改进', '短评打分': 4}
{'短评内容': '地处闹市，大马路旁，吃饭购物方便', '短评打分': 4}
{'短评内容': '卫生环境比较一般，前台服务态度差，隔音效果有待加强。沐浴露和香皂是打不出泡沫的那种，重点吐槽一下牙刷，硬到像鞋刷，刷到牙龈出血，回家还疼了几天。这个价格真心性价比不高，希望有所改善。', '短评打分': 3}
{'短评内容': '不错哦，位置方便，房间也很新', '短评打分': 5}
