{'短评内容': '酒店还不错，价格便宜', '短评打分': 5}
{'短评内容': '酒店地理位置不错，环境安静，出行方便，楼下有饭店和超市。旁边有小吃一条街，出差或许是旅游都不错！！！！！', '短评打分': 5}
{'短评内容': '新装修的味道比较大', '短评打分': 5}
{'短评内容': '环境不错，可以入住。', '短评打分': 5}
{'短评内容': '满意下次再来', '短评打分': 5}
{'短评内容': '酒店房装修房间还行', '短评打分': 5}
{'短评内容': '还不错，环境可以', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '石岩信价比最好的酒店，推荐，每次朋友来深，首选', '短评打分': 5}
{'短评内容': '还算满意，性价比高', '短评打分': 4}
{'短评内容': '还行吧，花园挺好', '短评打分': 4}
{'短评内容': '服务员老是漏东西', '短评打分': 3}
{'短评内容': '热水差 没暖气', '短评打分': 2}
{'短评内容': '这次有点差', '短评打分': 3}
{'短评内容': '去客户那里附近找的，出行很方便，楼下吃的很多，旁边还有卡拉ok。酒店主打空中花园，初眼看到的确很有新意，七楼平台搭了个花园，其实就是种了绿化，房间很大，床也不好，空调不能用，窗门关不紧，晚上有点吵。', '短评打分': 3}
{'短评内容': '第二次到这边住了', '短评打分': 3}
{'短评内容': '酒店还不错，交通也比较方便，最不好就是没有餐厅。', '短评打分': 5}
{'短评内容': '设备和卫生希望改进。周边要开别的更好的酒店，这个价钱没啥优势。', '短评打分': 5}
{'短评内容': '服务挺热情，但是卫生一般。这个价钱的卫生设施不如经济连锁酒店。', '短评打分': 5}
{'短评内容': '新概念、新装修、周围是商业街，位置不错，就是打出租车很。', '短评打分': 5}
{'短评内容': '还好啦,石岩这地方你也不知道再住哪好了.', '短评打分': 5}
{'短评内容': '房间很大，其他设施还可以,空中花园很有特色', '短评打分': 5}
{'短评内容': '被子太薄', '短评打分': 3}
{'短评内容': '不错的酒店，下次还会入住的。很安静，服务好，地方也好。', '短评打分': 5}
{'短评内容': '房间还算大，但是设备比较陈旧简陋，空调只能制冷，不能制热！很冷，盖了两床被子。和同事一起入住时，他的房间竟然是别人的还有人，我的房卡又打不开，只能再去前台全部换好。其他还算可以，花园给了点小震撼，不错，就是楼上足浴吵了点！', '短评打分': 5}
{'短评内容': '房间很大 门口就是花园 卫生间有一次性用品这点不错 服务员比较热情', '短评打分': 5}
{'短评内容': '豪华双人房 房间很大 环境不错\n总体来说 还是满意的~在石岩宏发大世界周边算是比较好的 周围配套也行 推荐', '短评打分': 5}
{'短评内容': '房间够大,很乾净,中庭景色也不错。可惜没有暖气,被子又不够温暖。凌晨一两点九楼的足浴区域还一直有人走来走去，扣扣扣的鞋子声响，吵得睡不著觉。', '短评打分': 1}
{'短评内容': '环境很不错 周边配套非常全有大地数字影院 交通便利', '短评打分': 5}
{'短评内容': '，有蚊子，环境不错', '短评打分': 3}
{'短评内容': '价格适中，218大床房，2米的房确实很大，睡起来也很舒服。。。下次还会去！', '短评打分': 5}
{'短评内容': '酒店周边还是挺热闹的，酒店很干净，服务员也很礼貌，9楼脚浴和指压技术不错。呵呵！', '短评打分': 5}
{'短评内容': '环境很好，', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
