{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '环境宁静，繁华城市中使人静下心来，适合公司招待客人！', '短评打分': 5}
{'短评内容': '合适带孩子', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '早餐…还不如没有…停车位少，晚上没有工作人员服务，每天就给两小瓶饮用水…拖鞋不是每天都更换…电视频道少，建议有网络电视', '短评打分': 4}
{'短评内容': '公寓在金桥瑞仕花园的里面，如果从枣庄路的门进去的话要走的路还是挺多的。公寓的设施很齐全，一房的户型只有朝南的阳台。入住的很多都是拖家带口去迪士尼玩的一家子，很多小孩。其实房间的隔音还是不错的，不过如果呆在客厅的话，房门比较单薄，所以外面走廊的声音就显得比较响了。', '短评打分': 5}
{'短评内容': '环境很好，不错', '短评打分': 5}
{'短评内容': '帮家人定了一晚上 属于涉外公寓那种 厨房电器都很齐全 房型好 南北阳台 还有一张大餐桌 装修也不错 靠近金桥国际广场 隔壁就是 逛街吃东西都很方便', '短评打分': 5}
{'短评内容': '公寓不错，交通便利，出门就有大型商业区，公寓整体不错，要是有中文台就好了，老人没得看。厨房也很干净，整体入住满意。', '短评打分': 5}
{'短评内容': '替朋友订的，非常满意，朋友说以后来上海还住这里，入住的老外非常多，还能开火做饭，锅碗瓢盆一应俱全，很棒！', '短评打分': 5}
{'短评内容': '酒店位于金桥瑞士花园小区内，环境优美，小区内非常安静，适合居住，周边有个金桥商业广场，里面吃玩逛街都非常的方便，整体感觉很棒，适合全家一起出行住在这里，值得关注！', '短评打分': 5}
{'短评内容': '孩子中考，在我的推荐下好几个朋友都选择了这家酒店，各方面都很不错，只是希望能推迟到下午两点退房被拒绝，希望以后在这方面能改进', '短评打分': 5}
{'短评内容': '酒店设施和服务一流，房间超大，特别喜欢一楼自助免费的咖啡厅。早餐比较简单。地点方便近金桥站，强烈推荐家人一起住', '短评打分': 5}
{'短评内容': '酒店设施和服务一流，房间超大，特别喜欢一楼自助免费的咖啡厅。早餐比较简单。地点方便近金桥站，强烈推荐家人一起住', '短评打分': 5}
{'短评内容': '酒店设施和服务一流，房间超大，特别喜欢一楼自助免费的咖啡厅。早餐比较简单。地点方便近金桥站，强烈推荐家人一起住', '短评打分': 5}
{'短评内容': '酒店设施和服务一流，房间超大，特别喜欢一楼自助免费的咖啡厅。早餐比较简单。地点方便近金桥站，强烈推荐家人一起住', '短评打分': 5}
{'短评内容': '店位置不错方便 配套设施齐全 下次还会入住', '短评打分': 5}
{'短评内容': '相比日渐上扬的价格，服务有所缩水，上一个客人丢弃的东西，服务员也不收一下？保洁也太糊弄了吧？？？其它还好，但是基础服务有待提高。', '短评打分': 1}
{'短评内容': '看到一个外籍旅客对服务公寓的评价：“my girlfriend got sick, she had a cold and was coughing. The manager came to bring us lemon and honey tea and coke and ginger tea! My girlfriend had her birthday and she received a n', '短评打分': 5}
{'短评内容': '向北的房间比较安静，向南的房间因临张杨路有点吵', '短评打分': 5}
{'短评内容': '建议冬天在健身房能设置一个挂衣服的衣架，否则从C、D走到A、B来，还是需要厚一点的外套的，现在的柜子格子太小。\n\n酒店其它都很好！', '短评打分': 5}
{'短评内容': '此酒店应该是金桥地区最好的选择之一，周边的商业设施很便利。', '短评打分': 5}
{'短评内容': '入住后感觉服务很好。', '短评打分': 3}
{'短评内容': '環境優雅地點方便是浦東的第一選擇\n酒店設備新', '短评打分': 5}
{'短评内容': '硬件设施一如既往地好，服务比刚开业时专业许多，值得推荐', '短评打分': 5}
{'短评内容': '房间很大，装修的很好，厨房里设施齐全，自己做饭完全够用了。位置也好，旁边就是金桥国际商业广场，吃喝玩乐购物都能满足需要。唯一的遗憾就是门卡感应装置好像有点问题，我入住了两天，门卡就换了两张。', '短评打分': 5}
{'短评内容': '酒店真的非常好', '短评打分': 3}
{'短评内容': '入住几次，服务质量在缓慢提升中，当然不能和五星级酒店和豪华酒店比，不能有太高的期待，统共入住5天，清洁房间的服务员还有1天忘了打扫，还好房间比较整洁。很痛心地看到前台服务人员对待出租车司机的态度，遗憾他们受到的教育和培训还有缺陷，不知为何他们会人为地把人分成三六九等，对待外国人格外客气，眼界狭隘的中国人啊！\n\n硬件设施还是不错的，相当有优势，这是推荐的理由。', '短评打分': 5}
{'短评内容': '挺好，四星级的价格，五星级的住宿条件，值得推荐。', '短评打分': 5}
{'短评内容': '位置挺好，离地铁站不远，出行挺方便，附近有大商场，购物也挺方便。', '短评打分': 5}
{'短评内容': '服务很好，卫生很好，出行方便，价格合理，下次还会光顾的。', '短评打分': 5}
{'短评内容': '挺不错，各方面都挺好，住的挺舒适，值得推荐。', '短评打分': 5}
{'短评内容': '环境很好，性价比很高，出行很方便。下次还会光顾。', '短评打分': 5}
{'短评内容': '酒店位置挺好，离地铁站挺近，出行很方便，周边购物也挺方便的。', '短评打分': 5}
{'短评内容': '酒店四星级标准五星级的享受，超值，值得推荐。', '短评打分': 5}
