{'短评内容': '挺不错的，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，只是热水不太热，洗澡有些冷，空调也不热。前台那位小美女语气委婉些就好了，其他还不错', '短评打分': 5}
{'短评内容': '房间还可以。', '短评打分': 5}
{'短评内容': '环境挺好', '短评打分': 5}
{'短评内容': '妈的，退款不行，又收我钟点费120，你们这什么垃圾平台，退个款这么麻烦。以后不用了，辣鸡携程', '短评打分': 1}
{'短评内容': '店家人挺好 环境也还好 设施有点旧 隔音一般 总体不错', '短评打分': 4}
{'短评内容': '位置有点偏', '短评打分': 3}
{'短评内容': '服务还好，宾馆条件一般,酒店卫生一般，设施比较简陋，旁边吃饭比较方便，晚上可以和几个朋友在烧烤小聚，地方有点偏，出租车不方便。', '短评打分': 4}
{'短评内容': '环境优美！设施齐全！卫生干净！价格实惠', '短评打分': 5}
{'短评内容': '交通方便，干净整齐', '短评打分': 4}
