{'短评内容': '酒店老久服务差，早餐超级难吃', '短评打分': 3}
{'短评内容': '早餐太一般了，服务态度也很一般。WIFI能连上，但根本上不了网，总台解释说:宾馆人多，上不了网正常。真是服了，这四星级是怎么评上的。设施老旧，房间临公路，噪音相当大，影响睡眠。总之，这宾馆对不起这个价位和四星级。不会再去住了。', '短评打分': 2}
{'短评内容': '一般。。。很一般', '短评打分': 3}
{'短评内容': '太老了', '短评打分': 2}
{'短评内容': '早餐挺好的', '短评打分': 5}
{'短评内容': '酒店性价比太低，标的四星，设施陈旧不说卫生只能说太一般，早餐也不怎么样，要是在北京我还能给个四星评价', '短评打分': 5}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房价与酒店完全不等值，房间小，臭脚气味十足，设施简单陈旧，破烂，灰尘多，电视频道少模糊不清晰，早晨太一般，这种酒店能评四星级，完全是瞎扯淡！不建议大家选择这家酒店！', '短评打分': 2}
{'短评内容': '很好很贴心', '短评打分': 5}
{'短评内容': '酒店服务态度特别好，卫生干净，吃住一条龙服务。房间宽敞，从大堂经理到服务员都热情有礼，下次还要来，推荐！', '短评打分': 5}
{'短评内容': '服务真的非常棒！', '短评打分': 5}
{'短评内容': '位置挺好，周边配套好，但设备有些旧。', '短评打分': 4}
{'短评内容': '位置挺好，周边配套好，但设备有些旧。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '一次性拖鞋收费，洗漱用品也收费。不知道是几星酒店。设施陈旧隔音效果差。反正来过一次不会来第二次。', '短评打分': 1}
{'短评内容': '设施比较陈旧了', '短评打分': 4}
{'短评内容': '设施比较陈旧了', '短评打分': 4}
{'短评内容': '设施陈旧，服务还是可以的', '短评打分': 4}
{'短评内容': '住了很久了', '短评打分': 4}
{'短评内容': '还可以前台308', '短评打分': 5}
{'短评内容': '房间硬件措施太老旧，不是因为要离最近的那个医院照顾病人，真是坚持不了这几天，两天内，房间换了三次，一次是卫生间漏一地的水，一次是莲蓬头不出水，无法冲凉，一次是空调发出啸叫的声音，高过人正常说话的声音，折腾得我拿着行李搬来搬去。', '短评打分': 1}
{'短评内容': '交通方便，房间不错，服务人员态度还不错。', '短评打分': 5}
{'短评内容': '长沙和一大酒店是个性价比较好的酒店，交通方便，房间宽敞，服务较好，就是实习生太多，餐饮和卫生也有待进一步提高！', '短评打分': 3}
{'短评内容': '设施陈旧，地毯污迹斑斑，即使窗户关闭也吵得死人，晚上根本无法入睡，早餐真的连莫泰168的都不如，似乎除了地理位置方便（只对于我而言）真的没有任何优势，这是我摸着良心说的实在话', '短评打分': 1}
{'短评内容': '还可以的4星酒店，服务不错，地点环境交通还行。', '短评打分': 5}
{'短评内容': '这家酒店性价比不错，下次还会住。', '短评打分': 3}
{'短评内容': '房间很旧，服务不是很好，在天桥边，打的不太容易，。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '0和一酒店房间脏，早餐极差，更让人伤心的是服务更差，完全达不到星级标准。', '短评打分': 3}
{'短评内容': '名不副实。可能是时间比较长了，装修和房间内设施比较破旧。早餐很差。', '短评打分': 1}
{'短评内容': '价格高  硬件设施却差  冬天空调不是全天开放  感冒', '短评打分': 1}
{'短评内容': '环境条件都很不错，硬件设施也都还行。要在这一带附近玩的可以试试看。早餐也是很不错的', '短评打分': 5}
{'短评内容': '位置不错，周边没有比较好的酒店，酒店用餐也还凑合，就是房间比较一般，性价比不是很高。', '短评打分': 5}
{'短评内容': '出差入住，比较方便，吃饭也还好，房间很一般。', '短评打分': 5}
{'短评内容': '性价比不高。酒店设施陈旧，空间布局不合理，服务态度一般，软硬件都够不上四星标准。', '短评打分': 1}
{'短评内容': '酒店硬件设施还可以  但客房烟味太重 没有无烟楼层', '短评打分': 1}
{'短评内容': '环境还可以，比较清静，出行方便，就是早餐太差', '短评打分': 5}
{'短评内容': '酒店交通便利，房间挺宽敞，就是墙壁等感觉有些旧，早餐马马虎虎，总体感觉还可以。', '短评打分': 3}
{'短评内容': '态度极其恶劣，前台多次挂客人电话。因为开始分到电梯口，服务台电话和电梯声音听得很清楚，所以要求换房，经多次协商，总机说没法更换。如果不是离出差地点近，就不住这里了。', '短评打分': 1}
{'短评内容': '价格比较便宜，但房间设施已经很陈旧了。', '短评打分': 3}
{'短评内容': '一般。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '总体不错，离铁道学院很近，过地下通道就到了。酒店设施一般，每天必须亲自要咖啡才给送到房间。订房及退房速度还可以。早餐一般，品种少，没有四星级的范', '短评打分': 5}
{'短评内容': '很好....................................很好！\n值得推荐.................................值得推荐!', '短评打分': 5}
{'短评内容': '这太差了，脏（浴缸不知多久没清洗了，已结了一层泥在边上）、早上起来还有几只小强出来玩。开始在临街的房有问题，调到后面的房，原以为可安静了，不想一晚屋内都是楼下餐厅顺烟道排上来的油烟味。', '短评打分': 1}
{'短评内容': ' 酒店信价比还可以，只是早餐不太好，房间旧了点，不过下次有机会还会来住。', '短评打分': 3}
{'短评内容': '房间还行，床太软。', '短评打分': 3}
{'短评内容': '价格\\位置都好,房间条件也不错,早餐要改进.房间设施比较旧了,电视可以更新液晶的了,洗手间也有点陈旧.', '短评打分': 5}
{'短评内容': 'ok ----------------------------------------', '短评打分': 5}
{'短评内容': '房间设施太过简单，布局不够合理，到是蛮安静的', '短评打分': 1}
{'短评内容': 'ok。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通还是比较便利,就是房内设施陈旧,早餐还好', '短评打分': 5}
{'短评内容': '酒店不错，干净！就是电视还有设备陈旧一些，希望改进！', '短评打分': 5}
{'短评内容': '习惯了还好！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间设施很一般，服务也一般，不值得推荐下次再住宿', '短评打分': 1}
{'短评内容': '酒店客户不错，符合4星级标准，但酒店早上自助餐相当于2星级酒店的标准，早餐环境很差，有煮的咖啡但是没有咖啡奶的咖啡勺子，只好用吃面条的筷子和咖啡。\n另外酒店各类会议特别多，建议不要在7：30~8：30乘电梯，无论上下都是满员的。\n酒店大堂苍蝇很多，希望可以杀一杀！', '短评打分': 1}
{'短评内容': 'ok........................................', '短评打分': 5}
{'短评内容': '酒店的地理位置很好，但是四星级酒店的空调效果还有房间装饰实在不敢恭维！（房间连小冰箱都没有)', '短评打分': 5}
{'短评内容': '不错的酒店，性价比还不错，下次还回来住！', '短评打分': 5}
{'短评内容': '优点:早餐不错、房间桌椅床等大件物还算比较新。\n缺点:卫生间的卫生太差,床上用品像没有换过似的,没有干爽、洁净的感觉,而且有股异味.达不到四星的标准。', '短评打分': 1}
{'短评内容': '酒店位置比较好，正对着铁道学院，到东塘商业中心很近。房间空间大，生活起居方便，价格适中，在长沙算不错的选择。', '短评打分': 5}
{'短评内容': '轮老两口开垦开垦开垦开垦坎坷坷!!!!!!!!!!!11111111111', '短评打分': 5}
