{'descr': '设施有些陈旧，住的一般，矿泉水也要收费', 'star': 4}
{'descr': '前台服务员不错，早餐不行', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常好，差旅首选', 'star': 5}
{'descr': '是很不错的选择，在市中心交通很方便，打车也很方便，就是窗户有点小，还有周围有很多好吃的，都是在当地小有名气的一些，总之，是值得去的', 'star': 5}
{'descr': '很不错。', 'star': 5}
{'descr': '酒店地理位置很棒，去各个景点都很方便，吃饭周边也方便，十一出游酒店价格稍微偏高，酒店设施也还不错，房间很大，唯一不足是网速有些慢。总体推荐。', 'star': 4}
{'descr': '还行', 'star': 4}
{'descr': '还行吧', 'star': 4}
{'descr': '没想象中的那么好，房间也小，不是很满意。', 'star': 3}
{'descr': '环境一般，房价不太卫生，有怪味，不整洁……', 'star': 2}
{'descr': '不错哈哈恍恍惚惚红红火火', 'star': 3}
{'descr': '坚决不来第二次！住宿条件恶劣，备用铺盖没有被套，一股汗臭味！房间没有吹风，前台也不提供，就是一次性牙刷，也先说没有，打了四个电话才拿来！最最最可恶且不能接受的是前台那个服务生，，***居然一点服务意识都没有态度恶劣，而且话还没说完就挂电话，麻烦提高服务态度。', 'star': 3}
{'descr': '可以 还不错 房间有烟味。。。 。', 'star': 5}
{'descr': '极差，进入房间之后居然有只蟑螂在床上爬，服务态度也非常的差！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 1}
{'descr': '环境还可以，满分', 'star': 3}
{'descr': '环境还可以酒店卫生干净。', 'star': 3}
{'descr': '不适合商旅，没有网络，非常不方便，隔音效果非常差', 'star': 1}
{'descr': '酒店不错，卫生不错，交通便利，吃东西很方便，性价比高', 'star': 5}
{'descr': '酒店非常好 离观音桥也很近 环境比较舒适 附近吃的也很多 性价比很高的 以后还会去的', 'star': 5}
{'descr': '在观音桥商圈，这个价能住到的比他好，位置有点偏僻', 'star': 1}
{'descr': '这里挺好，打车挺方便，在市中心，服务态度很好。', 'star': 5}
{'descr': '很难找房间小', 'star': 3}
{'descr': '我今晚入住酒店了，感觉不错，房间挺大，床上用品很干净，还算满意', 'star': 3}
{'descr': '交通便利，房间还行，但网络速度太慢，无法忍受！', 'star': 5}
{'descr': '房间偏小，前台服务有待改进。', 'star': 3}
{'descr': '此次订3间房，房间面积较宽大，设施新，卫生都还不错，就是有2间临街的噪声就有点大了，影响睡眠，里面的可以。', 'star': 1}
