{'descr': '条件差 地下室 屋里还有发霉的味道 谁叫图便宜呢', 'star': 3}
{'descr': '只能说实在是不好啊。', 'star': 3}
{'descr': '比较简陋，洗澡需要单交钱', 'star': 4}
{'descr': '虽然环境不是太好，但是老板很热情，对于北京价格也很便宜，还是挺适合一晚上住宿的', 'star': 4}
{'descr': '环境不好，有地铁声音', 'star': 3}
{'descr': '卫生堪忧', 'star': 3}
{'descr': '酒店图片拍得真是好啊，去了肯定让你后悔。环境极其恶劣，低下室有一股霉味，床单很脏，蚊子也多，就一个破电视，破的小风扇（噪音极大），公共卫生洗漱和卫生间环境极差，阴暗潮湿，他们都不怎么打扫的。洗澡的话另外需要加钱。别贪图便宜啦！多花点钱去找快捷酒店吧', 'star': 1}
{'descr': '态度差，不安全，网没法用，想骂街，反正就是不好', 'star': 1}
{'descr': '相对价格来说，不值!!太差了，地下室小招待所，感觉被骗了，房间脏乱差，无卫生间不能洗澡，柜子破破烂烂，强烈不推荐！', 'star': 1}
{'descr': '地段是比较方便，靠近很多知名大学，但是酒店住宿条件只能用脏、乱、差来形容。看在价格便宜的份上，只能勉强接受！', 'star': 1}
{'descr': '价格相对于房间品质来说有点高，没有宽带，只是地理位置非常好，别的没了', 'star': 5}
{'descr': '很一般很一般……唯一的诱惑就是价格了……', 'star': 1}
{'descr': '好', 'star': 3}
{'descr': '价格尚可,但地下室有潮的气味.一两天可以考虑.', 'star': 3}
{'descr': '临时住一、两天还可以，房间没有厕所，不能洗澡，窗户没玻璃，直通地道，很恐怖，窗帘貌似有几年没换了，脏得厉害！没有手机信号！也没有洗漱用具！', 'star': 1}
{'descr': 'a', 'star': 3}
{'descr': ' 便宜没好货，条件太简陋了，不过就是便宜的价格便宜的地方了', 'star': 3}
{'descr': '总体来说还可以，对得起这个价格了。打扫的比较干净，就是地下的原因手机没有信号，略微有些潮味……', 'star': 5}
{'descr': '就是防空洞改的，环境只能用脏、乱、差来形容。老板是个男的，她就睡在客厅里，很猥亵的一个男人，中年男人。还有一个不知说着哪里方言的老头，他说啥你都听不懂，你想想，你哥旅馆里连个女服务员都没有，怎么可能正规呢!再说说房间，就一张单人床的大小，真TMD味儿。你住进去后他给你一把锁你自己锁门，可想而知了。我还是要说如果你的预算能达到90一晚的话，就住北航东门边的小区，哪里有出租家庭旅馆的，比这个知春旅馆强', 'star': 1}
{'descr': '非常差啊，啥也没用，卫生非常差\n没有热水，没有卫生间，不能洗澡，地下，没有手机信号\n房间里只有床和电视', 'star': 1}
{'descr': '地下室，没信号，没独立卫浴，就是最一般的招待所，卫生糟糕，隔音差！', 'star': 1}
{'descr': '店家服务态度很好，设施稍显陈旧，但对得起这个价格了，总体来说还是不错的', 'star': 5}
