{'短评内容': '酒店房间环境不错', '短评打分': 4}
{'短评内容': '路边在修地铁，玻璃不隔音，太吵。', '短评打分': 3}
{'短评内容': '床很大，很舒服，也挺干净的，最重要是厕所也干净，就是我一去到给了间最靠边的，很吵，办理入住时等了很久，前台态度也有点高傲，一大早就跟加吵了，起来看下窗户是关紧的，旁边在修路是吵', '短评打分': 4}
{'短评内容': '挺干净的，就是有点小', '短评打分': 4}
{'短评内容': '好好好好好好好好好', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '给的有窗的房间但是真太吵了外面，全是泥头车经过吵得睡不着', '短评打分': 5}
{'短评内容': '京东订的价格感觉更便宜些', '短评打分': 5}
{'短评内容': '还不错  价格不错，可惜床太差劲了', '短评打分': 5}
{'短评内容': '可以的可以的', '短评打分': 5}
{'短评内容': '真心不怎么样，除了洗手间好一点，其他都没什么，还有蚊子，到处都是，睡个觉都被咬死了', '短评打分': 5}
{'短评内容': '已经住进来了，比较满意', '短评打分': 5}
{'短评内容': '不错，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '服务还不错，赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞！', '短评打分': 5}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '.', '短评打分': 5}
{'短评内容': '周边环境四通八达 南山地铁站旁 去机场分分钟', '短评打分': 4}
{'短评内容': '位置优越，地铁近', '短评打分': 4}
{'短评内容': '每次去都住这，价格合适，交通方便', '短评打分': 5}
{'短评内容': '房间烟味太大，真的没清理好烟味，还不能换，不好', '短评打分': 4}
{'短评内容': '环境还不错！', '短评打分': 5}
{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '还可以 比较实惠', '短评打分': 4}
{'短评内容': '酒店离深圳大学较近，前台服务态度不错', '短评打分': 5}
{'短评内容': '位置相当方便，明显，容易找到，房间卫生不错，房间带有有小阳台，周边很多吃的，交通方便，有很多公交站，是出游住宿的好选择。', '短评打分': 5}
{'短评内容': '一如既往的支持，一如既往的支持，一如既往的支持，重要的事情说三遍，位置挺好 不远就有公交，但楼下正在修建地铁，比较吵，隔音效果不好，房间内的设施有点旧，靠马路的房间大家选的要慎重', '短评打分': 5}
{'短评内容': '位置很方便，明显，容易找到，房间卫生不错，房间带有有小阳台，周边很多吃的，交通方便，有很多公交站，是出游住宿的好选择。', '短评打分': 5}
{'短评内容': '环境不错,很干净。 就是电视在角落,有点小,不方便。', '短评打分': 3}
{'短评内容': '现在开始凑字数了，不明白为啥一定要二十个字。', '短评打分': 5}
{'短评内容': '价格还行， 就是入住的时候不知道是下雨的原因还是其他，霉味比较大', '短评打分': 5}
{'短评内容': '第二次住了，还不错，主要是位置好，方便。。。。。。。。。', '短评打分': 5}
{'短评内容': '空调不冷，整晚热死我了，一次性牙刷也很差，对不起这个价格！', '短评打分': 1}
{'短评内容': '干净，就是房间小点,位置不错，离南山的中心区很近', '短评打分': 5}
