{'短评内容': '一般一般一般', '短评打分': 3}
{'短评内容': '偏僻的地方，唯一的住宿', '短评打分': 5}
{'短评内容': '是个不错的武警招待所，算不上四星。房间大，干净、安静、打扫及时。贵重物品忘在房间里也不会丢。枕头有荞麦皮的，一大一小两张床适合一家三口。不过卫生间小，毛巾很旧，餐饮简单。', '短评打分': 3}
{'短评内容': '特地一早电话问清退房时间是14：00前，13：00去退房时却被告知必须得12：00前，被多收半天房费，郁闷。', '短评打分': 4}
{'短评内容': '的点点滴滴点点滴滴', '短评打分': 5}
{'短评内容': '早饭太早', '短评打分': 5}
{'短评内容': '房间很大，有窗户，服务态度不错，设施一般。一个餐厅，用餐时间比较短，点餐品种少，自助还行，感觉原料还不错。', '短评打分': 3}
{'短评内容': '地址比较偏难找 房间也够不上四星标准 是武警总部的招待场所 ', '短评打分': 1}
{'短评内容': '基本可以,若是折扣再大些，住宿含餐就会更好些。', '短评打分': 3}
{'短评内容': '确实够偏僻，外面的标识不够清晰，最好在远一些的地方就给出指示，这样比较好找到。不过一般到这里都是开会，中心对散客估计兴趣不大。\n酒店内饰比较老，就是一般招待所水平。', '短评打分': 1}
{'短评内容': '酒店房间的卫生设施非常不好特别简单，位置也不好再一个胡同里面，价格也挺贵的。', '短评打分': 3}
{'短评内容': '希望以后酒店在外面路口弄一个亮一点的牌子，要不晚上到达的客人很难找。这里是专用的会议场所，就算是偏僻，也不愁没人来。\r\n但是还是不推荐一般商旅客人来此，确实比较偏僻。自助餐也相当不怎么样。房间设施就是一般招待所水平，不过电视是用比较大液晶的，还可以。', '短评打分': 1}
{'短评内容': '服务员办事效率高，服务热情，房间设施新颖、齐全，性价比还可以，希望可以做得更好！', '短评打分': 5}
{'短评内容': '房间面积不小，挺宽敞的，而且里面的设施感觉挺棒的，就是周边没有多少吃饭的地方。', '短评打分': 5}
{'短评内容': '周边环境还可以，有学校，很安静，交通也比较顺畅，房间里面很干净，设施齐全，整体不错！', '短评打分': 5}
