{'短评内容': '免费帮我升级了房间，服务不错', '短评打分': 5}
{'短评内容': '你房间太小了，厕所没有门。', '短评打分': 5}
{'短评内容': '干净卫生。', '短评打分': 5}
{'短评内容': '一股烟味。。。而且现在又降价了', '短评打分': 1}
{'短评内容': '很一般吧，不会考虑在住了，下水道味道太浓了', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '就那样，一百多差不多', '短评打分': 5}
{'短评内容': '还行，一般般', '短评打分': 5}
{'短评内容': '挺好的，还便宜', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '朋友入住，还行', '短评打分': 5}
{'短评内容': '朋友一家三口入住，还不错', '短评打分': 4}
{'短评内容': '环境不错交通方便价格也给力……………………………………………………………………………………，…………', '短评打分': 4}
{'短评内容': '你们的支持', '短评打分': 3}
{'短评内容': '房间小，隔音差，卫生间没门，空调不行，浴巾毛巾牙刷只有一个人的，从没住过这样的房间，必须差评，房间这样还开毛旅馆', '短评打分': 1}
{'短评内容': '服务还是不错的，就是设施设备实在是太老旧了', '短评打分': 3}
{'短评内容': '。。。。背包客福音。。。。。', '短评打分': 4}
{'短评内容': '经济划算，有待于进一步正规化', '短评打分': 4}
{'短评内容': '不能开发票比较郁闷π_π', '短评打分': 4}
{'短评内容': '经济实惠，落脚首选', '短评打分': 5}
