{'短评内容': '房间比较小，没有说的那么好。', '短评打分': 5}
{'短评内容': '啦啦啦啦', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '位置很好找，有自已的停车场。酒店新装修后还是不错的。这个价位价廉物美咯。上次一个朋友来就住这里的，他说酒店住的还不错。', '短评打分': 5}
{'短评内容': '还是挺不错的', '短评打分': 5}
{'短评内容': '小卡片太多了，设施也有点旧，床都塌了。', '短评打分': 4}
{'短评内容': '小卡片太多了，设施也有点旧，床都塌了。', '短评打分': 4}
{'短评内容': '小卡片太多了，设施也有点旧，床都塌了。', '短评打分': 4}
{'短评内容': '小卡片太多，期待装修后是否有提高。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '非常贴心的安排！就在两面针牙膏厂的旁边，很好找的。设施也非常齐全！卫生！', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 4}
{'短评内容': '很好，房间很干净，环境也比较清净，交通也方便。', '短评打分': 5}
{'短评内容': '很好，房间很干净，附近也很安静，交通也方便。', '短评打分': 5}
{'短评内容': '还可以，下回还会住。', '短评打分': 4}
{'短评内容': '酒店环境很好，落地的玻璃窗视野开阔，正对两面针公司', '短评打分': 5}
{'短评内容': '硬件不错，够四星，不足地理位置偏，无早餐', '短评打分': 4}
{'短评内容': '到那里竟然现场加价到168，怎么能这样呢，一样的房间，还很小', '短评打分': 3}
