{'短评内容': '房间干净整洁，服务不错，早餐丰富', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店环境优美  ，交通便利，这次旅行很愉快。。', '短评打分': 5}
{'短评内容': '服务一流，环境好！', '短评打分': 5}
{'短评内容': '酒店吃饭的地方不错～有自助、火锅等～房间内竟然没有抽的纸巾～卫生间也没有棉签～其他卫生环境还不错', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '已经是第三次入住美丽华酒店了，整体服务亲切，包括楼层服务员，房间安静，早餐丰富，是值得入住的一家酒店。', '短评打分': 5}
{'短评内容': '服务周到，干净卫生', '短评打分': 5}
{'短评内容': '非常舒适安静，早餐是最好的，好评了！', '短评打分': 5}
{'短评内容': '还可以，', '短评打分': 5}
{'短评内容': '房间干净，空调很暖，早餐种类很多', '短评打分': 5}
{'短评内容': '协议酒店还可以', '短评打分': 5}
{'短评内容': '不错的', '短评打分': 5}
{'短评内容': '环境、卫生、服务等还不错!', '短评打分': 5}
{'短评内容': '方便，整洁服务一般，性价比还可以', '短评打分': 4}
{'短评内容': '暖', '短评打分': 5}
{'短评内容': '不错很好aaaaaa', '短评打分': 5}
{'短评内容': '总体来说不错的，干净卫生，服务也不错，就是自助早餐品质不够好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店不错，每次去石家庄出差都住这里，服务很周到细心。', '短评打分': 5}
{'短评内容': '位置方便出差、购物、距离城中心近，坐火车和飞机均方便', '短评打分': 5}
{'短评内容': '性价比高，酒店环境好舒适,下次还要入住这个酒店', '短评打分': 5}
{'短评内容': '安静，性价比不错', '短评打分': 3}
{'短评内容': '酒店很好，服务非常细致，早餐也很好，值得一住。', '短评打分': 5}
{'短评内容': '很好的酒店，服务很细致。我吧电脑放在桌上，回来后发现有了一个鼠标垫；看到我带有茶杯，就给我留了一杯绿逗茶让我解暑，并有留言，让多提意见，早餐也不错', '短评打分': 5}
{'短评内容': '很好的酒店，服务很细致。我吧电脑放在桌上，回来后发现有了一个鼠标垫，并有留言，让多提意见，早餐也不错。', '短评打分': 5}
{'短评内容': '酒店不错，性价比高，开车下高速过来很方便', '短评打分': 3}
{'短评内容': '非常好 适合出差住 自助餐也不错 酒店很干净 下次还会来住', '短评打分': 5}
{'短评内容': '相当不错，特别值得一提的是管家感觉狠贴心，住的这些酒店里面就这酒店管家贴心的让人心窝窝一暖，有图为证', '短评打分': 5}
{'短评内容': '性价比合适，服务不错，交通也算方便，吃饭略不方便，推荐。', '短评打分': 5}
{'短评内容': '酒店各种设施都不错，自助早餐很好，交通比较方便，下次还选择这里', '短评打分': 5}
{'短评内容': '同事出差首选的酒店，环境和服务都好，今后还会推荐给其他人的！', '短评打分': 5}
{'短评内容': '环境不错，态度也可以，门口的驴肉火烧挺不错的', '短评打分': 3}
{'短评内容': '酒店不错，就是自助餐价格贵了点，性价比不高! 建议住店旅客能有适当优惠！', '短评打分': 5}
{'短评内容': '原来的华北大厦，四星哦～～周围交通特方便～～', '短评打分': 5}
{'短评内容': '环境还不错，不过床笠和垫子的霉味太重了，闻到了有些恶心！还有就是没有浴衣、拖鞋、电熨斗之类的，我住的是套房，还是同四星宾馆有很大差距啊！', '短评打分': 5}
{'短评内容': '很不错的酒店,房间也够宽敞,入住的人很多,值得入住', '短评打分': 5}
{'短评内容': '230的价格还是很诱人的，就是早餐的质量真的是太差了。可以说是相当的差。', '短评打分': 5}
{'短评内容': '该酒店综合性价比高，很有人气，自助餐厅也很有特色，离民航班车点不远。', '短评打分': 3}
{'短评内容': '服务很贴心，但是不知道为什么只有前两天有梨水和酸梅汤，后面就没有了。', '短评打分': 5}
{'短评内容': '酒店硬件条件一般，但是服务确实很好，我没有带鼠标垫，服务员在第二天打扫房间后直接给我放到了桌上，并留了纸条，真的很贴心。非常满意！', '短评打分': 5}
{'短评内容': '很不错的一家酒店，下次会再入住。。。。。。。', '短评打分': 5}
{'短评内容': '该酒店服务非常好，卫生干净，性价比高，值得推荐。', '短评打分': 3}
{'短评内容': '房间精致，价格实惠。', '短评打分': 3}
{'短评内容': ' 服务不错，房间小但很温馨，价格合适，不错的选择。', '短评打分': 3}
{'短评内容': '服务态度好，还代寄快递', '短评打分': 3}
{'短评内容': '不错，比较安静', '短评打分': 3}
{'短评内容': '性价比高, 只是房间稍小了一点.地点也比较好.', '短评打分': 5}
{'短评内容': '之前一直入住西美,这次来到美丽华,觉得这里很不错,餐厅自助也非常值,只是周围环境可能不如西美热闹,但西美周围又太闹了.', '短评打分': 5}
{'短评内容': '这是我第二次住该酒店，真是觉得性价比比较高，早餐也非常不错酒店的人气很旺啊。', '短评打分': 3}
{'短评内容': '非常好， 希望早餐能再好些，条件好，服务员服务好 ', '短评打分': 5}
{'短评内容': '非常好，入住期间还遇到孙悦那个篮球队。  希望早餐能再好些', '短评打分': 5}
{'短评内容': '交通便利，服务不错，房间一般，价格实惠。', '短评打分': 5}
