{'短评内容': '位置不错。房间偏小。吃饭旁边有新华楼，很多小吃。', '短评打分': 5}
{'短评内容': '房间干净舒适、服务亲切、早餐合适、停车场有专人指挥看管！美中不足的是可能是地毯的原因：有的房间有点异味！所处位置交通方便：沿劳动路一直走可达步行街、湘江边！', '短评打分': 5}
{'短评内容': '房间马马虎虎，早餐不错哟，中午一点开的房，晚上回来睡觉就打不开门，叫半天才来人，环境没有如家的好，价格嘛却差不多', '短评打分': 3}
{'短评内容': '挺一般的酒店，环境比较脏，特点是洗漱用品另外收钱哎~', '短评打分': 5}
{'短评内容': '一般般，设施有些旧，交通还比较便利。其他的没什么', '短评打分': 5}
{'短评内容': '酒店不错，环境，卫生，服务都还好，早餐质量也还可以。', '短评打分': 3}
{'短评内容': '位于长沙东塘黄金地段，出行较方便，性价比高，但是设施偏旧，不过入住时已经开始装修，希望以后会更舒适。', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高，交通方便，离机场大巴也近，卫生好，服务也好，早餐质量也不错。感觉还可以，这次还住这里。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '酒店不错，卫生、服务、早餐都还可以，上次就住这里。', '短评打分': 5}
{'短评内容': '性价比好，附件有超市，坐车方便！值得推荐！', '短评打分': 5}
{'短评内容': '酒店不错，性价比较高，交通方便，离机场大巴也近，卫生好，服务也好，早餐质量也不错。', '短评打分': 5}
{'短评内容': '比较实惠的酒店 附件很多买东西的地方 方便', '短评打分': 5}
{'短评内容': '附近的商场、超市挺多的，一个人出无聊可以转转', '短评打分': 5}
{'短评内容': '洗件衣服偏慢了，我在其他酒店早上送洗，晚上就能拿，这里要一天半', '短评打分': 5}
{'短评内容': '还不错了，比同价位的如家要好，没啥不良信息干扰', '短评打分': 5}
{'短评内容': '酒店不错，但酒店里连牙刷，纸都要钱。还有订房时用的二十元代用券怎么这里说没收到通知，那代用券是什么用途？', '短评打分': 3}
{'短评内容': '房间小，其他的还没了解。', '短评打分': 3}
{'短评内容': '地理位置离东塘很近，酒店还不错，就是房间稍小一点。', '短评打分': 5}
{'短评内容': '有些年头的酒店。。。服务态度不错，交通方便。下次还会住这里', '短评打分': 5}
{'短评内容': '酒店位置不错，性价比也行。长沙的酒店有偿使用一次性物品是不是实行得早啊？？', '短评打分': 5}
{'短评内容': '酒店交通位置不错。房间设施略旧，隔音效果一般，早餐也还不错。总体来说对得起这个价格。一楼食府挺好，有好多特价菜，挺超值。', '短评打分': 5}
{'短评内容': '没有上网条件，非常不方便，地点还是很方便的，屋子太小，不过很干净。', '短评打分': 1}
{'短评内容': '房间很干净，每天都有人及时打扫，感觉很舒适，服务很好，办事效率很快。', '短评打分': 5}
{'短评内容': '房间布置的很温馨，有种家的干净，服务也很周到，出行也挺方便，住的挺舒适。', '短评打分': 5}
{'短评内容': '服务上很好，态度很热情，服务很周到，感觉很贴心。', '短评打分': 5}
{'短评内容': '酒店位于市中心，交通还不错，服务卫生也挺好，价格也挺合理的。', '短评打分': 5}
{'短评内容': '房内的空调不能调温，太冷了，而且风一直往头上吹，一个晚上吹得头痛。', '短评打分': 5}
{'短评内容': '酒店卫生还不错，房间打扫还比较干净，服务不是很主动，需要改进。', '短评打分': 5}
{'短评内容': '房间蛮大，卫生还行，周边环境不错，交通还是挺便利的。', '短评打分': 5}
{'短评内容': '在长沙算不上三星，性价比不高。酒店太旧！', '短评打分': 1}
{'短评内容': '虽然旧  不过房间蛮大  还OK', '短评打分': 5}
