{'descr': '周边很吵  打麻将  门锁不上  服务还好  出去吃饭给看门  房间没有窗户', 'star': 2}
{'descr': '因为是网上定的所以给了差的房间，没有窗，前一天定的双人间，先被确认了，过了一天告诉说没房间了，就换了大床房，到了才发现很坑，要个水杯喝水却让我们用刷牙的杯子，最后还是自己去前台拿。太坑了，不建议大家去！但是在轻轨站旁边门口也有公交站，交通还是可以的', 'star': 3}
{'descr': '环境一般 没有如家好', 'star': 3}
{'descr': '环境一般没有如家好', 'star': 3}
{'descr': '还行吧，挺好的。', 'star': 5}
{'descr': '服务一般，房间不咋地。', 'star': 2}
{'descr': '环境一般，棋牌室太多，隔音不好，麻将声此起彼伏。', 'star': 3}
{'descr': '酒店房间很干净，也很静，价格也不贵，不错^_^', 'star': 3}
{'descr': '酒店房间很干净，也很静，价格也不贵，不错^_^', 'star': 3}
{'descr': '电视坏了也没人修，服务员只说的确是坏了。前台服务还可以。离欢乐谷打车35元。离9号线松江新城站打的16元。周围购物吃饭还算方便，没有高消费的地方，属于普通级别酒店。', 'star': 5}
{'descr': '不错的酒店 \r\n位置不错 继续加油啊 下次还会住的 \r\n继续努力啊', 'star': 5}
{'descr': '之前不知道是在离城区那么远的地方，服务态度很好，就是房间其实属于一般的那种', 'star': 1}
{'descr': '总体还算好，就是房间太小。厕所地板太滑了，根本不敢穿拖鞋进去', 'star': 5}
{'descr': '太远了离世博会，baidu上的地图骗了我，否则不会定这家酒店的！', 'star': 1}
{'descr': '房间设施不错，但是地板有些陈旧，床很舒服', 'star': 3}
{'descr': '房间很干净，有商务办公桌，这点很好。但由于在闹区，早上会有点吵。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '走廊地毯看着很旧，卫生条件一般，就是房间很大，住着很舒服，设施也很陈旧。其他都很一般。', 'star': 1}
{'descr': '里面的环境还行，位置蛮麻烦的出行也不是太方便去市区就比较不方便，不过周围的环境还行要是下次去的松江的话这个酒店还算比较不错的选择，服务和价格算是比较适中吧。就是位置不好找。', 'star': 5}
{'descr': '还不错，附近吃饭方便，靠近松东路，购物也不错！', 'star': 5}
{'descr': '环境还可以,就是隔音不是很好,因为靠路口，早上声音很响', 'star': 3}
{'descr': '环境和交通都可以，就是隔音不是很好，因为靠路口，早上汽车声音很响', 'star': 5}
{'descr': '卫生和服务都很好，就是地址有点偏。百度地图上的地址有误，望及时提请更正。', 'star': 5}
{'descr': '酒店比较老\r\n', 'star': 1}
{'descr': '房间素雅，浴室收拾的很干净，住着放心，很值得推荐。', 'star': 5}
{'descr': '装修以简单大方为主，客房也布置的比较新，整体上还是可以的。', 'star': 5}
{'descr': '从酒店去外滩、火车站都方便，大堂看上去华丽一点，房间就一般了。', 'star': 5}
{'descr': '位置很好,酒店的环境也不错,服务比较热情,就是房间的隔音效果不太好,总体来说还是物有所值的.', 'star': 3}
{'descr': '吃东西方便，但是靠马路边，隔音不好，早上很吵', 'star': 5}
{'descr': '房间蛮大的, 卫生可以, 性价比还不错', 'star': 5}
