{'短评内容': '很不错，房间卫生间都很大，早餐一般吧！', '短评打分': 5}
{'短评内容': '没送水果，没送水果', '短评打分': 5}
{'短评内容': '早饭还可以。含双早的比较靠谱。加床和单独加早餐都太贵了。不划算。周边配套还。步行去银泰城的话大概20分钟左右。还挺好的。', '短评打分': 5}
{'短评内容': '早饭还可以。含双早的比较靠谱。加床和单独加早餐都太贵了。不划算。周边配套还。步行去银泰城的话大概20分钟左右。还挺好的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错的，下次继续入住，同时入住的加拿大同事评价席梦思的软硬程度是他入住过的酒店中最好的。 早餐比较丰盛。', '短评打分': 5}
{'短评内容': '难以形容的美妙，干净舒爽', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '目前北仑最好的酒店，总体满意。', '短评打分': 4}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，周边还有公园，是一个旅游城市', '短评打分': 5}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，周边还有公园，是一个旅游城市', '短评打分': 5}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，周边还有公园，是一个旅游城市', '短评打分': 5}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，周边还有公园，是一个旅游城市', '短评打分': 5}
{'短评内容': '酒店还是不错的，周边有很多的海鲜粥铺，是一个值得体验的去处，酒店的房价其实挺便宜的，周边还有公园，是一个旅游城市', '短评打分': 5}
{'短评内容': '整体还可以 送的水果蛮新鲜', '短评打分': 5}
{'短评内容': '酒店环境很好，早餐品种不多。', '短评打分': 5}
{'短评内容': '酒店硬件不错，比较新，早餐一般，房间很大 ，往起来比较舒服', '短评打分': 4}
{'短评内容': 'Good Hotel for Business trip, great breakfast. Cleanliness in room can be improved.', '短评打分': 4}
{'短评内容': '还行，还行，还行，还行', '短评打分': 5}
