{'短评内容': '太旧了', '短评打分': 3}
{'短评内容': '交通方便，价格优惠。', '短评打分': 5}
{'短评内容': '非常喜欢', '短评打分': 5}
{'短评内容': '第一次住酒店公寓，第一眼感觉房间很大，家具齐全，洗衣机，微波，炉冰箱，吹风筒应有尽有，整体都挺满意，希望下次多点优惠价格。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '有家的感觉', '短评打分': 5}
{'短评内容': '公寓式的有洗衣机，冰箱，不错的选择', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 1}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '还行！', '短评打分': 5}
{'短评内容': '反正真的很一般，床很硬，不舒服，虽然设备挺多，但没什么用，感觉简陋', '短评打分': 3}
{'短评内容': '物廉价美，卫生环境都不错', '短评打分': 4}
{'短评内容': '还行，跟图片相符！价格合适！', '短评打分': 5}
{'短评内容': '一般般。不过对得起这价格。', '短评打分': 4}
{'短评内容': '卫生太差！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 2}
