{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉，干净卫生，明亮宽敞，廊灯和房灯一应俱全，大床很宽1.8米的大床，松软舒适。非常不错', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '位置很好，交通便利。', '短评打分': 5}
{'短评内容': '价格实惠', '短评打分': 5}
{'短评内容': '66666666666666', '短评打分': 5}
{'短评内容': '还可以还可以还可以', '短评打分': 5}
{'短评内容': '66666666666', '短评打分': 5}
{'短评内容': '还算干净，总体还不错，性价比较高', '短评打分': 4}
{'短评内容': '服务太度好，房间干净，太小了点！', '短评打分': 4}
{'短评内容': '一般般，', '短评打分': 3}
{'短评内容': '真心一般，睡一觉而已', '短评打分': 2}
{'短评内容': 'Ok', '短评打分': 4}
{'短评内容': '还行吧，总体感觉还是可以的，只是房间味道很大。可能刚消毒过吧。老板人挺不错的，有一个超大阳台挺棒，有想看风景的可以定。这附近这家店算不错了', '短评打分': 3}
{'短评内容': '店家态度……', '短评打分': 3}
{'短评内容': '家门口还可以', '短评打分': 4}
{'短评内容': '房间还好，厕所积水，水壶有点脏。', '短评打分': 3}
{'短评内容': '还可以挺干净的，床太软了', '短评打分': 3}
{'短评内容': '行         。。。。。。。。', '短评打分': 3}
{'短评内容': '虽然有点偏，但交通还是很便利，距离9号线也很近，往返市内也很方便，住宿条件比较干净，房间内信号弱一点，总体来说，还算满意。', '短评打分': 5}
