{'短评内容': '设备简陋，将就出差住', '短评打分': 4}
{'短评内容': '很干净整洁', '短评打分': 5}
{'短评内容': '酒店住宿环境一般 在学校对面 不够新 ', '短评打分': 4}
{'短评内容': '因为要去对面学校考试，从位置来讲是最合适的酒店，做好了廉价酒店脏乱差的心理准备，但仍然被深深刺激……不知道铂涛管理层的脑子是不是被驴踢了，7天连锁酒店虽然定位廉价，但不是“贱”！几乎无管理，给的房卡无授权，房间搞卫生要多次提醒，还有外来人员来塞卡片的，服务员半夜快2点来敲错门……再配上淋浴间下水不通，毛巾就像叫花子捡回来的……更奇葩还有停水！！！从一大早停到快傍晚！！！祝早日关门！', '短评打分': 1}
{'短评内容': '还不错就是空调不大好', '短评打分': 5}
{'短评内容': '不能加床！我订这个不带早餐！', '短评打分': 1}
{'短评内容': '？！！！！！！！？！！', '短评打分': 5}
{'短评内容': '房间比较旧', '短评打分': 3}
{'短评内容': '地段好，很容易找，房间宽敞，干净！', '短评打分': 5}
{'短评内容': '环境可以，而且周围吃的很多很好，吃喝玩乐都有～', '短评打分': 5}
{'短评内容': '非常满意的一次旅行。祝老板生意越来越好。周边逛街方便，出门口就是步行街，多走两步路就到长江边上，晚上放孔明灯。', '短评打分': 5}
{'短评内容': '赶上考试期，价格贵了一倍，不过都这样，服务卫生很好，没有收押金，酒店留到晚七点。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住的最好的一次', '短评打分': 5}
{'短评内容': '不错 很舒适 赞', '短评打分': 4}
{'短评内容': '房间比较大，设施陈旧，厕所卫生一般', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
