{'短评内容': '地理位置好，酒店挺好，干净卫生，该有的都有，早餐算蛮丰富的，带着家人孩子们去玩的，孩子们觉得真的挺不错的，下次有机会还来哦！', '短评打分': 5}
{'短评内容': '服务态度好 房间干净', '短评打分': 5}
{'短评内容': '房间干净 服务态度好', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '房间温馨。', '短评打分': 5}
{'短评内容': '环境很舒服', '短评打分': 4}
{'短评内容': '交通便利，也实惠吧', '短评打分': 5}
{'短评内容': '挺好的，安静', '短评打分': 5}
{'短评内容': '整体还不错，挺大挺干净', '短评打分': 5}
{'短评内容': '酒店不错  第一次来', '短评打分': 4}
{'短评内容': '很晚到的酒店 睡觉的时候才发现床的席梦思弹簧都突出了 根本没办法睡 只好在上面铺了层被子将就一晚 房间又临马路 隔音差车来车往的好吵啊 第二天要求换房又说没房 简直惨不忍睹…下次不住了…好可怕…从来没睡过这样的床 只有卫生间卫生还可以 其他就不谈了…', '短评打分': 3}
{'短评内容': '经常入住 服务良好 二楼餐厅虽有换人 但菜肴依然不错', '短评打分': 4}
{'短评内容': '环境还行，', '短评打分': 5}
{'短评内容': '酒店环境非常好，安静舒适，几无干扰。交通方便，优势明显。', '短评打分': 5}
{'短评内容': '房间设备齐全，环境卫生整洁，周边比较安静，高速下来2公里就到了，服务蛮热情的', '短评打分': 5}
{'短评内容': '总体不错的', '短评打分': 5}
{'短评内容': '品质非常好，大堂标注是3星，但是客房品质已经超越3星了，感觉如果有浴缸的话，几乎可以评4星了。服务也不错，唯一缺点是周边正在修路，出门土很大。如果去太湖湿地公园的话，这里是最好的选择。', '短评打分': 5}
{'短评内容': '很好  我们两个人  睡3个双人床房间  还只收一份房费  不足就是门太垃圾 一脚就能踹开  安全和在啊！', '短评打分': 5}
{'短评内容': '300多的房间真的不错了，面积很大，套房。早饭有些简单', '短评打分': 5}
{'短评内容': '真是太骗人了，大家千万别预订，以免上当生气……要么去五星级酒店，要么就快捷酒店！这是垃圾！！！', '短评打分': 3}
{'短评内容': '酒店还行，定的公寓房，没见到服务员，都是自理的。', '短评打分': 5}
{'短评内容': '价格很便宜，环境不错，可是出行不方便没有出租车经过!不能上网！', '短评打分': 5}
{'短评内容': '太差都没心情评价这个酒店了，房间差不是最关键的，卫生间洗澡水管压力小，水龙头出的水要么烫死人，要么直接就是冷水。。房间脏，自助餐差 床硬    ', '短评打分': 1}
{'短评内容': '交通方便，房间干净，饭店的饭菜不错，不过早餐不咋地', '短评打分': 5}
