{'短评内容': '酒店非常好！', '短评打分': 5}
{'短评内容': '酒店非常好！', '短评打分': 5}
{'短评内容': '早餐不错，房间挺好', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '装修比较旧', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比超高的，出行方便', '短评打分': 5}
{'短评内容': '性价比超高的，出行方便', '短评打分': 5}
{'短评内容': '酒店整体环境还可以', '短评打分': 4}
{'短评内容': '酒店环境还不错', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店位置不错，靠近江边。就是设施过于陈旧，电视也很差，基本没几个台。', '短评打分': 4}
{'短评内容': '比较不错', '短评打分': 5}
{'短评内容': '环境很安静，房间很整洁，住着很舒服，交通还算方便', '短评打分': 4}
{'短评内容': '酒店还行，牙刷，矿泉水都要收费晚上会有蚊子。', '短评打分': 4}
{'短评内容': ' 环境还可以', '短评打分': 3}
{'短评内容': '住宿条件不错，性价比蛮高的，缺点：房间内没有提供免费的矿泉水！', '短评打分': 5}
{'短评内容': '环境不错，交通方便，房间性价比很高，服务还好。菜的味道也很好，价格比起其他地方酒楼还要便宜点，值！！！', '短评打分': 5}
{'短评内容': '12月7日-10日，到株洲出差，因为离工作地点近，选择入住该酒店，没想到7号晚上就遭遇了蹊跷的丢钱事件，下午5点出门的时候由于匆忙，没有锁旅行箱，晚7点多回来后准备拿钱，发现旅行箱内包里的2000元钱少了1000元，打电话到房务中心报案，等到9点多才来了一个值班经理，说看监控只有服务员这段时间进过我的房间，但他们信任服务员，只好打了110，折腾到晚上快12点才从派出所回来，没有结果。随后又在该酒店', '短评打分': 1}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '房间的地毯很脏，好像很久没有洗过一样。由于临近路边也比较嘈。卫生环境一般，设施损坏了也没有即时修理。。。需要改进！', '短评打分': 1}
{'短评内容': '服务态度挺好，感觉挺亲切，位置不错，出行挺方便。', '短评打分': 5}
{'短评内容': '位置挺好，服务挺好，价格有点偏高。', '短评打分': 3}
{'短评内容': '酒店是三星级的，服务态度挺热情，卫生还好，餐厅的饭菜挺可口的。', '短评打分': 3}
{'短评内容': '酒店环境舒适，可惜离芦淞区较远，不方便购物。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '位置还好，周边交通挺便利，附近超市银行也都有。', '短评打分': 3}
{'短评内容': '房间大小真好，电视空调等设施都有，服务上也挺好，住的还算满意。', '短评打分': 3}
